FilePath,Domain,PrimaryUse,EvidenceClass,RowsOrScope,ReadWhen,NotProofOf
Docs/AssetAudit/SURFACE_WATER_RECOVERY_PROBE_1914_STATIC_REVIEW_20260605.md,surface_water_recovery_probe_review,Static rejection review for diagnostic surface water recovery probe 1914,STATIC_IMAGE_QA,45_lines,Before treating h8_1914 surface water probe screenshots as proof,Visual acceptance Unity import material binding or Frame Debugger proof
Docs/AssetAudit/H8_VISUAL_PROOF_CAPTURE_1912_STATIC_RISK_REVIEW_20260605.md,h8_visual_proof_capture_risk_review,Static source-risk review for H8VisualProofCapture1912 diagnostic/editor-mutating probe paths,STATIC_SOURCE,50_lines,Before using H8VisualProofCapture1912 output as canonical h8_1475 proof,Visual acceptance no-mutation proof or Unity runtime readiness
Docs/AssetAudit/BATCH31_CHANNEL_SEMANTICS_DECISION_QUEUE_20260605.md,batch31_channel_decision,Decision queue separating Batch31 source candidates from blocked packed masks,STATIC_IMAGE_QA,57_lines,Before Batch31 terrain shoreline or photic source promotion,Unity import material binding visual acceptance or residency proof
Docs/AssetAudit/BATCH31_CHANNEL_SEMANTICS_DECISION_QUEUE_20260605.csv,batch31_channel_decision,Machine-readable Batch31 channel semantics owner decision queue,STATIC_IMAGE_QA,7_rows,Before Batch31 terrain shoreline or photic source promotion,Unity import material binding visual acceptance or residency proof
Docs/AssetAudit/FOAM_CONTACT_SOURCE_ROLE_DECISION_QUEUE_20260605.md,foam_contact_decision,Decision queue for rejected foam source cleanup maps and water-contact source roles,STATIC_IMAGE_QA,58_lines,Before foam contact shoreline or Crest source promotion,Unity import material binding visual acceptance or residency proof
Docs/AssetAudit/FOAM_CONTACT_SOURCE_ROLE_DECISION_QUEUE_20260605.csv,foam_contact_decision,Machine-readable foam contact source role decision queue,STATIC_IMAGE_QA,8_rows,Before foam contact shoreline or Crest source promotion,Unity import material binding visual acceptance or residency proof
Docs/AssetAudit/VFX_DATAVAULT_SOURCE_CONTEXT_REVIEW_20260605.md,vfx_datavault_source_context,Source-context correction for VFX DataVault sovereignty anchors and MarineSnow 1347/2005 split,STATIC_SOURCE_READBACK,source_context_doc,Before VFX DataVault repair Owner 08 or scanner recheck,Runtime source repair Unity proof GC/profiler or dump artifact acceptance
Docs/AssetAudit/VFX_DATAVAULT_SOURCE_CONTEXT_REVIEW_20260605.csv,vfx_datavault_source_context,Machine-readable source-context correction for VFX DataVault sovereignty anchors,STATIC_SOURCE_READBACK,7_rows,Before VFX DataVault repair Owner 08 or scanner recheck,Runtime source repair Unity proof GC/profiler or dump artifact acceptance
Docs/AssetAudit/VFX_DATAVAULT_REPAIR_ANCHOR_MAP_20260605.md,vfx_datavault_repair_anchor_map,Static VFX DataVault repair anchor map for Biolum MarineSnow PlasmaBeam memory debt,STATIC_SOURCE_READBACK,anchor_map_doc,Before VFX DataVault repair Owner 08,Runtime source repair Unity proof GC/profiler or dump artifact acceptance
Docs/AssetAudit/VFX_DATAVAULT_REPAIR_ANCHOR_MAP_20260605.csv,vfx_datavault_repair_anchor_map,Machine-readable VFX DataVault repair anchors,STATIC_SOURCE_READBACK,11_rows,Before VFX DataVault repair Owner 08,Runtime source repair Unity proof GC/profiler or dump artifact acceptance
Docs/AssetAudit/DATAVAULT_AUDIT_EXECUTION_SURFACE_RECHECK_20260605.md,datavault_audit_execution_surface_recheck,Static recheck proving MarineSnow 1347 runtime and 2005 editor surfaces are correctly represented in audit JSON,STATIC_SOURCE_TOOL_OUTPUT,50_lines,Before changing VFX DataVault scanner or Owner 08 MarineSnow anchors,Scanner rerun source repair compile Unity profiler or runtime proof
taskslocal/asset_system_20260605/ASSET_OWNER_37_H8_1475_ANTI_FALSE_PROOF_ALIGNMENT_PACKET.md,h8_1475_anti_false_proof_packet,h8_1475 anti-false-proof alignment packet for blocking shell-player overlay-HUD blockout-tool landscape-only and stale MCP evidence,STATIC_DOC,87_lines,Before accepting any h8_1475 screenshot packet,Visual acceptance Unity proof profiler GC memory or runtime readiness
Tools/ValidateVisualProofCaptureGuardrails.py,visual_proof_capture_guardrail_tool,Offline static guardrail validator for H8VisualProofCapture1912 risk routing,STATIC_SOURCE_TOOL,validator_cli,Before treating H8VisualProofCapture1912 output as proof,Unity runtime visual acceptance or no-mutation proof
Tools/test_validate_visual_proof_capture_guardrails.py,visual_proof_capture_guardrail_tool,Unit tests for visual proof capture guardrail validator,STATIC_SOURCE_TOOL,3_tests,Before changing the guardrail validator,Unity runtime visual acceptance or no-mutation proof
Tools/ValidateAssetStaticSummary.py,asset_static_summary_validator,Offline validator for current asset-front static summary CSV counts columns empty cells and declared total,STATIC_SOURCE_TOOL,validator_cli,Before editing ASSET_STATIC_VALIDATION_SUMMARY_20260605.md,Static parse hygiene does not prove Unity runtime visual audio GC memory or build readiness
Tools/test_validate_asset_static_summary.py,asset_static_summary_validator,Unit tests for asset static summary validator,STATIC_SOURCE_TOOL,4_tests,Before changing the asset static summary validator,Static parse hygiene does not prove Unity runtime visual audio GC memory or build readiness
Docs/AssetAudit/BIOLUM_BLACKBOX_ROUTE_DECISION_20260605.md,biolum_blackbox_route_decision,Static route decision for Biolum owner-local black-box mirror exception,STATIC_TOOL_OUTPUT,route_decision_doc,Before Biolum black-box compile Unity dump GC/profiler proof,Compile Unity dump artifact GC/profiler or runtime acceptance
Docs/AssetAudit/BIOLUM_BLACKBOX_ROUTE_DECISION_20260605.csv,biolum_blackbox_route_decision,Machine-readable Biolum black-box route decision anchors,STATIC_TOOL_OUTPUT,4_rows,Before Biolum black-box compile Unity dump GC/profiler proof,Compile Unity dump artifact GC/profiler or runtime acceptance
Docs/AssetAudit/VISUAL_HERO_SOURCE_COVERAGE_MATRIX_20260605.md,visual_hero_source_coverage,Static source coverage matrix for mandatory visual references and hero route source gaps,STATIC_IMAGE_QA,source_coverage_doc,Before visual hero source promotion or owner dispatch,Unity material binding screenshot Frame Debugger memory and visual acceptance
Docs/AssetAudit/VISUAL_HERO_SOURCE_COVERAGE_MATRIX_20260605.csv,visual_hero_source_coverage,Machine-readable visual hero source coverage matrix,STATIC_IMAGE_QA,10_rows,Before visual hero source promotion or owner dispatch,Unity material binding screenshot Frame Debugger memory and visual acceptance
Docs/AssetAudit/VISUAL_SOURCE_PROMOTION_EXECUTION_QUEUE_20260605.md,visual_source_promotion_queue,Static execution queue translating mandatory VREF/source coverage into owner actions proof gates and rejection rules,STATIC_IMAGE_QA,source_promotion_queue_doc,Before visual source promotion owner dispatch,Unity import material binding screenshot Frame Debugger memory or visual acceptance
Docs/AssetAudit/VISUAL_SOURCE_PROMOTION_EXECUTION_QUEUE_20260605.csv,visual_source_promotion_queue,Machine-readable visual source promotion execution queue,STATIC_IMAGE_QA,10_rows,Before visual source promotion owner dispatch,Unity import material binding screenshot Frame Debugger memory or visual acceptance
