priority,prefab_path,product_face_family,blocker_type,static_evidence,required_mesh_source,lod_collider_requirement,likely_owner_packet,forbidden_shortcut,proof_required,status
"P0","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_FiberKelp.prefab","Resources/Pickups","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. CapsuleCollider token exists but is not collider proof.","Authored/offline-generated fiber kelp bundle mesh with twisted strands, cut ends, wet translucency/material mask, and non-rock silhouette.","LOD0/LOD1/LOD2 or tiny/cluster exemption after readback; COL_* pickup trigger/proxy; no visual MeshCollider.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Resource pickup owner","Generic capsule with green material; flat ribbon without thickness; raw YAML edit; material-only patch.","Prefab readback; material-specific silhouette proof; pickup trigger/collider proof; route pickup screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_HydrocarbonResin.prefab","Resources/Pickups","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. CapsuleCollider token exists but is not collider proof.","Authored/offline-generated resin lump mesh with sagging tar-like mass, trapped bubbles, glossy dark material identity, and asymmetric pickup silhouette.","LOD0/LOD1/LOD2 or tiny/cluster exemption after readback; COL_* pickup trigger/proxy; no visual MeshCollider.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Resource pickup owner","Blob primitive with black material; generic rock recolor; raw YAML edit; material-only patch.","Prefab readback; material-specific silhouette proof; pickup trigger/collider proof; route pickup screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_MembraneTissue.prefab","Resources/Pickups","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. SphereCollider token exists but is not collider proof.","Authored/offline-generated membrane tissue mesh with folded organic sheet, thickness, torn edges, wet translucency mask, and readable biological silhouette.","LOD0/LOD1/LOD2 or tiny/cluster exemption after readback; COL_* pickup trigger/proxy; no visual MeshCollider.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Resource pickup owner","Flat plane tissue; sphere blob with organic texture; raw YAML edit; material-only patch.","Prefab readback; material-specific silhouette proof; pickup trigger/collider proof; route pickup screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SilicaShards.prefab","Resources/Pickups","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. SphereCollider token exists but is not collider proof.","Authored/offline-generated silica shard cluster mesh with fractured translucent crystals, sharp silhouette, wet highlights, and scale-readable chip forms.","LOD0/LOD1/LOD2 or tiny/cluster exemption after readback; COL_* pickup trigger/proxy; no visual MeshCollider.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Resource pickup owner","Sphere/cube crystal; generic rock recolor; raw YAML edit; material-only patch.","Prefab readback; material-specific silhouette proof; pickup trigger/collider proof; route pickup screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SilverOre.prefab","Resources/Pickups","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","Authored/offline-generated silver ore mesh with pale metallic seams, fractured stone base, salt-wet cavities, and non-copper silhouette.","LOD0/LOD1/LOD2 or tiny/cluster exemption after readback; COL_* pickup trigger/proxy; no visual MeshCollider.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Resource pickup owner","Copper ore recolor; cube/sphere ore; raw YAML edit; material-only patch.","Prefab readback; material-specific silhouette proof; pickup trigger/collider proof; route pickup screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SulfurClumps.prefab","Resources/Pickups","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. SphereCollider token exists but is not collider proof.","Authored/offline-generated sulfur clump mesh with porous mineral lumps, yellow oxidized seams, rough cavity AO, and distinct cluster silhouette.","LOD0/LOD1/LOD2 or tiny/cluster exemption after readback; COL_* pickup trigger/proxy; no visual MeshCollider.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Resource pickup owner","Generic yellow rock; sphere cluster; raw YAML edit; material-only patch.","Prefab readback; material-specific silhouette proof; pickup trigger/collider proof; route pickup screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_TitaniumScrap.prefab","Resources/Pickups","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","Authored/offline-generated titanium scrap mesh with bent plate, cut edge, bolts, paint wear, corrosion, and salvage-readable industrial silhouette.","LOD0/LOD1/LOD2 or tiny/cluster exemption after readback; COL_* pickup trigger/proxy; no visual MeshCollider.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Resource pickup owner","Metal cube; flat plate without bevels; generic scrap recolor; raw YAML edit.","Prefab readback; material-specific silhouette proof; pickup trigger/collider proof; route pickup screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Transport/PFB_CargoSled_Transport.prefab","Transport","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","Authored/offline-generated pressure-rated cargo sled mesh with handles, tow eyes, cargo rails, buoyancy tanks, wear, and collision-readable mass.","LOD0/LOD1/LOD2 plus cull/HLOD; COL_* compound primitive or bounded convex proxies; preserve tow/docking anchors and route identity.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Transport/vehicles owner","Scaled cube sled; decorative rocks/flora hiding primitive body; raw YAML edit; material-only patch.","Prefab readback; docking/tow anchor proof; LOD/collider/material proof; transport route screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Transport/PFB_Exosuit_Frame_Transport.prefab","Transport","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","Authored/offline-generated exosuit frame mesh with pressure joints, actuator housings, handles, cage rails, docking sockets, and service wear.","LOD0/LOD1/LOD2 plus cull/HLOD; COL_* compound primitive/convex proxies; preserve docking, entry, hand, and collision anchors.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Transport/vehicles owner","Capsule/cube frame; decorative panel texture over primitive; raw YAML edit; material-only patch.","Prefab readback; docking/entry anchor proof; LOD/collider/material proof; transport screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Transport/PFB_MicroSub_Transport.prefab","Transport","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","Authored/offline-generated micro-sub mesh with pressure hull, cockpit glass, thrusters, ballast intakes, docking clamps, panel seams, and wet material response.","LOD0/LOD1/LOD2 plus cull/HLOD; COL_* compound primitive/convex proxies; preserve docking, cockpit, thruster, and collision anchors.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Transport/vehicles owner","Capsule primitive sub; camera crop/post hiding primitive hull; raw YAML edit; runtime material clone.","Prefab readback; docking/thruster anchor proof; LOD/collider/material proof; micro-sub route screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Transport/PFB_ScoutGlider_Transport.prefab","Transport","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","Authored/offline-generated scout glider mesh with pressure frame, control fins, tow/hand grips, instrument pod, and readable light vehicle silhouette.","LOD0/LOD1/LOD2 plus cull/HLOD; COL_* compound primitive/convex proxies; preserve towing/hand/transport anchors.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Transport/vehicles owner","Winged primitive capsule; water/fog hiding silhouette; raw YAML edit; material-only patch.","Prefab readback; tow/hand anchor proof; LOD/collider/material proof; glider route screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Sky_System.prefab","Sky_System","VISIBLE_SKY_DOME_BUILTIN_SPHERE_REPORTED|NO_STATIC_LODGROUP_TOKEN","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=1; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF. ASSET_OWNER_18 reports Sky_System/Sphere uses Unity built-in primitive Sphere.","Authored/offline-generated sky dome or sphere mesh only if Unity readback proves this is the active visible route; preserve active sky/Aegir material owner until sky owner approves material changes.","Dome LOD/cull exemption must be documented or LOD0/LOD1 shell supplied; no gameplay collider; active/inactive route readback required.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Sky/Aegir owner","Keeping Unity Sphere and relying on material; second sun/dome owner; stale backdrop beside active owner; raw YAML edit.","Unity readback of active sky route; shader/material property readback; Scene/Game View sky/Aegir capture; Frame Debugger/Console proof.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Ocean_Crest.prefab","Ocean_Crest micro-fauna plane route","SARGASSUM_MICRO_FAUNA_BUILTIN_PLANE_REPORTED|NO_STATIC_LODGROUP_TOKEN|CREST_BOUNDARY","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=4; renderer_token_count=3; material_token_count=3; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF. ASSET_OWNER_18 isolates visible failure: SargassumMicroFaunaBoids.boidMesh uses Unity built-in primitive Plane. Three Crest input primitives are accepted data-only exceptions, not product art.","Authored/offline-generated micro-fauna card, impostor, or VAT mesh with designed sargassum/micro-fauna silhouette; preserve Crest canonical asset route and hidden input exceptions.","Card/VAT/impostor LOD or HLOD proof; no collision truth; no replacement of accepted hidden input primitives unless future Crest owner proves they render visibly.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Ocean/Crest owner","Crest material wrapper or clone; replacing hidden data inputs; flat plane camouflage over broken ocean/foam; raw YAML edit.","Unity readback of boidMesh path; Frame Debugger/Game View proof; Crest boundary readback; micro-fauna route screenshot; Console plus Stats.","PENDING UNITY PREFAB READBACK"
