article_id,packet_id,canonical_owner_doc,allowed_surfaces,forbidden_surfaces,spoiler_level,unlock_gate,in_world_voice_options,runtime_layer
hecton8.vent_forge_geothermal_engine,P084_VENT_FORGE_GEOTHERMAL_ENGINE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_vent_forge_geothermal_engine,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.biometal_resource_stack,P085_BIOMETAL_RESOURCE_STACK,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_biometal_resource_stack,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
carrier.aegir_reclamation_pool,P086_AEGIR_RECLAMATION_POOL,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_aegir_reclamation_pool,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
carrier.keelmark_mutual_custody,P087_KEELMARK_MUTUAL_CUSTODY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_keelmark_mutual_custody,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
carrier.tonne_window_debt,P088_TONNE_WINDOW_DEBT,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_tonne_window_debt,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
carrier.black_keel_first_voice,P089_BLACK_KEEL_FIRST_VOICE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_black_keel_first_voice,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
carrier.deep_reach_priority_hook,P090_DEEP_REACH_PRIORITY_HOOK,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_deep_reach_priority_hook,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.collision_fractured_moon,P091_COLLISION_FRACTURED_MOON,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_collision_fractured_moon,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.global_ocean_depth_bands,P092_GLOBAL_OCEAN_DEPTH_BANDS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_global_ocean_depth_bands,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.accessible_seafloor_windows,P093_ACCESSIBLE_SEAFLOOR_WINDOWS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_accessible_seafloor_windows,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.seed_geology_invariants,P094_SEED_GEOLOGY_INVARIANTS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_seed_geology_invariants,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.pressure_containment_failure,P095_PRESSURE_CONTAINMENT_FAILURE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_pressure_containment_failure,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
atlas.atlas_person_boundary,P096_ATLAS_PERSON_BOUNDARY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.first_atlas_person_boundary,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
deep_reach.recovery_compliance_office,P097_RECOVERY_COMPLIANCE_OFFICE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.first_recovery_compliance_office,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
endings.false_ending_taxonomy,P098_FALSE_ENDING_TAXONOMY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.first_false_ending_taxonomy,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
progression.marauder_dossier_persistence,P099_MARAUDER_DOSSIER_PERSISTENCE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.first_marauder_dossier_persistence,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
endings.final_choice_payload,P100_FINAL_CHOICE_PAYLOAD,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.first_final_choice_payload,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
human_space.no_ftl_route_economy,P101_NO_FTL_ROUTE_ECONOMY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_no_ftl_route_economy,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
human_space.beam_sail_probe_era,P102_BEAM_SAIL_PROBE_ERA,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_beam_sail_probe_era,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
human_space.pellet_fusion_freight,P103_PELLET_FUSION_FREIGHT,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_pellet_fusion_freight,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
aegir.ran_b_h8_public_catalog,P104_RAN_B_H8_PUBLIC_CATALOG,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_ran_b_h8_public_catalog,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
black_keel.in_system_tender_limit,P105_BLACK_KEEL_IN_SYSTEM_TENDER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_black_keel_in_system_tender,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
deep_reach.iliya_varnek_tide_margin,P106_ILIYA_VARNEK_TIDE_MARGIN,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_iliya_varnek_tide_margin,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
deep_reach.selene_arendt_atlas_weighting,P107_SELENE_ARENDT_ATLAS_WEIGHTING,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_selene_arendt_atlas_weighting,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
deep_reach.noor_haldane_evac_cert,P108_NOOR_HALDANE_EVAC_CERT,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_noor_haldane_evac_cert,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
deep_reach.marek_ibarra_loss_conversion,P109_MAREK_IBARRA_LOSS_CONVERSION,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_marek_ibarra_loss_conversion,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
deep_reach.vera_sato_ren_return_action,P110_VERA_SATO_REN_RETURN_ACTION,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_vera_sato_ren_return_action,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
first_hour.manual_bilge_pump_kit,P111_MANUAL_BILGE_PUMP_KIT,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_manual_bilge_pump_kit,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
first_hour.cold_sealant_patch_gun,P112_COLD_SEALANT_PATCH_GUN,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_cold_sealant_patch_gun,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
first_hour.low_power_induction_cutter,P113_LOW_POWER_INDUCTION_CUTTER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_low_power_induction_cutter,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
first_hour.acoustic_pinger_line,P114_ACOUSTIC_PINGER_LINE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_acoustic_pinger_line,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
first_hour.p63_field_fabricator,P115_P63_FIELD_FABRICATOR,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_p63_field_fabricator,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
resources.native_sulfide_salt_stack,P116_NATIVE_SULFIDE_SALT_STACK,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_native_sulfide_salt_stack,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
resources.noble_gas_brine_pockets,P117_NOBLE_GAS_BRINE_POCKETS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_noble_gas_brine_pockets,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
resources.deep_reach_pressure_ceramics,P118_DEEP_REACH_PRESSURE_CERAMICS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_deep_reach_pressure_ceramics,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
resources.atlas_biofiber_sealant,P119_ATLAS_BIOFIBER_SEALANT,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_atlas_biofiber_sealant,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
resources.biometal_sensor_tags,P120_BIOMETAL_SENSOR_TAGS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_biometal_sensor_tags,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
human_space.domain_civic_corporate_split,P121_DOMAIN_CIVIC_CORPORATE_SPLIT,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.domain_civic_corporate_split,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
human_space.marauder_legal_loophole,P122_MARAUDER_LEGAL_LOOPHOLE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.marauder_legal_loophole,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
human_space.salvage_truth_evidence_status,P123_SALVAGE_TRUTH_EVIDENCE_STATUS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.salvage_truth_evidence_status,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
human_space.normal_citizen_aegir_memory,P124_NORMAL_CITIZEN_AEGIR_MEMORY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.normal_citizen_aegir_memory,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
human_space.deep_reach_origin_chain,P125_DEEP_REACH_ORIGIN_CHAIN,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.deep_reach_origin_chain,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
atlas.public_front,P126_ATLAS_PUBLIC_FRONT,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.atlas_public_front,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
atlas.insurance_personhood_status,P127_ATLAS_INSURANCE_PERSONHOOD_STATUS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.atlas_insurance_personhood_status,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
atlas.classified_weighting_layer,P128_ATLAS_CLASSIFIED_WEIGHTING_LAYER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.atlas_classified_weighting_layer,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
atlas.shutdown_ethic_frame,P129_ATLAS_SHUTDOWN_ETHIC_FRAME,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.atlas_shutdown_ethic_frame,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
atlas.public_memory_after_2147,P130_ATLAS_PUBLIC_MEMORY_AFTER_2147,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.atlas_public_memory_after_2147,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
endings.material_exit_bitter_credits,P131_MATERIAL_EXIT_BITTER_CREDITS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.material_exit_bitter_credits,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
endings.partial_exit_same_seed_return,P132_PARTIAL_EXIT_SAME_SEED_RETURN,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.partial_exit_same_seed_return,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
endings.corporate_capture_bad_end,P133_CORPORATE_CAPTURE_BAD_END,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.corporate_capture_bad_end,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
endings.quarantine_hold_stale_air,P134_QUARANTINE_HOLD_STALE_AIR,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.quarantine_hold_stale_air,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
endings.public_ledger_leak_route,P135_PUBLIC_LEDGER_LEAK_ROUTE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.public_ledger_leak_route,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
replay.dossier_rumor_unlocks,P136_DOSSIER_RUMOR_UNLOCKS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.dossier_rumor_unlocks,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
replay.riskier_contract_seeds,P137_RISKIER_CONTRACT_SEEDS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.riskier_contract_seeds,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
replay.false_ending_count_ladder,P138_FALSE_ENDING_COUNT_LADDER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.false_ending_count_ladder,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
replay.starting_claim_variants,P139_STARTING_CLAIM_VARIANTS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.starting_claim_variants,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
replay.dossier_knowledge_not_power,P140_DOSSIER_KNOWLEDGE_NOT_POWER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.dossier_knowledge_not_power,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
route_time.ran_aegir_distance_model,P141_RAN_AEGIR_DISTANCE_MODEL,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.ran_aegir_distance_model,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
route_time.probe_packet_travel_times,P142_PROBE_PACKET_TRAVEL_TIMES,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.probe_packet_travel_times,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
route_time.heavy_freight_staging_time,P143_HEAVY_FREIGHT_STAGING_TIME,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.heavy_freight_staging_time,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
route_time.human_crew_rotation_transit,P144_HUMAN_CREW_ROTATION_TRANSIT,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.human_crew_rotation_transit,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
route_time.relay_message_lag,P145_RELAY_MESSAGE_LAG,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.relay_message_lag,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
deep_reach_org.deep_reach_public_combine,P146_DEEP_REACH_PUBLIC_COMBINE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.deep_reach_public_combine,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
deep_reach_org.aegir_continuity_holdings,P147_AEGIR_CONTINUITY_HOLDINGS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.aegir_continuity_holdings,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
deep_reach_org.atlas_continuity_office,P148_ATLAS_CONTINUITY_OFFICE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.atlas_continuity_office,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
deep_reach_org.keelmark_loss_desk,P149_KEELMARK_LOSS_DESK,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.keelmark_loss_desk,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
deep_reach_org.recovery_compliance_chain,P150_RECOVERY_COMPLIANCE_CHAIN,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.recovery_compliance_chain,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
first_hour.black_keel_contract_approach,P151_BLACK_KEEL_CONTRACT_APPROACH,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.black_keel_contract_approach,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
first_hour.drop_capsule_damage_sequence,P152_DROP_CAPSULE_DAMAGE_SEQUENCE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.drop_capsule_damage_sequence,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
first_hour.shallow_annex_p63_pump_room,P153_SHALLOW_ANNEX_P63_PUMP_ROOM,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.shallow_annex_p63_pump_room,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
first_hour.first_sanitized_accident_packet,P154_FIRST_SANITIZED_ACCIDENT_PACKET,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_sanitized_accident_packet,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
first_hour.first_atlas_repair_trace,P155_FIRST_ATLAS_REPAIR_TRACE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_atlas_repair_trace,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
colony_human.shift_crews_not_heroes,P156_SHIFT_CREWS_NOT_HEROES,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.shift_crews_not_heroes,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
colony_human.worker_job_cards,P157_WORKER_JOB_CARDS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.worker_job_cards,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
colony_human.locker_name_protocol,P158_LOCKER_NAME_PROTOCOL,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.locker_name_protocol,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
colony_human.medical_triage_ledger,P159_MEDICAL_TRIAGE_LEDGER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.medical_triage_ledger,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
colony_human.marauder_correction_layer,P160_MARAUDER_CORRECTION_LAYER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.marauder_correction_layer,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
domain_table.domain_distance_scale,P161_DOMAIN_DISTANCE_SCALE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.domain_distance_scale,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
domain_table.domain_population_authority_scale,P162_DOMAIN_POPULATION_AUTHORITY_SCALE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.domain_population_authority_scale,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
domain_table.public_route_names,P163_PUBLIC_ROUTE_NAMES,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.public_route_names,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
domain_table.transit_duration_bands,P164_TRANSIT_DURATION_BANDS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.transit_duration_bands,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
