packet_id,arc_id,depth_band,route_moment,prereq_packet_ids,next_packet_ids,evidence_type,truth_claim,player_decision,spoiler_tier,primary_surface
P086_AEGIR_RECLAMATION_POOL,derived_unassigned,biome.arrival_shelf;biome.drowned_admin,unlock.first_aegir_reclamation_pool,P030_RELAY_CUSTODY_DEBT_CHAIN,P089_BLACK_KEEL_FIRST_VOICE;P087_KEELMARK_MUTUAL_CUSTODY;P090_DEEP_REACH_PRIORITY_HOOK;P104_RAN_B_H8_PUBLIC_CATALOG;P105_BLACK_KEEL_IN_SYSTEM_TENDER;P1410_CLAIM_WINDOW_RESCUE_DELAY_LEDGER;P1411_RETURN_RIGHTS_QUARANTINE_HANDSHAKE_LEDGER;P1412_ASCENT_STACK_CERTIFICATION_LEDGER;P1422_MASS_CUSTODY_TONNE_WINDOW_LEDGER;P1428_EVIDENCE_BEFORE_BREATH_LEDGER;P1429_QUARANTINE_BERTH_CUSTODY_LEDGER;P662_BROKEN_UPLINK_CORE_FRACTURE;P6805_RECEIVER_COUNTERSTAMP_ROOM_NUMBER,derived_from_unlock_and_poi_tags,,,,
P087_KEELMARK_MUTUAL_CUSTODY,derived_unassigned,biome.drowned_admin;biome.carrier_link,unlock.first_keelmark_mutual_custody,P086_AEGIR_RECLAMATION_POOL,,derived_from_unlock_and_poi_tags,,,,
P088_TONNE_WINDOW_DEBT,derived_unassigned,biome.arrival_shelf;biome.carrier_link,unlock.first_tonne_window_debt,,P470_KEELMARK_TONNE_WINDOW_BRIDGE;P095_PRESSURE_CONTAINMENT_FAILURE,derived_from_unlock_and_poi_tags,,,,
P089_BLACK_KEEL_FIRST_VOICE,derived_unassigned,biome.arrival_shelf;biome.shallow_annex,unlock.first_black_keel_first_voice,P086_AEGIR_RECLAMATION_POOL,P700_WALL_GLIDER,derived_from_unlock_and_poi_tags,,,,
P090_DEEP_REACH_PRIORITY_HOOK,derived_unassigned,biome.drowned_admin;biome.carrier_link,unlock.first_deep_reach_priority_hook,P086_AEGIR_RECLAMATION_POOL,,derived_from_unlock_and_poi_tags,,,,
P091_COLLISION_FRACTURED_MOON,derived_unassigned,biome.drowned_geology;biome.brine_canyon,unlock.first_collision_fractured_moon,P079_HECTON8_ORBIT_TIDE_GEOMETRY,,derived_from_unlock_and_poi_tags,,,,
P092_GLOBAL_OCEAN_DEPTH_BANDS,derived_unassigned,biome.photic_shelf;biome.cable_reef,unlock.first_global_ocean_depth_bands,P032_PRESSURE_LADDER_DEPTH_BANDS,P094_SEED_GEOLOGY_INVARIANTS;P096_ATLAS_PERSON_BOUNDARY;P098_FALSE_ENDING_TAXONOMY;P100_FINAL_CHOICE_PAYLOAD;P1092_PRESSURE_LADDER_ACOUSTIC_CHART;P117_NOBLE_GAS_BRINE_POCKETS;P125_DEEP_REACH_ORIGIN_CHAIN;P1265_HUSH_BELT_ORBITAL_SILENCE_CHART;P1266_XENON_TROPHIC_REPAIR_ECOLOGY_FIELDGUIDE;P133_CORPORATE_CAPTURE_BAD_END;P138_FALSE_ENDING_COUNT_LADDER;P173_BLUE_DEBT_SAMPLE_QUALITY;P191_FINAL_QUESTION_CRIME_SCENE_SALE;P192_FINAL_QUESTION_BROKEN_GUARDIAN;P195_BEST_ENDING_NO_CLEAN_HANDS;P197_ESCAPE_RECIPE_BALANCE_BANDS;P297_ATLAS_BASIN_PRESSURE_GATE;P370_PROFESSIONAL_GUILT_TO_PERSONAL_STAKE;P376_PAYLOAD_SELL_COORDINATES_RECEIVER_PROTOCOL;P378_PAYLOAD_PRESERVE_QUARANTINE_RECEIVER_PROTOCOL;P379_PAYLOAD_PUBLIC_LEDGER_RECEIVER_PROTOCOL;P380_PAYLOAD_WITHHOLD_BLIND_RETURN_PROTOCOL;P390_ATLAS_SERVICE_BASIN_POI_KIT;P395_RECOVERY_COMPLIANCE_BAIT_CONTRACT_SEED;P400_PUBLIC_ATLAS_SPOILER_GATE_ARTICLE_MODULE;P443_ESCAPE_RECIPE_VALUE_DRAFT_ROWS,derived_from_unlock_and_poi_tags,,,,
P093_ACCESSIBLE_SEAFLOOR_WINDOWS,derived_unassigned,biome.brine_canyon;biome.vent_forge,unlock.first_accessible_seafloor_windows,,P109_MAREK_IBARRA_LOSS_CONVERSION;P110_VERA_SATO_REN_RETURN_ACTION;P118_DEEP_REACH_PRESSURE_CERAMICS;P119_ATLAS_BIOFIBER_SEALANT;P120_BIOMETAL_SENSOR_TAGS;P129_ATLAS_SHUTDOWN_ETHIC_FRAME;P148_ATLAS_CONTINUITY_OFFICE;P172_PRESSURE_FAILURE_THRESHOLDS;P209_ANCHOR_WORKER_NAME_SET_B;P229_WIDE_FILTER_BODY_TRACE;P230_SILT_AMBUSHER_TELEGRAPH;P233_SHELL_SEALANT_FRACTURE_GROWTH;P296_ABYSSAL_MACHINE_FIELD_WARNING;P363_GUIDANCE_TIMING_CORE_ASSEMBLY;P373_ATLAS_WEIGHTING_AUDIT_PROOF;P374_QUARANTINE_RELEASE_DELAY_PROOF;P384_ABYSSAL_MACHINE_FIELD_REPAIR_ACT;P405_LIAN_TORRES_VENT_FORGE_OPERATOR_DOSSIER;P701_GLASSWORM_JUVENILE;P703_IRON_CORAL;P708_PAD_ATLAS_AUTONOMY_DENIAL,derived_from_unlock_and_poi_tags,,,,
P094_SEED_GEOLOGY_INVARIANTS,derived_unassigned,biome.photic_shelf;biome.brine_canyon,unlock.first_seed_geology_invariants,P092_GLOBAL_OCEAN_DEPTH_BANDS,,derived_from_unlock_and_poi_tags,,,,
P095_PRESSURE_CONTAINMENT_FAILURE,derived_unassigned,biome.resource_pressure;biome.vent_forge,unlock.first_pressure_containment_failure,P088_TONNE_WINDOW_DEBT,,derived_from_unlock_and_poi_tags,,,,
P096_ATLAS_PERSON_BOUNDARY,derived_unassigned,biome.factory_temple;biome.atlas_basin,unlock.first_atlas_person_boundary,P092_GLOBAL_OCEAN_DEPTH_BANDS,,derived_from_unlock_and_poi_tags,,,,
P097_RECOVERY_COMPLIANCE_OFFICE,derived_unassigned,biome.drowned_admin;biome.carrier_link,unlock.first_recovery_compliance_office,,P150_RECOVERY_COMPLIANCE_CHAIN,derived_from_unlock_and_poi_tags,,,,
P098_FALSE_ENDING_TAXONOMY,derived_unassigned,biome.payload_gantry;biome.carrier_link,unlock.first_false_ending_taxonomy,P092_GLOBAL_OCEAN_DEPTH_BANDS,,derived_from_unlock_and_poi_tags,,,,
P099_MARAUDER_DOSSIER_PERSISTENCE,derived_unassigned,biome.carrier_link;biome.drowned_admin,unlock.first_marauder_dossier_persistence,,P136_DOSSIER_RUMOR_UNLOCKS,derived_from_unlock_and_poi_tags,,,,
P100_FINAL_CHOICE_PAYLOAD,derived_unassigned,biome.factory_temple;biome.atlas_basin,unlock.first_final_choice_payload,P092_GLOBAL_OCEAN_DEPTH_BANDS,,derived_from_unlock_and_poi_tags,,,,
P101_NO_FTL_ROUTE_ECONOMY,derived_unassigned,biome.shallow_annex;biome.carrier_link,unlock.first_no_ftl_route_economy,,P1091_PELLET_WAKE_BRAKING_LEDGER,derived_from_unlock_and_poi_tags,,,,
P102_BEAM_SAIL_PROBE_ERA,derived_unassigned,biome.relay_shadow;biome.moon_ladder,unlock.first_beam_sail_probe_era,,P142_PROBE_PACKET_TRAVEL_TIMES,derived_from_unlock_and_poi_tags,,,,
P103_PELLET_FUSION_FREIGHT,derived_unassigned,biome.carrier_link;biome.relay_shadow,unlock.first_pellet_fusion_freight,,P623_PELLET_LANE_WAKE_LEDGER,derived_from_unlock_and_poi_tags,,,,
P104_RAN_B_H8_PUBLIC_CATALOG,derived_unassigned,biome.shallow_annex;biome.moon_ladder,unlock.first_ran_b_h8_public_catalog,P086_AEGIR_RECLAMATION_POOL,,derived_from_unlock_and_poi_tags,,,,
P105_BLACK_KEEL_IN_SYSTEM_TENDER,derived_unassigned,biome.carrier_link;biome.shallow_annex,unlock.first_black_keel_in_system_tender,P086_AEGIR_RECLAMATION_POOL,,derived_from_unlock_and_poi_tags,,,,
P106_ILIYA_VARNEK_TIDE_MARGIN,derived_unassigned,biome.industrial_shelf;biome.brine_canyon,unlock.first_iliya_varnek_tide_margin,P079_HECTON8_ORBIT_TIDE_GEOMETRY,P115_P63_FIELD_FABRICATOR;P126_ATLAS_PUBLIC_FRONT;P1414_DROWNED_CONCRETE_PRESSURE_RUBBLE_LEDGER;P1415_PRESSURE_HULL_RIB_GASKET_LEDGER;P146_DEEP_REACH_PUBLIC_COMBINE;P154_FIRST_SANITIZED_ACCIDENT_PACKET;P157_WORKER_JOB_CARDS;P166_WORKER_NAME_POOL_PROTOCOL;P168_LOCKER_PROP_VARIANTS;P207_PRESSURE_CREW_ARCHETYPE_TABLE;P238_P63_FABRICATOR_AUTHORITY_LIMITS;P401_MARA_VENN_PUMP_CHIEF_DOSSIER;P701_BRINE_SIPHONER,derived_from_unlock_and_poi_tags,,,,
P107_SELENE_ARENDT_ATLAS_WEIGHTING,derived_unassigned,biome.cable_reef;biome.factory_temple,unlock.first_selene_arendt_atlas_weighting,,P128_ATLAS_CLASSIFIED_WEIGHTING_LAYER,derived_from_unlock_and_poi_tags,,,,
P108_NOOR_HALDANE_EVAC_CERT,derived_unassigned,biome.shallow_annex;biome.industrial_shelf,unlock.first_noor_haldane_evac_cert,P063_JUNO_KADE_EVACUATION_HOLD,,derived_from_unlock_and_poi_tags,,,,
P1090_SILENT_ORBIT_RECEIPT_LEDGER,derived_RS164_SILENT_ORBIT_RECEIPT_ARTICLE,biome.deep_archive;biome.comms_route,unlock.silent_orbit_receipt_ledger,,P361_ACOUSTIC_RELAY_SPINE_ASSEMBLY,derived_from_unlock_and_poi_tags,,,,external_site
P1091_PELLET_WAKE_BRAKING_LEDGER,derived_RS168_PELLET_WAKE_BRAKING_ARTICLE,biome.carrier_link;biome.shallow_annex,unlock.pellet_wake_braking_ledger,P101_NO_FTL_ROUTE_ECONOMY,P6801_BLACK_KEEL_NEARLIGHT_WAKE;P1301_RAN_AEGIR_NAME_AUTHORITY_LEDGER,derived_from_unlock_and_poi_tags,,,,external_site
P1092_PRESSURE_LADDER_ACOUSTIC_CHART,derived_RS172_BATHYMETRIC_ACOUSTIC_LADDER_ARTICLE,biome.photic_shelf;biome.brine_canyon,unlock.pressure_ladder_acoustic_chart,P092_GLOBAL_OCEAN_DEPTH_BANDS,,derived_from_unlock_and_poi_tags,,,,external_site
P1093_STYX_DROP_POD_CUTAWAY,derived_RS189_STYX_DROP_POD_CUTAWAY_ARTICLE,biome.crash_shelf;biome.storm_shelf,unlock.styx_drop_pod_cutaway,P001_CRASH_SHELF;P056_EX_DEEP_REACH_MARAUDER,P1095_AEGIR_MOON_LADDER_ORBITAL_HAZARDS,derived_from_unlock_and_poi_tags,,,,external_site
P1094_BATHYMETRIC_SOUND_FIELD_GUIDE,derived_RS201_BATHYMETRIC_SOUND_FIELD_GUIDE,biome.photic_shelf;biome.cable_reef,unlock.bathymetric_sound_field_guide,P033_CABLE_REEF_SYMBIOSIS,,derived_from_unlock_and_poi_tags,,,,external_site
P1095_AEGIR_MOON_LADDER_ORBITAL_HAZARDS,derived_RS202_AEGIR_MOON_LADDER_ORBITAL_HAZARDS,biome.storm_shelf;biome.crash_shelf,unlock.aegir_moon_ladder_orbital_hazards,P1093_STYX_DROP_POD_CUTAWAY,,derived_from_unlock_and_poi_tags,,,,external_site
P109_MAREK_IBARRA_LOSS_CONVERSION,derived_unassigned,biome.industrial_shelf;biome.brine_canyon,unlock.first_marek_ibarra_loss_conversion,P093_ACCESSIBLE_SEAFLOOR_WINDOWS,,derived_from_unlock_and_poi_tags,,,,
P110_VERA_SATO_REN_RETURN_ACTION,derived_unassigned,biome.carrier_link;biome.abyssal_machine_field,unlock.first_vera_sato_ren_return_action,P093_ACCESSIBLE_SEAFLOOR_WINDOWS,,derived_from_unlock_and_poi_tags,,,,
P111_MANUAL_BILGE_PUMP_KIT,derived_unassigned,biome.crash_shelf;biome.shallow_annex,unlock.first_manual_bilge_pump_kit,P011_DOMAIN_MARKS_2190,,derived_from_unlock_and_poi_tags,,,,
P112_COLD_SEALANT_PATCH_GUN,derived_unassigned,biome.crash_shelf;biome.shallow_annex,unlock.first_cold_sealant_patch_gun,P011_DOMAIN_MARKS_2190,,derived_from_unlock_and_poi_tags,,,,
P113_LOW_POWER_INDUCTION_CUTTER,derived_unassigned,biome.shallow_annex;biome.industrial_shelf,unlock.first_low_power_induction_cutter,P033_CABLE_REEF_SYMBIOSIS,,derived_from_unlock_and_poi_tags,,,,
P114_ACOUSTIC_PINGER_LINE,derived_unassigned,biome.photic_shelf;biome.shallow_annex,unlock.first_acoustic_pinger_line,P079_HECTON8_ORBIT_TIDE_GEOMETRY,,derived_from_unlock_and_poi_tags,,,,
P115_P63_FIELD_FABRICATOR,derived_unassigned,biome.shallow_annex;biome.photic_shelf,unlock.first_p63_field_fabricator,P106_ILIYA_VARNEK_TIDE_MARGIN,,derived_from_unlock_and_poi_tags,,,,
P116_NATIVE_SULFIDE_SALT_STACK,derived_unassigned,biome.brine_canyon;biome.vent_forge,unlock.first_native_sulfide_salt_stack,P079_HECTON8_ORBIT_TIDE_GEOMETRY,,derived_from_unlock_and_poi_tags,,,,
P117_NOBLE_GAS_BRINE_POCKETS,derived_unassigned,biome.brine_canyon;biome.vent_forge,unlock.first_noble_gas_brine_pockets,P092_GLOBAL_OCEAN_DEPTH_BANDS,,derived_from_unlock_and_poi_tags,,,,
P118_DEEP_REACH_PRESSURE_CERAMICS,derived_unassigned,biome.industrial_shelf;biome.vent_forge,unlock.first_deep_reach_pressure_ceramics,P093_ACCESSIBLE_SEAFLOOR_WINDOWS,,derived_from_unlock_and_poi_tags,,,,
P119_ATLAS_BIOFIBER_SEALANT,derived_unassigned,biome.cable_reef;biome.repair_ecology,unlock.first_atlas_biofiber_sealant,P093_ACCESSIBLE_SEAFLOOR_WINDOWS,,derived_from_unlock_and_poi_tags,,,,
P120_BIOMETAL_SENSOR_TAGS,derived_unassigned,biome.repair_ecology;biome.abyssal_machine_field,unlock.first_biometal_sensor_tags,P093_ACCESSIBLE_SEAFLOOR_WINDOWS,,derived_from_unlock_and_poi_tags,,,,
P121_DOMAIN_CIVIC_CORPORATE_SPLIT,derived_unassigned,biome.black_keel_orbit;biome.shallow_annex,unlock.domain_civic_corporate_split,,P124_NORMAL_CITIZEN_AEGIR_MEMORY;P127_ATLAS_INSURANCE_PERSONHOOD_STATUS;P130_ATLAS_PUBLIC_MEMORY_AFTER_2147;P131_MATERIAL_EXIT_BITTER_CREDITS;P132_PARTIAL_EXIT_SAME_SEED_RETURN;P134_QUARANTINE_HOLD_STALE_AIR;P137_RISKIER_CONTRACT_SEEDS;P139_STARTING_CLAIM_VARIANTS;P140_DOSSIER_KNOWLEDGE_NOT_POWER;P141_RAN_AEGIR_DISTANCE_MODEL;P143_HEAVY_FREIGHT_STAGING_TIME;P144_HUMAN_CREW_ROTATION_TRANSIT;P145_RELAY_MESSAGE_LAG;P147_AEGIR_CONTINUITY_HOLDINGS;P151_BLACK_KEEL_CONTRACT_APPROACH;P161_DOMAIN_DISTANCE_SCALE;P163_PUBLIC_ROUTE_NAMES;P177_RISK_WEIGHT_CONTRACT_CARD;P179_SAVE_PROFILE_KNOWLEDGE_FLAGS;P182_HECTON8_ORBITAL_HAZARD_TABLE;P198_RISK_REWARD_TABLE_BANDS;P422_AEGIR_LOCAL_WINDOW_BAND_TABLE;P424_BLACK_KEEL_TRANSFER_ORBIT_BAND;P436_BLACK_KEEL_APPROACH_TRANSCRIPT_SEED;P187_LIABILITY_MEMO_FRAGMENT_CHAIN,derived_from_unlock_and_poi_tags,,,,
P122_MARAUDER_LEGAL_LOOPHOLE,derived_unassigned,biome.black_keel_orbit;biome.photic_shelf,unlock.marauder_legal_loophole,,P1302_MARAUDER_SALVAGE_LAW_FIELD_ARTICLE,derived_from_unlock_and_poi_tags,,,,
P123_SALVAGE_TRUTH_EVIDENCE_STATUS,derived_unassigned,biome.relay_archive;biome.industrial_shelf,unlock.salvage_truth_evidence_status,P079_HECTON8_ORBIT_TIDE_GEOMETRY,,derived_from_unlock_and_poi_tags,,,,
P124_NORMAL_CITIZEN_AEGIR_MEMORY,derived_unassigned,biome.relay_archive;biome.black_keel_orbit,unlock.normal_citizen_aegir_memory,P121_DOMAIN_CIVIC_CORPORATE_SPLIT,,derived_from_unlock_and_poi_tags,,,,
P125_DEEP_REACH_ORIGIN_CHAIN,derived_unassigned,biome.relay_archive;biome.industrial_shelf,unlock.deep_reach_origin_chain,P092_GLOBAL_OCEAN_DEPTH_BANDS,,derived_from_unlock_and_poi_tags,,,,
P1265_HUSH_BELT_ORBITAL_SILENCE_CHART,derived_RS194_HUSH_BELT_ORBITAL_SILENCE_ARTICLE,biome.surface_storm;biome.cable_reef,unlock.hush_belt_orbital_silence_chart,P092_GLOBAL_OCEAN_DEPTH_BANDS,P247_DROP_CAPSULE_DIAGNOSTIC_READOUT,derived_from_unlock_and_poi_tags,,,,external_site
P1266_XENON_TROPHIC_REPAIR_ECOLOGY_FIELDGUIDE,derived_RS200_XENON_TROPHIC_REPAIR_ECOLOGY_ARTICLE,biome.cable_reef;biome.brine_canyon,unlock.xenon_trophic_repair_ecology_fieldguide,P092_GLOBAL_OCEAN_DEPTH_BANDS,,derived_from_unlock_and_poi_tags,,,,external_site
P126_ATLAS_PUBLIC_FRONT,derived_unassigned,biome.shallow_annex;biome.industrial_shelf,unlock.atlas_public_front,P106_ILIYA_VARNEK_TIDE_MARGIN,,derived_from_unlock_and_poi_tags,,,,
P127_ATLAS_INSURANCE_PERSONHOOD_STATUS,derived_unassigned,biome.relay_archive;biome.industrial_shelf,unlock.atlas_insurance_personhood_status,P121_DOMAIN_CIVIC_CORPORATE_SPLIT,,derived_from_unlock_and_poi_tags,,,,
P128_ATLAS_CLASSIFIED_WEIGHTING_LAYER,derived_unassigned,biome.brine_canyon;biome.abyssal_machine_field,unlock.atlas_classified_weighting_layer,P107_SELENE_ARENDT_ATLAS_WEIGHTING,,derived_from_unlock_and_poi_tags,,,,
P129_ATLAS_SHUTDOWN_ETHIC_FRAME,derived_unassigned,biome.abyssal_machine_field;biome.atlas_basin,unlock.atlas_shutdown_ethic_frame,P093_ACCESSIBLE_SEAFLOOR_WINDOWS,,derived_from_unlock_and_poi_tags,,,,
P1300_RAN_LONG_CLAIM_TRANSIT_LEDGER,derived_RS222_RAN_LONG_CLAIM_TRANSIT_LEDGER,biome.shallow_annex;biome.cable_reef,unlock.ran_long_claim_transit_ledger,,P1401_PACKET_CUSTODY_UNDER_LIGHT_DELAY,derived_from_unlock_and_poi_tags,,,,external_site
P1301_RAN_AEGIR_NAME_AUTHORITY_LEDGER,derived_RS223_RAN_AEGIR_NAME_AUTHORITY_LEDGER,biome.shallow_annex;biome.route_archive,unlock.ran_aegir_name_authority_ledger,P1091_PELLET_WAKE_BRAKING_LEDGER,,derived_from_unlock_and_poi_tags,,,,external_site
P1302_MARAUDER_SALVAGE_LAW_FIELD_ARTICLE,derived_RS224_MARAUDER_SALVAGE_LAW_FIELD_ARTICLE,biome.shallow_annex;biome.cable_reef,unlock.marauder_salvage_law_field_article,P122_MARAUDER_LEGAL_LOOPHOLE,P160_MARAUDER_CORRECTION_LAYER,derived_from_unlock_and_poi_tags,,,,external_site
P1304_PRESSURE_COLONY_WORKDAY_FIELD_ARTICLE,derived_RS225_PRESSURE_COLONY_WORKDAY_FIELD_ARTICLE,biome.shallow_annex;biome.drowned_colony,unlock.pressure_colony_workday_field_article,,P156_SHIFT_CREWS_NOT_HEROES,derived_from_unlock_and_poi_tags,,,,external_site
P1305_TIDE_WORK_WINDOW_FIELD_ARTICLE,derived_RS226_TIDE_WORK_WINDOW_FIELD_ARTICLE,biome.shallow_annex;biome.brine_canyon,unlock.tide_work_window_field_article,P079_HECTON8_ORBIT_TIDE_GEOMETRY,,derived_from_unlock_and_poi_tags,,,,external_site
P1306_ROUTE_BOARD_RETURN_STAMP_FIELD_ARTICLE,derived_RS227_ROUTE_BOARD_RETURN_STAMP_FIELD_ARTICLE,biome.drowned_colony;biome.pressure_service_spine,unlock.route_board_return_stamp_field_article,,P360_LAST_NORMAL_DAY_EVIDENCE_SET,derived_from_unlock_and_poi_tags,,,,external_site
P1308_COLD_SEEP_HYDRATE_CRACK_FIELD_ARTICLE,derived_RS229_COLD_SEEP_HYDRATE_CRACK_FIELD_ARTICLE,biome.cold_seep_slope;biome.deep_silt,unlock.cold_seep_hydrate_crack_field_article,,P1309_IRON_OXIDE_SEEP_CRUST_FIELD_ARTICLE,derived_from_unlock_and_poi_tags,,,,external_site
P1309_IRON_OXIDE_SEEP_CRUST_FIELD_ARTICLE,derived_RS230_IRON_OXIDE_SEEP_CRUST_FIELD_ARTICLE,biome.cold_seep_slope;biome.oxidized_sediment,unlock.iron_oxide_seep_crust_field_article,P1308_COLD_SEEP_HYDRATE_CRACK_FIELD_ARTICLE,,derived_from_unlock_and_poi_tags,,,,external_site
P130_ATLAS_PUBLIC_MEMORY_AFTER_2147,derived_unassigned,biome.relay_archive;biome.black_keel_orbit,unlock.atlas_public_memory_after_2147,P121_DOMAIN_CIVIC_CORPORATE_SPLIT,,derived_from_unlock_and_poi_tags,,,,
P1313_PRESSURE_BASE_INTERIOR_WALL_TRIM_FIELD_ARTICLE,derived_RS234_PRESSURE_BASE_INTERIOR_WALL_TRIM_FIELD_ARTICLE,biome.old_colony_interior;biome.pressure_corridor,unlock.pressure_base_interior_wall_trim_field_article,,P1316_DAMPED_INSULATION_BLANKET_FIELD_ARTICLE,derived_from_unlock_and_poi_tags,,,,external_site
P1314_CABLE_JACKET_REPAIR_WRAP_FIELD_ARTICLE,derived_RS235_CABLE_JACKET_REPAIR_WRAP_FIELD_ARTICLE,biome.old_colony_service_run;biome.pressure_corridor,unlock.cable_jacket_repair_wrap_field_article,,P1419_CABLE_REPAIR_WRAP_LEDGER,derived_from_unlock_and_poi_tags,,,,external_site
P1315_SALVAGE_CUT_CROSS_SECTION_FIELD_ARTICLE,derived_RS236_SALVAGE_CUT_CROSS_SECTION_FIELD_ARTICLE,biome.old_colony_wreck_field;biome.flooded_pressure_module,unlock.salvage_cut_cross_section_field_article,,P1421_SALVAGE_CUT_CROSS_SECTION_LEDGER,derived_from_unlock_and_poi_tags,,,,external_site
P1316_DAMPED_INSULATION_BLANKET_FIELD_ARTICLE,derived_RS237_DAMPED_INSULATION_BLANKET_FIELD_ARTICLE,biome.old_colony_interior;biome.pressure_base_corridor,unlock.damped_insulation_blanket_field_article,P1313_PRESSURE_BASE_INTERIOR_WALL_TRIM_FIELD_ARTICLE,,derived_from_unlock_and_poi_tags,,,,external_site
P1317_PRESSURE_SUIT_PATCH_FIELD_ARTICLE,derived_RS238_PRESSURE_SUIT_PATCH_FIELD_ARTICLE,biome.old_colony_locker;biome.marauder_salvage_cache,unlock.pressure_suit_patch_field_article,,P1318_AMBER_EMERGENCY_LENS_FIELD_ARTICLE;P1319_RIBBED_FLEXIBLE_HOSE_FIELD_ARTICLE,derived_from_unlock_and_poi_tags,,,,external_site
P1318_AMBER_EMERGENCY_LENS_FIELD_ARTICLE,derived_RS239_AMBER_EMERGENCY_LENS_FIELD_ARTICLE,biome.pressure_base_interior;biome.flooded_airlock,unlock.amber_emergency_lens_field_article,P1317_PRESSURE_SUIT_PATCH_FIELD_ARTICLE,,derived_from_unlock_and_poi_tags,,,,external_site
P1319_RIBBED_FLEXIBLE_HOSE_FIELD_ARTICLE,derived_RS260_RIBBED_FLEXIBLE_HOSE_FIELD_ARTICLE,biome.pressure_base_interior;biome.service_corridor,unlock.ribbed_flexible_hose_field_article,P1317_PRESSURE_SUIT_PATCH_FIELD_ARTICLE,,derived_from_unlock_and_poi_tags,,,,external_site
P131_MATERIAL_EXIT_BITTER_CREDITS,derived_RS027_FALSE_EXIT_RETURN_PRESSURE,biome.black_keel_orbit;biome.photic_shelf,unlock.material_exit_bitter_credits,P121_DOMAIN_CIVIC_CORPORATE_SPLIT,,derived_from_unlock_and_poi_tags,,,,
P1320_PHOTIC_LIMESTONE_RUBBLE_SHELF_FIELD_ARTICLE,derived_RS258_PHOTIC_LIMESTONE_RUBBLE_SHELF_FIELD_ARTICLE,biome.photic_shallows;biome.first_route_shelf,unlock.photic_limestone_rubble_shelf_field_article,,P1321_SHALLOW_SEAGRASS_ROOT_MAT_FIELD_ARTICLE,derived_from_unlock_and_poi_tags,,,,external_site
P1321_SHALLOW_SEAGRASS_ROOT_MAT_FIELD_ARTICLE,derived_RS262_SHALLOW_SEAGRASS_ROOT_MAT_FIELD_ARTICLE,biome.photic_shelf;biome.photic_shallows,unlock.shallow_seagrass_root_mat_field_article,P1320_PHOTIC_LIMESTONE_RUBBLE_SHELF_FIELD_ARTICLE,,derived_from_unlock_and_poi_tags,,,,external_site
P1322_BRINE_CANYON_SALT_CRUST_SILT_FIELD_ARTICLE,derived_RS263_BRINE_CANYON_SALT_CRUST_SILT_FIELD_ARTICLE,biome.brine_canyon;biome.density_layer,unlock.brine_canyon_salt_crust_silt_field_article,P079_HECTON8_ORBIT_TIDE_GEOMETRY,,derived_from_unlock_and_poi_tags,,,,external_site
P1323_RUBBER_GASKET_RING_TRIM_FIELD_ARTICLE,derived_RS270_RUBBER_GASKET_RING_TRIM_FIELD_ARTICLE,biome.pressure_base;biome.wreck_interior,unlock.rubber_gasket_ring_trim_field_article,,P1325_PRESSURE_BASE_EXTERIOR_HULL_TRIM_FIELD_ARTICLE,derived_from_unlock_and_poi_tags,,,,external_site
P1324_PAINT_CHIP_SCRATCH_DECAL_FIELD_ARTICLE,derived_RS271_PAINT_CHIP_SCRATCH_DECAL_FIELD_ARTICLE,biome.pressure_base;biome.wreck_interior,unlock.paint_chip_scratch_decal_field_article,,P1431_PAINT_CHIP_SCRATCH_ABRASION_LEDGER,derived_from_unlock_and_poi_tags,,,,external_site
P1325_PRESSURE_BASE_EXTERIOR_HULL_TRIM_FIELD_ARTICLE,derived_RS272_PRESSURE_BASE_EXTERIOR_HULL_TRIM_FIELD_ARTICLE,biome.pressure_base;biome.wreck_exterior,unlock.pressure_base_exterior_hull_trim_field_article,P1323_RUBBER_GASKET_RING_TRIM_FIELD_ARTICLE,,derived_from_unlock_and_poi_tags,,,,external_site
P1326_ROUTE_PERMISSION_STAMP_FIELD_ARTICLE,derived_RS273_ROUTE_PERMISSION_STAMP_FIELD_ARTICLE,biome.drowned_colony;biome.pressure_base,unlock.route_permission_stamp_field_article,,P403_REN_OKOYE_BRINE_CARTOGRAPHER_DOSSIER;P213_ROUTE_PERMISSION_STAMP_SET;P466_WORKER_TAG_EVIDENCE_BRIDGE,derived_from_unlock_and_poi_tags,,,,external_site
P1327_TRIAGE_DELAY_LEDGER_FIELD_ARTICLE,derived_RS274_TRIAGE_DELAY_LEDGER_FIELD_ARTICLE,biome.drowned_colony;biome.medical_bay,unlock.triage_delay_ledger_field_article,,P159_MEDICAL_TRIAGE_LEDGER;P212_TRIAGE_LEDGER_PROP_VARIANTS,derived_from_unlock_and_poi_tags,,,,external_site
P1328_MARAUDER_CORRECTION_MARK_FIELD_ARTICLE,derived_RS275_MARAUDER_CORRECTION_MARK_FIELD_ARTICLE,biome.claim_cache;biome.worker_locker,unlock.marauder_correction_mark_field_article,,P289_MARAUDER_CORRECTION_NOTE_SAMPLE;P160_MARAUDER_CORRECTION_LAYER,derived_from_unlock_and_poi_tags,,,,external_site
