"asset_stem","asset_family","priority_band","route_use","required_manifest_path","required_proof_filenames","required_views","visual_rejection_conditions","performance_rejection_conditions","status"
"GEN_family_kelp_patch_dense__patch","kelp_patch_dense","WAVE_01_FIRST_PROOF","Starter_ReefField base kelp patch and route color floor","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_kelp_patch_dense__patch.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_kelp_patch_dense__patch_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__patch__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__patch__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__patch__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__patch__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__patch__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__patch__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__patch__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","flat noisy grass/blob; muddy material; bad alpha; no root/holdfast; no route readability; dark/fog masking","missing compact capture; alpha blend dense field; no dither fade proof; no density cap; no LOD/instancing proof","PENDING UNITY"
"GEN_family_kelp_patch_dense__patch_tall","kelp_patch_dense","WAVE_01_FIRST_PROOF","Shallow patch height variation and route edge silhouette","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_kelp_patch_dense__patch_tall.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_kelp_patch_dense__patch_tall_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__patch_tall__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__patch_tall__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__patch_tall__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__patch_tall__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__patch_tall__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__patch_tall__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__patch_tall__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","flat noisy grass/blob; muddy material; bad alpha; no root/holdfast; no route readability; dark/fog masking","missing compact capture; alpha blend dense field; no dither fade proof; no density cap; no LOD/instancing proof","PENDING UNITY"
"GEN_family_kelp_tall__colossus__s160-240","kelp_tall","WAVE_01_FIRST_PROOF","Shallow tall kelp landmark and scale cue near first route","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_kelp_tall__colossus__s160-240.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_kelp_tall__colossus__s160-240_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__colossus__s160-240__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__colossus__s160-240__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__colossus__s160-240__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__colossus__s160-240__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__colossus__s160-240__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__colossus__s160-240__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__colossus__s160-240__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","tube/ribbon primitive; muddy material; bad alpha; root sways like tip; no holdfast; route blocked or unreadable","missing compact capture; alpha blend dense field; no vertex color proof; no LOD/HLOD proof; no instancing proof","PENDING UNITY"
"GEN_family_kelp_tall__seedling__s55-90","kelp_tall","WAVE_01_FIRST_PROOF","Foreground seedling scale and compact material clarity proof","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_kelp_tall__seedling__s55-90.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_kelp_tall__seedling__s55-90_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__seedling__s55-90__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__seedling__s55-90__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__seedling__s55-90__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__seedling__s55-90__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__seedling__s55-90__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__seedling__s55-90__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__seedling__s55-90__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","tube/ribbon primitive; muddy material; bad alpha; root sways like tip; no holdfast; route blocked or unreadable","missing compact capture; alpha blend dense field; no vertex color proof; no LOD/HLOD proof; no instancing proof","PENDING UNITY"
"GEN_family_kelp_tall__tower__s130-185","kelp_tall","WAVE_01_FIRST_PROOF","Tall kelp route marker for return-path silhouette","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_kelp_tall__tower__s130-185.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_kelp_tall__tower__s130-185_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__tower__s130-185__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__tower__s130-185__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__tower__s130-185__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__tower__s130-185__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__tower__s130-185__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__tower__s130-185__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_tall__tower__s130-185__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","tube/ribbon primitive; muddy material; bad alpha; root sways like tip; no holdfast; route blocked or unreadable","missing compact capture; alpha blend dense field; no vertex color proof; no LOD/HLOD proof; no instancing proof","PENDING UNITY"
"CaveEntrance_00","CaveEntrance","WAVE_01_FIRST_PROOF","30-100m lower photic cave-mouth landmark and route-risk read","Assets/_Project/Art/Meshes/WorldProceduralGeology/MANIFEST_CaveEntrance_00.md","Docs/Reports/GeneratedAssets/PROOF_CaveEntrance_00_validation.md; Docs/Screenshots/GeneratedAssets/CaveEntrance_00__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_00__final_material__compact.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_00__final_material__high.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_00__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_00__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_00__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_00__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","smooth noise blob; muddy/grey material; no strata/fracture/wetness; no cave-mouth route readability; dark/fog masking","missing compact capture; no COL proxy proof; LOD0 MeshCollider; no LOD/HLOD proof; no material/SRP proof","PENDING UNITY"
"LandmarkSpire_00","LandmarkSpire","WAVE_01_FIRST_PROOF","Surface/shallow landmark silhouette for return-path and scale read","Assets/_Project/Art/Meshes/WorldProceduralGeology/MANIFEST_LandmarkSpire_00.md","Docs/Reports/GeneratedAssets/PROOF_LandmarkSpire_00_validation.md; Docs/Screenshots/GeneratedAssets/LandmarkSpire_00__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_00__final_material__compact.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_00__final_material__high.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_00__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_00__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_00__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_00__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","smooth spike/noise blob; muddy/grey material; no strata/fracture/mineral process; weak landmark silhouette; dark/fog masking","missing compact capture; no COL proxy proof; LOD0 MeshCollider; no LOD/HLOD proof; no material/SRP proof","PENDING UNITY"
"RockArch_00","RockArch","WAVE_01_FIRST_PROOF","Shallow arch route landmark, swim-through silhouette, and collision proxy proof","Assets/_Project/Art/Meshes/WorldProceduralGeology/MANIFEST_RockArch_00.md","Docs/Reports/GeneratedAssets/PROOF_RockArch_00_validation.md; Docs/Screenshots/GeneratedAssets/RockArch_00__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/RockArch_00__final_material__compact.png; Docs/Screenshots/GeneratedAssets/RockArch_00__final_material__high.png; Docs/Screenshots/GeneratedAssets/RockArch_00__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/RockArch_00__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/RockArch_00__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/RockArch_00__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","smooth arch/blob; muddy/grey material; no erosion/strata/wetness; swim-through route unclear; dark/fog masking","missing compact capture; no COL proxy proof; LOD0 MeshCollider; collision blocks readable route; no LOD/HLOD proof","PENDING UNITY"
"RockShelf_00","RockShelf","WAVE_01_FIRST_PROOF","Waterline/shallow shelf terrain contact and resource-route ledge proof","Assets/_Project/Art/Meshes/WorldProceduralGeology/MANIFEST_RockShelf_00.md","Docs/Reports/GeneratedAssets/PROOF_RockShelf_00_validation.md; Docs/Screenshots/GeneratedAssets/RockShelf_00__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/RockShelf_00__final_material__compact.png; Docs/Screenshots/GeneratedAssets/RockShelf_00__final_material__high.png; Docs/Screenshots/GeneratedAssets/RockShelf_00__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/RockShelf_00__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/RockShelf_00__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/RockShelf_00__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","smooth shelf/blob; muddy/grey material; no sediment/wetness/fracture process; route ledge unclear; dark/fog masking","missing compact capture; no COL proxy proof; LOD0 MeshCollider; no LOD/HLOD proof; no material/SRP proof","PENDING UNITY"
"GEN_family_kelp_abyssal__cathedral__s140-240","kelp_abyssal","WAVE_02_MEDIUM_DEPTH_CONTINUITY","30-100m lower photic to medium-depth hero continuity silhouette","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_kelp_abyssal__cathedral__s140-240.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_kelp_abyssal__cathedral__s140-240_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__cathedral__s140-240__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__cathedral__s140-240__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__cathedral__s140-240__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__cathedral__s140-240__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__cathedral__s140-240__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__cathedral__s140-240__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__cathedral__s140-240__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","abyss-only darkness applied to shallow route; ribbon/tube primitive; muddy material; bad alpha; no holdfast; route readability lost","missing compact capture; alpha blend dense field; no vertex color proof; no LOD/HLOD proof; no instancing proof","PENDING UNITY"
"GEN_family_kelp_abyssal__cowl__s110-180","kelp_abyssal","WAVE_02_MEDIUM_DEPTH_CONTINUITY","Lower photic cowl silhouette and transition from bright shallows to medium depth","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_kelp_abyssal__cowl__s110-180.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_kelp_abyssal__cowl__s110-180_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__cowl__s110-180__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__cowl__s110-180__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__cowl__s110-180__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__cowl__s110-180__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__cowl__s110-180__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__cowl__s110-180__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__cowl__s110-180__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","abyss-only darkness applied to shallow route; ribbon/tube primitive; muddy material; bad alpha; no holdfast; route readability lost","missing compact capture; alpha blend dense field; no vertex color proof; no LOD/HLOD proof; no instancing proof","PENDING UNITY"
"GEN_family_kelp_abyssal__lantern__s100-180","kelp_abyssal","WAVE_02_MEDIUM_DEPTH_CONTINUITY","Medium-depth biolum cue with non-random glow and route information","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_kelp_abyssal__lantern__s100-180.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_kelp_abyssal__lantern__s100-180_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__lantern__s100-180__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__lantern__s100-180__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__lantern__s100-180__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__lantern__s100-180__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__lantern__s100-180__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__lantern__s100-180__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__lantern__s100-180__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","random glow noise; abyss-only darkness applied to shallow route; primitive body; bad material channels; no route cue","missing compact capture; alpha blend/glow overdraw; no emission mask proof; no LOD/HLOD proof; no instancing proof","PENDING UNITY"
"GEN_family_kelp_abyssal__petal__s100-170","kelp_abyssal","WAVE_02_MEDIUM_DEPTH_CONTINUITY","Medium-depth petal form and lower photic color continuity","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_kelp_abyssal__petal__s100-170.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_kelp_abyssal__petal__s100-170_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__petal__s100-170__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__petal__s100-170__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__petal__s100-170__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__petal__s100-170__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__petal__s100-170__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__petal__s100-170__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__petal__s100-170__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","abyss-only darkness applied to shallow route; petal card primitive; muddy material; bad alpha; no holdfast; route readability lost","missing compact capture; alpha blend dense field; no vertex color proof; no LOD/HLOD proof; no instancing proof","PENDING UNITY"
"GEN_family_kelp_abyssal__tatterveil__s110-185","kelp_abyssal","WAVE_02_MEDIUM_DEPTH_CONTINUITY","Lower photic tattered veil silhouette without overdraw/mud failure","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_kelp_abyssal__tatterveil__s110-185.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_kelp_abyssal__tatterveil__s110-185_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__tatterveil__s110-185__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__tatterveil__s110-185__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__tatterveil__s110-185__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__tatterveil__s110-185__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__tatterveil__s110-185__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__tatterveil__s110-185__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__tatterveil__s110-185__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","abyss-only darkness applied to shallow route; veil card primitive; muddy material; bad alpha; no holdfast; route readability lost","missing compact capture; alpha blend dense field; no dither fade proof; no LOD/HLOD proof; no instancing proof","PENDING UNITY"
"GEN_family_kelp_abyssal__veilwall__s150-240","kelp_abyssal","WAVE_02_MEDIUM_DEPTH_CONTINUITY","Medium-depth veilwall route boundary and compact silhouette proof","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_kelp_abyssal__veilwall__s150-240.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_kelp_abyssal__veilwall__s150-240_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__veilwall__s150-240__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__veilwall__s150-240__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__veilwall__s150-240__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__veilwall__s150-240__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__veilwall__s150-240__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__veilwall__s150-240__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_abyssal__veilwall__s150-240__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","abyss-only darkness applied to shallow route; veil/card primitive; muddy material; bad alpha; no holdfast; route readability lost","missing compact capture; alpha blend dense field; no dither fade proof; no LOD/HLOD proof; no instancing proof","PENDING UNITY"
"CaveEntrance_01","CaveEntrance","WAVE_02_MEDIUM_DEPTH_CONTINUITY","30-100m lower photic alternate cave-mouth landmark and route-risk read","Assets/_Project/Art/Meshes/WorldProceduralGeology/MANIFEST_CaveEntrance_01.md","Docs/Reports/GeneratedAssets/PROOF_CaveEntrance_01_validation.md; Docs/Screenshots/GeneratedAssets/CaveEntrance_01__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_01__final_material__compact.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_01__final_material__high.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_01__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_01__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_01__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_01__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","smooth noise blob; muddy/grey material; no strata/fracture/wetness; cave route unclear; dark/fog masking","missing compact capture; no COL proxy proof; LOD0 MeshCollider; no LOD/HLOD proof; no material/SRP proof","PENDING UNITY"
"CaveEntrance_02","CaveEntrance","WAVE_02_MEDIUM_DEPTH_CONTINUITY","Medium-depth cave-mouth continuity and return-path silhouette proof","Assets/_Project/Art/Meshes/WorldProceduralGeology/MANIFEST_CaveEntrance_02.md","Docs/Reports/GeneratedAssets/PROOF_CaveEntrance_02_validation.md; Docs/Screenshots/GeneratedAssets/CaveEntrance_02__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_02__final_material__compact.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_02__final_material__high.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_02__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_02__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_02__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/CaveEntrance_02__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","smooth noise blob; muddy/grey material; no strata/fracture/wetness; cave route unclear; dark/fog masking","missing compact capture; no COL proxy proof; LOD0 MeshCollider; no LOD/HLOD proof; no material/SRP proof","PENDING UNITY"
"LandmarkSpire_01","LandmarkSpire","WAVE_02_MEDIUM_DEPTH_CONTINUITY","Lower photic landmark silhouette and medium-depth scale cue","Assets/_Project/Art/Meshes/WorldProceduralGeology/MANIFEST_LandmarkSpire_01.md","Docs/Reports/GeneratedAssets/PROOF_LandmarkSpire_01_validation.md; Docs/Screenshots/GeneratedAssets/LandmarkSpire_01__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_01__final_material__compact.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_01__final_material__high.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_01__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_01__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_01__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_01__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","smooth spike/noise blob; muddy/grey material; no strata/fracture/mineral process; weak landmark silhouette; dark/fog masking","missing compact capture; no COL proxy proof; LOD0 MeshCollider; no LOD/HLOD proof; no material/SRP proof","PENDING UNITY"
"LandmarkSpire_02","LandmarkSpire","WAVE_02_MEDIUM_DEPTH_CONTINUITY","Medium-depth route silhouette and return landmark proof","Assets/_Project/Art/Meshes/WorldProceduralGeology/MANIFEST_LandmarkSpire_02.md","Docs/Reports/GeneratedAssets/PROOF_LandmarkSpire_02_validation.md; Docs/Screenshots/GeneratedAssets/LandmarkSpire_02__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_02__final_material__compact.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_02__final_material__high.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_02__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_02__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_02__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/LandmarkSpire_02__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","smooth spike/noise blob; muddy/grey material; no strata/fracture/mineral process; weak landmark silhouette; dark/fog masking","missing compact capture; no COL proxy proof; LOD0 MeshCollider; no LOD/HLOD proof; no material/SRP proof","PENDING UNITY"
"RockArch_01","RockArch","WAVE_02_MEDIUM_DEPTH_CONTINUITY","Lower photic arch route landmark and vehicle/player clearance read","Assets/_Project/Art/Meshes/WorldProceduralGeology/MANIFEST_RockArch_01.md","Docs/Reports/GeneratedAssets/PROOF_RockArch_01_validation.md; Docs/Screenshots/GeneratedAssets/RockArch_01__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/RockArch_01__final_material__compact.png; Docs/Screenshots/GeneratedAssets/RockArch_01__final_material__high.png; Docs/Screenshots/GeneratedAssets/RockArch_01__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/RockArch_01__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/RockArch_01__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/RockArch_01__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","smooth arch/blob; muddy/grey material; no erosion/strata/wetness; swim-through route unclear; dark/fog masking","missing compact capture; no COL proxy proof; LOD0 MeshCollider; collision blocks readable route; no LOD/HLOD proof","PENDING UNITY"
"RockArch_02","RockArch","WAVE_02_MEDIUM_DEPTH_CONTINUITY","Medium-depth arch silhouette and route composition proof","Assets/_Project/Art/Meshes/WorldProceduralGeology/MANIFEST_RockArch_02.md","Docs/Reports/GeneratedAssets/PROOF_RockArch_02_validation.md; Docs/Screenshots/GeneratedAssets/RockArch_02__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/RockArch_02__final_material__compact.png; Docs/Screenshots/GeneratedAssets/RockArch_02__final_material__high.png; Docs/Screenshots/GeneratedAssets/RockArch_02__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/RockArch_02__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/RockArch_02__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/RockArch_02__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","smooth arch/blob; muddy/grey material; no erosion/strata/wetness; swim-through route unclear; dark/fog masking","missing compact capture; no COL proxy proof; LOD0 MeshCollider; collision blocks readable route; no LOD/HLOD proof","PENDING UNITY"
