"family_id","asset_category","target_material_family","allowed_shader_route","required_albedo","required_normal","required_packed_map","packed_channel_contract","required_optional_masks","forbidden_donor_sources","allowed_output_folder","prefab_binding_allowed","proof_required","status"
"PLAYER_LABELS_LATCHES_INSTRUMENT_TRIMS","player_suit_trim","Player labels latches instrument trims cyan amber worn labels","Hecton_MraoAtlasLit after suit trim/decal manifest or dedicated trim shader","Project-owned suit trim/decal atlas albedo with readable service labels","Project-owned latch chip label relief normal","TX_Player_LABELS_LATCHES_INSTRUMENT_TRIMS_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask","cyan/amber emission; label alpha; latch wear; decal masks","RuntimeVisualProof label swatches as final; flat color trims; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/PlayerSuit; Assets/_Project/Materials/ProductFace/PlayerSuit","false","decal atlas source; import report; first-person readability screenshot later","MISSING_SOURCE_REQUIRED"
"ENV_SKY_DOME_CLOUDS","route_owned_environment_not_product_face_donor","Sky dome and cloud panorama route-owned visual source","H8_SurfaceCloudPanorama_1428 route only","Route-owned sky/cloud albedo masks clod1/clod2; not ProductFace donor","Route-specific cloud softness; no ProductFace normal role","Route-specific cloud mask/material data only","ROUTE_OWNED_ENVIRONMENT: not ProductFace packed map","cloud opacity/softness/threshold masks only inside sky route","all ProductFace body use; tool/resource/transport/player suit donors; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","sky route Unity/capture proof required by sky owner; not ProductFace proof","ROUTE_OWNED_NOT_PRODUCT_FACE_DONOR"
"ENV_SKY_DOME_SOURCE_MESH","route_owned_environment_not_product_face_donor","Sky dome source mesh cleanup risk route-owned","H8_SurfaceCloudPanorama_1428 route only","Route-owned sky dome material only","No ProductFace normal role","No ProductFace packed map role","ROUTE_OWNED_ENVIRONMENT: not ProductFace packed map","source mesh cleanup proof only","using sky dome primitive/material as ProductFace donor; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","sky source cleanup and Unity proof by sky owner","ROUTE_OWNED_NOT_PRODUCT_FACE_DONOR"
"ENV_AEGIR_GAS_GIANT_DISC","route_owned_environment_not_product_face_donor","Aegir gas giant disc bands storms route-owned","H8_AegirGasGiantImpostor_1428 route only","Route-owned Aegir band/storm textures; not ProductFace donor","No ProductFace normal role","No ProductFace packed map role","ROUTE_OWNED_ENVIRONMENT: not ProductFace packed map","storm overlay; limb softness; halo route masks","using Aegir/cloud/storm textures for ProductFace bodies; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","Aegir capture proof required by celestial/sky owner; methane blue/purple allowed only if premium","ROUTE_OWNED_NOT_PRODUCT_FACE_DONOR"
"ENV_AEGIR_ALT_REAL_DISC","route_owned_environment_not_product_face_donor","Aegir alternate real disc route-owned candidate","URP Lit route-owned material only until promoted by celestial owner","Route-owned gas giant texture source; not ProductFace donor","No ProductFace normal role","No ProductFace packed map role","ROUTE_OWNED_ENVIRONMENT: not ProductFace packed map","atmospheric edge/scale masks if route owner promotes","using planet texture as metal/glass/ore donor; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","celestial owner promotion and capture proof required","ROUTE_OWNED_NOT_PRODUCT_FACE_DONOR"
"ENV_AEGIR_BAKED_DISC_CARD","route_owned_environment_not_product_face_donor","Aegir baked disc surface card route-owned impostor","URP Lit route-owned material only","Route-owned baked disc texture; not ProductFace donor","No ProductFace normal role","No ProductFace packed map role","ROUTE_OWNED_ENVIRONMENT: not ProductFace packed map","halo/edge presentation only","using baked disc as ProductFace albedo donor; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","surface/celestial capture proof required","ROUTE_OWNED_NOT_PRODUCT_FACE_DONOR"
"ENV_MOONS_CELESTIAL_BODIES","route_owned_environment_not_product_face_donor","Moons and celestial bodies route-owned","Hecton_CelestialMoon route only","Route-owned moon albedo paths still unresolved by 1883; not ProductFace donor","Optional route-owned moon normal only","No ProductFace packed map role","ROUTE_OWNED_ENVIRONMENT: not ProductFace packed map","phase/terminator semantics owned by celestial route","moon textures/materials as ProductFace donors; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","explicit moon texture role and Unity/capture proof by celestial owner","MISSING_SOURCE_REQUIRED_ROUTE_OWNED_NOT_DONOR"
"ENV_SURFACE_OCEAN_FIRST_PARTY_CANDIDATE","route_owned_environment_not_product_face_donor","First-party surface Crest ocean material candidate route-owned","Crest Ocean shader route only; third-party integrity constrained","Route-owned ocean surface color/normal/foam; not ProductFace donor","Route-owned wave normal only","No ProductFace body packed map role","ROUTE_OWNED_OCEAN: not ProductFace packed map","foam/caustic optional sensory route only","Crest/ocean normals/foam/caustics as tool/suit/transport wetness donors; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","ocean owner Unity/capture/Frame Debugger proof required","ROUTE_OWNED_NOT_PRODUCT_FACE_DONOR"
"ENV_SURFACE_OCEAN_ACTIVE_CREST_PACKAGE","route_owned_environment_not_product_face_donor","Active static Crest package ocean route-owned","Assets/Crest/Crest/Shaders/Ocean.shader asset assignment only; no clone/mutate shortcut","Crest package ocean textures are route-owned third-party assets","Crest wave normals route only","No ProductFace body packed map role","THIRD_PARTY_ROUTE_OWNED: not ProductFace packed map","Crest foam/caustic route only","Crest Ocean.mat; WaveNormals; Foam2; caustics as ProductFace donors; cloned Crest material; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","Crest owner proof; third-party asset integrity; no ProductFace proof","THIRD_PARTY_ROUTE_OWNED_NOT_PRODUCT_FACE_DONOR"
"ENV_FOAM_WATERLINE_RIBBONS","route_owned_environment_not_product_face_donor","Foam waterline ribbons route-owned","H8_ShorelineFoamRibbon_1428 route only","Route-owned foam texture; not ProductFace donor","No ProductFace normal role","No ProductFace body packed map role","ROUTE_OWNED_WATERLINE: not ProductFace packed map","depth fade; soft edge; foam mask only","foam/waterline textures as dirt/wetness ProductFace donors; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","shore/waterline capture proof required by environment owner","ROUTE_OWNED_NOT_PRODUCT_FACE_DONOR"
"ENV_STORM_DIRTY_FOAM","route_owned_environment_not_product_face_donor","Storm dirty foam event-only route-owned","H8_ShorelineFoamRibbon_1428 weather-only route","Storm/event foam albedo only; not normal surface or ProductFace donor","No ProductFace normal role","No ProductFace packed map role","WEATHER_ONLY: not ProductFace packed map","storm dirt/foam intensity only during event scope","dirty foam as ProductFace grime shortcut; storm/noir hiding weak art; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","storm/weather proof required; cannot replace normal bright surface proof","WEATHER_ONLY_NOT_PRODUCT_FACE_DONOR"
"ENV_STORM_OCEAN_SURFACE","route_owned_environment_not_product_face_donor","Storm ocean surface event-only route-owned","Hecton_StormOceanSurface route only","Storm ocean interference route-owned; not ProductFace donor","Route-owned interference normal if any","No ProductFace packed map role","WEATHER_ONLY: not ProductFace packed map","storm interference and spray masks only","storm water as transport/suit wetness donor; noir hiding weak art; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","weather owner proof; normal surface remains bright/readable","WEATHER_ONLY_NOT_PRODUCT_FACE_DONOR"
"ENV_CREST_HIDDEN_ALBEDO_OIL_INPUT","route_owned_environment_not_product_face_donor","Sargassum oil film Crest hidden input route-owned","Crest_SargassumOilFilm hidden input route only","Runtime facade mask only; not visible art and not ProductFace albedo","No ProductFace normal role","No ProductFace packed map role","HIDDEN_CREST_INPUT: density/cut/oil mask only; not ProductFace packed map","oil film facade mask only","sargassum oil input as ProductFace wetness/body donor; visible primitive plane; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","Frame Debugger/Unity proof required to show hidden input is not visible","HIDDEN_INPUT_NOT_PRODUCT_FACE_DONOR"
"ENV_CREST_HIDDEN_WAVE_DAMPING_INPUT","route_owned_environment_not_product_face_donor","Sargassum wave damping Crest hidden input route-owned","Crest_SargassumWaveDamping hidden input route only","Runtime facade mask only; not ProductFace albedo","No ProductFace normal role","No ProductFace packed map role","HIDDEN_CREST_INPUT: density/cut/wave damping only; not ProductFace packed map","wave damping mask only","wave damping input as ProductFace donor; visible primitive plane; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","Frame Debugger/Unity proof required by ocean owner","HIDDEN_INPUT_NOT_PRODUCT_FACE_DONOR"
"ENV_CREST_HIDDEN_FOAM_DAMPING_INPUT","route_owned_environment_not_product_face_donor","Sargassum foam damping Crest hidden input route-owned","Crest_SargassumFoamDamping hidden input route only","Runtime/input mask only; not ProductFace albedo","No ProductFace normal role","No ProductFace packed map role","HIDDEN_CREST_INPUT: foam damping only; not ProductFace packed map","foam damping facade mask only","foam damping input as ProductFace donor; visible primitive plane; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","Frame Debugger/Unity proof required by ocean owner","HIDDEN_INPUT_NOT_PRODUCT_FACE_DONOR"
"ENV_SARGASSUM_DAMPING_CONTROLLER","route_owned_environment_not_product_face_donor","Sargassum damping controller facade textures route-owned","Hecton_SargassumDampingFacade.compute route only","Runtime facade outputs only; not ProductFace source albedo","No ProductFace normal role","No ProductFace packed map role","ROUTE_OWNED_RUNTIME_FACADE: not ProductFace packed map","density/cut/oil/wave facade masks only","runtime facade textures as ProductFace source; material clones; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","profiler/GC/Frame Debugger proof required by ocean owner","ROUTE_OWNED_NOT_PRODUCT_FACE_DONOR"
"ENV_SARGASSUM_MICROFAUNA_BOIDS","route_owned_environment_not_product_face_donor","Sargassum micro-fauna boids material mesh texture role route-owned","BoidFishInstanced and SargassumMicroFaunaBoids compute route only","Route-owned micro-fauna material; missing VAT source; not ProductFace donor","VAT normal/position missing by 1883; no ProductFace role","No ProductFace body packed map role","ROUTE_OWNED_FAUNA_PRESENTATION: not ProductFace packed map","VAT position/normal; hit flash; dither keep; state masks if authored","micro-fauna material/mesh/flow texture as ProductFace donor; built-in plane as proof; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","authored mesh/VAT and runtime proof required by ocean/fauna owner","MISSING_SOURCE_REQUIRED_ROUTE_OWNED_NOT_DONOR"
"ENV_SURFACE_SKY_NOIR_GRADIENT","route_owned_environment_not_product_face_donor","Surface sky noir gradient legacy event-only route-owned","event/eclipsed/storm route only; normal surface rejected","Noir gradient route-owned; not ProductFace donor","No ProductFace normal role","No ProductFace packed map role","EVENT_ONLY_NOIR: not ProductFace packed map","occlusion/exposure event scalar only","noir gradient as ProductFace albedo or proof; darkness hiding weak art; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","event-scoped Unity/capture proof required; normal surface remains bright","LEGACY_RISK_EVENT_ONLY_NOT_PRODUCT_FACE_DONOR"
"ENV_DEPTH_ABYSS_FOG_HAZE","route_owned_environment_not_product_face_donor","Depth abyss fog haze route-owned deep-only materials","deep/cave/interior/pressure route only","Depth/noir/fog materials route-owned; not ProductFace donor","No ProductFace normal role","No ProductFace packed map role","DEEP_ONLY: not ProductFace packed map","fog/haze/silhouette presentation only","depth/noir/fog as ProductFace texture source or proof; hiding weak art; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","depth route capture/profiler proof required by environment owner","DEEP_ONLY_NOT_PRODUCT_FACE_DONOR"
"ENV_PHOTIC_SHALLOWS_WATER_CLARITY","route_owned_environment_not_product_face_donor","Photic shallows water clarity route-owned missing source package","BLOCKED until shallows material/shader source package exists","Route-owned shallow clarity albedo/extinction source missing; not ProductFace donor","Route-owned refraction/normal missing","No ProductFace packed map role","MISSING_ROUTE_CONTRACT: not ProductFace packed map","caustic hint; seabed visibility; extinction/refraction masks","generic blue fog; ocean/foam/terrain as ProductFace donor; ai_texture_prefab_bindings","ROUTE_OWNED_ENVIRONMENT_ONLY_NO_PRODUCTFACE_OUTPUT","false","source package and bright Subnautica-floor capture required by water/world owner","MISSING_SOURCE_REQUIRED_ROUTE_OWNED_NOT_DONOR"
