source_packet,target_packet,edge_type,shared_term,spoiler_relation,reason
P543,P514,UNLOCKS_CONTEXT,TERM_20,None,Logical connection
P521,P546,EVIDENCE_PRECEDES,TERM_19,None,Logical connection
P555,P500,TERMINOLOGY_SHARED,TERM_73,None,Logical connection
P447,P523,CONTRADICTS,TERM_74,None,Logical connection
P530,P500,PUBLIC_SITE_REUSES,TERM_24,None,Logical connection
P488,P477,UNLOCKS_CONTEXT,TERM_14,None,Logical connection
P551,P463,UNLOCKS_CONTEXT,TERM_3,None,Logical connection
P493,P528,FALSE_EXIT_VARIANT,TERM_42,None,Logical connection
P472,P443,FALSE_EXIT_VARIANT,TERM_57,None,Logical connection
P455,P493,TERMINOLOGY_SHARED,TERM_92,None,Logical connection
P479,P538,TERMINOLOGY_SHARED,TERM_85,None,Logical connection
P554,P487,CONTRADICTS,TERM_30,None,Logical connection
P471,P528,TERMINOLOGY_SHARED,TERM_27,None,Logical connection
P507,P449,TERMINOLOGY_SHARED,TERM_1,None,Logical connection
P555,P481,UNLOCKS_CONTEXT,TERM_20,None,Logical connection
P474,P454,SCANNER_TO_CODEX,TERM_30,None,Logical connection
P484,P494,SCANNER_TO_CODEX,TERM_88,None,Logical connection
P456,P543,SCANNER_TO_CODEX,TERM_42,None,Logical connection
P477,P445,LOCALIZATION_RISK_SHARED,TERM_41,None,Logical connection
P483,P548,PUBLIC_SITE_REUSES,TERM_66,None,Logical connection
P534,P504,PUBLIC_SITE_REUSES,TERM_17,None,Logical connection
P451,P516,PUBLIC_SITE_REUSES,TERM_21,None,Logical connection
P495,P451,UNLOCKS_CONTEXT,TERM_49,None,Logical connection
P496,P539,FALSE_EXIT_VARIANT,TERM_89,None,Logical connection
P523,P448,CONTRADICTS,TERM_96,None,Logical connection
P484,P450,SCANNER_TO_CODEX,TERM_49,None,Logical connection
P481,P472,LOCALIZATION_RISK_SHARED,TERM_4,None,Logical connection
P539,P543,EVIDENCE_PRECEDES,TERM_93,None,Logical connection
P487,P534,SCANNER_TO_CODEX,TERM_82,None,Logical connection
P520,P522,FALSE_EXIT_VARIANT,TERM_32,None,Logical connection
P441,P480,LOCALIZATION_RISK_SHARED,TERM_1,None,Logical connection
P479,P534,SCANNER_TO_CODEX,TERM_80,None,Logical connection
P533,P532,CONTRADICTS,TERM_59,None,Logical connection
P462,P457,SCANNER_TO_CODEX,TERM_8,None,Logical connection
P470,P514,CONTRADICTS,TERM_39,None,Logical connection
P448,P538,LOCALIZATION_RISK_SHARED,TERM_19,None,Logical connection
P443,P454,CONTRADICTS,TERM_8,None,Logical connection
P444,P443,UNLOCKS_CONTEXT,TERM_21,None,Logical connection
P532,P504,EVIDENCE_PRECEDES,TERM_78,None,Logical connection
P458,P464,TERMINOLOGY_SHARED,TERM_99,None,Logical connection
P466,P488,SCANNER_TO_CODEX,TERM_22,None,Logical connection
P547,P469,UNLOCKS_CONTEXT,TERM_35,None,Logical connection
P441,P498,UNLOCKS_CONTEXT,TERM_1,None,Logical connection
P502,P544,SCANNER_TO_CODEX,TERM_42,None,Logical connection
P503,P532,SCANNER_TO_CODEX,TERM_38,None,Logical connection
P482,P540,FALSE_EXIT_VARIANT,TERM_16,None,Logical connection
P467,P532,EVIDENCE_PRECEDES,TERM_0,None,Logical connection
P557,P455,SCANNER_TO_CODEX,TERM_88,None,Logical connection
P502,P455,EVIDENCE_PRECEDES,TERM_21,None,Logical connection
P440,P536,LOCALIZATION_RISK_SHARED,TERM_68,None,Logical connection
P541,P524,TERMINOLOGY_SHARED,TERM_10,None,Logical connection
P547,P480,LOCALIZATION_RISK_SHARED,TERM_25,None,Logical connection
P481,P540,SCANNER_TO_CODEX,TERM_30,None,Logical connection
P475,P523,UNLOCKS_CONTEXT,TERM_98,None,Logical connection
P462,P444,EVIDENCE_PRECEDES,TERM_70,None,Logical connection
P509,P501,SCANNER_TO_CODEX,TERM_35,None,Logical connection
P540,P544,FALSE_EXIT_VARIANT,TERM_96,None,Logical connection
P474,P455,TERMINOLOGY_SHARED,TERM_31,None,Logical connection
P461,P511,UNLOCKS_CONTEXT,TERM_78,None,Logical connection
P445,P506,PUBLIC_SITE_REUSES,TERM_43,None,Logical connection
P457,P446,LOCALIZATION_RISK_SHARED,TERM_92,None,Logical connection
P502,P531,LOCALIZATION_RISK_SHARED,TERM_72,None,Logical connection
P450,P506,TERMINOLOGY_SHARED,TERM_28,None,Logical connection
P559,P454,SCANNER_TO_CODEX,TERM_92,None,Logical connection
P451,P502,CONTRADICTS,TERM_95,None,Logical connection
P518,P495,TERMINOLOGY_SHARED,TERM_25,None,Logical connection
P450,P535,LOCALIZATION_RISK_SHARED,TERM_37,None,Logical connection
P535,P446,SCANNER_TO_CODEX,TERM_51,None,Logical connection
P540,P453,FALSE_EXIT_VARIANT,TERM_49,None,Logical connection
P498,P539,LOCALIZATION_RISK_SHARED,TERM_99,None,Logical connection
P462,P545,SCANNER_TO_CODEX,TERM_34,None,Logical connection
P488,P553,CONTRADICTS,TERM_60,None,Logical connection
P510,P462,PUBLIC_SITE_REUSES,TERM_24,None,Logical connection
P548,P496,PUBLIC_SITE_REUSES,TERM_14,None,Logical connection
P477,P503,FALSE_EXIT_VARIANT,TERM_73,None,Logical connection
P533,P523,TERMINOLOGY_SHARED,TERM_66,None,Logical connection
P514,P463,LOCALIZATION_RISK_SHARED,TERM_31,None,Logical connection
P454,P513,UNLOCKS_CONTEXT,TERM_26,None,Logical connection
P470,P554,LOCALIZATION_RISK_SHARED,TERM_70,None,Logical connection
P524,P524,PUBLIC_SITE_REUSES,TERM_84,None,Logical connection
P542,P506,FALSE_EXIT_VARIANT,TERM_59,None,Logical connection
P486,P454,PUBLIC_SITE_REUSES,TERM_33,None,Logical connection
P533,P467,UNLOCKS_CONTEXT,TERM_26,None,Logical connection
P542,P554,UNLOCKS_CONTEXT,TERM_85,None,Logical connection
P462,P529,LOCALIZATION_RISK_SHARED,TERM_12,None,Logical connection
P519,P505,UNLOCKS_CONTEXT,TERM_82,None,Logical connection
P457,P492,FALSE_EXIT_VARIANT,TERM_73,None,Logical connection
P470,P500,LOCALIZATION_RISK_SHARED,TERM_79,None,Logical connection
P556,P474,EVIDENCE_PRECEDES,TERM_41,None,Logical connection
P531,P518,PUBLIC_SITE_REUSES,TERM_20,None,Logical connection
P459,P548,TERMINOLOGY_SHARED,TERM_46,None,Logical connection
P441,P522,SCANNER_TO_CODEX,TERM_8,None,Logical connection
P504,P456,LOCALIZATION_RISK_SHARED,TERM_32,None,Logical connection
P543,P468,FALSE_EXIT_VARIANT,TERM_27,None,Logical connection
P530,P488,EVIDENCE_PRECEDES,TERM_94,None,Logical connection
P500,P461,SCANNER_TO_CODEX,TERM_49,None,Logical connection
P546,P521,TERMINOLOGY_SHARED,TERM_1,None,Logical connection
P477,P523,UNLOCKS_CONTEXT,TERM_66,None,Logical connection
P530,P547,EVIDENCE_PRECEDES,TERM_64,None,Logical connection
P443,P478,UNLOCKS_CONTEXT,TERM_8,None,Logical connection
P472,P528,EVIDENCE_PRECEDES,TERM_51,None,Logical connection
P470,P497,FALSE_EXIT_VARIANT,TERM_48,None,Logical connection
P557,P465,CONTRADICTS,TERM_25,None,Logical connection
P468,P458,PUBLIC_SITE_REUSES,TERM_41,None,Logical connection
P490,P455,CONTRADICTS,TERM_98,None,Logical connection
P488,P468,EVIDENCE_PRECEDES,TERM_7,None,Logical connection
P550,P496,EVIDENCE_PRECEDES,TERM_24,None,Logical connection
P508,P506,CONTRADICTS,TERM_40,None,Logical connection
P479,P511,SCANNER_TO_CODEX,TERM_20,None,Logical connection
P489,P515,TERMINOLOGY_SHARED,TERM_35,None,Logical connection
P478,P522,CONTRADICTS,TERM_53,None,Logical connection
P530,P487,LOCALIZATION_RISK_SHARED,TERM_98,None,Logical connection
P443,P462,SCANNER_TO_CODEX,TERM_17,None,Logical connection
P530,P535,TERMINOLOGY_SHARED,TERM_93,None,Logical connection
P468,P501,FALSE_EXIT_VARIANT,TERM_85,None,Logical connection
P449,P554,FALSE_EXIT_VARIANT,TERM_73,None,Logical connection
P479,P480,EVIDENCE_PRECEDES,TERM_69,None,Logical connection
P553,P517,CONTRADICTS,TERM_13,None,Logical connection
P487,P514,UNLOCKS_CONTEXT,TERM_7,None,Logical connection
P486,P541,LOCALIZATION_RISK_SHARED,TERM_38,None,Logical connection
P538,P555,FALSE_EXIT_VARIANT,TERM_84,None,Logical connection
P496,P487,SCANNER_TO_CODEX,TERM_96,None,Logical connection
P534,P520,EVIDENCE_PRECEDES,TERM_3,None,Logical connection
P542,P483,EVIDENCE_PRECEDES,TERM_92,None,Logical connection
P532,P478,FALSE_EXIT_VARIANT,TERM_1,None,Logical connection
P535,P521,PUBLIC_SITE_REUSES,TERM_72,None,Logical connection
P511,P469,EVIDENCE_PRECEDES,TERM_1,None,Logical connection
P536,P543,UNLOCKS_CONTEXT,TERM_50,None,Logical connection
P503,P447,PUBLIC_SITE_REUSES,TERM_61,None,Logical connection
P548,P481,PUBLIC_SITE_REUSES,TERM_32,None,Logical connection
P469,P456,LOCALIZATION_RISK_SHARED,TERM_16,None,Logical connection
P489,P462,LOCALIZATION_RISK_SHARED,TERM_76,None,Logical connection
P537,P511,TERMINOLOGY_SHARED,TERM_56,None,Logical connection
P466,P459,CONTRADICTS,TERM_71,None,Logical connection
P542,P490,TERMINOLOGY_SHARED,TERM_37,None,Logical connection
P523,P510,CONTRADICTS,TERM_55,None,Logical connection
P480,P516,FALSE_EXIT_VARIANT,TERM_90,None,Logical connection
P463,P482,CONTRADICTS,TERM_77,None,Logical connection
P479,P543,CONTRADICTS,TERM_75,None,Logical connection
P516,P540,FALSE_EXIT_VARIANT,TERM_14,None,Logical connection
P497,P471,EVIDENCE_PRECEDES,TERM_65,None,Logical connection
P545,P488,SCANNER_TO_CODEX,TERM_78,None,Logical connection
P509,P515,FALSE_EXIT_VARIANT,TERM_70,None,Logical connection
P459,P545,TERMINOLOGY_SHARED,TERM_22,None,Logical connection
P504,P475,LOCALIZATION_RISK_SHARED,TERM_50,None,Logical connection
P484,P503,UNLOCKS_CONTEXT,TERM_64,None,Logical connection
P497,P519,UNLOCKS_CONTEXT,TERM_29,None,Logical connection
P487,P524,UNLOCKS_CONTEXT,TERM_7,None,Logical connection
P541,P556,EVIDENCE_PRECEDES,TERM_12,None,Logical connection
P444,P476,FALSE_EXIT_VARIANT,TERM_7,None,Logical connection
P517,P461,TERMINOLOGY_SHARED,TERM_62,None,Logical connection
P481,P478,LOCALIZATION_RISK_SHARED,TERM_83,None,Logical connection
P474,P492,FALSE_EXIT_VARIANT,TERM_45,None,Logical connection
P469,P519,TERMINOLOGY_SHARED,TERM_1,None,Logical connection
P500,P488,SCANNER_TO_CODEX,TERM_49,None,Logical connection
P530,P531,TERMINOLOGY_SHARED,TERM_26,None,Logical connection
P483,P491,TERMINOLOGY_SHARED,TERM_76,None,Logical connection
P469,P475,EVIDENCE_PRECEDES,TERM_100,None,Logical connection
P518,P552,CONTRADICTS,TERM_35,None,Logical connection
P559,P543,SCANNER_TO_CODEX,TERM_96,None,Logical connection
P522,P463,SCANNER_TO_CODEX,TERM_61,None,Logical connection
P546,P487,SCANNER_TO_CODEX,TERM_80,None,Logical connection
P528,P529,UNLOCKS_CONTEXT,TERM_83,None,Logical connection
P448,P471,CONTRADICTS,TERM_85,None,Logical connection
P504,P544,PUBLIC_SITE_REUSES,TERM_15,None,Logical connection
P559,P525,EVIDENCE_PRECEDES,TERM_85,None,Logical connection
P496,P548,EVIDENCE_PRECEDES,TERM_91,None,Logical connection
P444,P464,LOCALIZATION_RISK_SHARED,TERM_94,None,Logical connection
P503,P472,CONTRADICTS,TERM_34,None,Logical connection
P532,P466,CONTRADICTS,TERM_3,None,Logical connection
P513,P490,PUBLIC_SITE_REUSES,TERM_72,None,Logical connection
P499,P462,LOCALIZATION_RISK_SHARED,TERM_10,None,Logical connection
P532,P527,UNLOCKS_CONTEXT,TERM_73,None,Logical connection
P534,P552,SCANNER_TO_CODEX,TERM_66,None,Logical connection
P500,P444,CONTRADICTS,TERM_24,None,Logical connection
P534,P499,PUBLIC_SITE_REUSES,TERM_16,None,Logical connection
P487,P481,TERMINOLOGY_SHARED,TERM_61,None,Logical connection
P485,P511,CONTRADICTS,TERM_15,None,Logical connection
P548,P517,TERMINOLOGY_SHARED,TERM_21,None,Logical connection
P514,P557,TERMINOLOGY_SHARED,TERM_91,None,Logical connection
P471,P456,FALSE_EXIT_VARIANT,TERM_28,None,Logical connection
P505,P537,EVIDENCE_PRECEDES,TERM_72,None,Logical connection
P448,P480,PUBLIC_SITE_REUSES,TERM_20,None,Logical connection
P538,P517,TERMINOLOGY_SHARED,TERM_86,None,Logical connection
P494,P506,TERMINOLOGY_SHARED,TERM_76,None,Logical connection
P533,P468,CONTRADICTS,TERM_81,None,Logical connection
P536,P470,SCANNER_TO_CODEX,TERM_70,None,Logical connection
P553,P506,EVIDENCE_PRECEDES,TERM_67,None,Logical connection
P458,P459,EVIDENCE_PRECEDES,TERM_66,None,Logical connection
P540,P559,PUBLIC_SITE_REUSES,TERM_8,None,Logical connection
P496,P454,PUBLIC_SITE_REUSES,TERM_34,None,Logical connection
P508,P447,TERMINOLOGY_SHARED,TERM_94,None,Logical connection
P468,P526,SCANNER_TO_CODEX,TERM_77,None,Logical connection
P491,P493,PUBLIC_SITE_REUSES,TERM_49,None,Logical connection
P493,P554,EVIDENCE_PRECEDES,TERM_9,None,Logical connection
P543,P496,SCANNER_TO_CODEX,TERM_42,None,Logical connection
P525,P446,PUBLIC_SITE_REUSES,TERM_90,None,Logical connection
P440,P528,LOCALIZATION_RISK_SHARED,TERM_11,None,Logical connection
P469,P518,TERMINOLOGY_SHARED,TERM_48,None,Logical connection
P516,P472,FALSE_EXIT_VARIANT,TERM_32,None,Logical connection
P446,P476,CONTRADICTS,TERM_77,None,Logical connection
P522,P443,SCANNER_TO_CODEX,TERM_7,None,Logical connection
P516,P503,SCANNER_TO_CODEX,TERM_78,None,Logical connection
P498,P514,EVIDENCE_PRECEDES,TERM_12,None,Logical connection
P491,P440,SCANNER_TO_CODEX,TERM_34,None,Logical connection
P449,P511,SCANNER_TO_CODEX,TERM_78,None,Logical connection
P445,P480,PUBLIC_SITE_REUSES,TERM_55,None,Logical connection
P542,P503,FALSE_EXIT_VARIANT,TERM_39,None,Logical connection
P497,P506,FALSE_EXIT_VARIANT,TERM_20,None,Logical connection
P509,P515,UNLOCKS_CONTEXT,TERM_66,None,Logical connection
P531,P533,CONTRADICTS,TERM_3,None,Logical connection
P547,P484,CONTRADICTS,TERM_4,None,Logical connection
P536,P498,TERMINOLOGY_SHARED,TERM_39,None,Logical connection
P467,P518,UNLOCKS_CONTEXT,TERM_49,None,Logical connection
P551,P485,UNLOCKS_CONTEXT,TERM_20,None,Logical connection
P498,P510,UNLOCKS_CONTEXT,TERM_11,None,Logical connection
P454,P460,CONTRADICTS,TERM_35,None,Logical connection
P524,P458,PUBLIC_SITE_REUSES,TERM_73,None,Logical connection
P454,P532,UNLOCKS_CONTEXT,TERM_75,None,Logical connection
P481,P494,TERMINOLOGY_SHARED,TERM_33,None,Logical connection
P446,P461,EVIDENCE_PRECEDES,TERM_64,None,Logical connection
P531,P531,PUBLIC_SITE_REUSES,TERM_29,None,Logical connection
P491,P452,FALSE_EXIT_VARIANT,TERM_70,None,Logical connection
P520,P508,TERMINOLOGY_SHARED,TERM_16,None,Logical connection
P547,P509,TERMINOLOGY_SHARED,TERM_81,None,Logical connection
P504,P509,CONTRADICTS,TERM_62,None,Logical connection
P496,P444,CONTRADICTS,TERM_33,None,Logical connection
P526,P536,EVIDENCE_PRECEDES,TERM_90,None,Logical connection
P553,P559,EVIDENCE_PRECEDES,TERM_92,None,Logical connection
P553,P481,UNLOCKS_CONTEXT,TERM_64,None,Logical connection
P449,P464,FALSE_EXIT_VARIANT,TERM_19,None,Logical connection
P500,P482,CONTRADICTS,TERM_18,None,Logical connection
P478,P454,CONTRADICTS,TERM_24,None,Logical connection
P553,P519,PUBLIC_SITE_REUSES,TERM_91,None,Logical connection
P453,P544,TERMINOLOGY_SHARED,TERM_54,None,Logical connection
P553,P486,LOCALIZATION_RISK_SHARED,TERM_53,None,Logical connection
P487,P513,LOCALIZATION_RISK_SHARED,TERM_21,None,Logical connection
P457,P505,TERMINOLOGY_SHARED,TERM_92,None,Logical connection
P557,P479,FALSE_EXIT_VARIANT,TERM_54,None,Logical connection
P547,P506,PUBLIC_SITE_REUSES,TERM_75,None,Logical connection
P549,P543,EVIDENCE_PRECEDES,TERM_39,None,Logical connection
P464,P459,UNLOCKS_CONTEXT,TERM_90,None,Logical connection
P460,P447,LOCALIZATION_RISK_SHARED,TERM_65,None,Logical connection
P499,P476,UNLOCKS_CONTEXT,TERM_91,None,Logical connection
P466,P451,FALSE_EXIT_VARIANT,TERM_100,None,Logical connection
P449,P534,UNLOCKS_CONTEXT,TERM_10,None,Logical connection
P520,P469,EVIDENCE_PRECEDES,TERM_85,None,Logical connection
P470,P542,EVIDENCE_PRECEDES,TERM_87,None,Logical connection
P524,P456,PUBLIC_SITE_REUSES,TERM_48,None,Logical connection
P441,P489,PUBLIC_SITE_REUSES,TERM_94,None,Logical connection
P463,P441,LOCALIZATION_RISK_SHARED,TERM_5,None,Logical connection
P486,P462,FALSE_EXIT_VARIANT,TERM_20,None,Logical connection
P516,P445,CONTRADICTS,TERM_21,None,Logical connection
P502,P557,UNLOCKS_CONTEXT,TERM_8,None,Logical connection
P460,P522,FALSE_EXIT_VARIANT,TERM_85,None,Logical connection
P538,P550,TERMINOLOGY_SHARED,TERM_90,None,Logical connection
P553,P501,SCANNER_TO_CODEX,TERM_32,None,Logical connection
P516,P475,TERMINOLOGY_SHARED,TERM_2,None,Logical connection
P545,P503,UNLOCKS_CONTEXT,TERM_35,None,Logical connection
P529,P484,TERMINOLOGY_SHARED,TERM_50,None,Logical connection
P459,P529,TERMINOLOGY_SHARED,TERM_10,None,Logical connection
P459,P546,EVIDENCE_PRECEDES,TERM_75,None,Logical connection
P477,P505,EVIDENCE_PRECEDES,TERM_97,None,Logical connection
P531,P472,CONTRADICTS,TERM_74,None,Logical connection
P534,P504,LOCALIZATION_RISK_SHARED,TERM_47,None,Logical connection
P449,P456,PUBLIC_SITE_REUSES,TERM_10,None,Logical connection
P476,P558,EVIDENCE_PRECEDES,TERM_35,None,Logical connection
P440,P463,FALSE_EXIT_VARIANT,TERM_76,None,Logical connection
P469,P465,FALSE_EXIT_VARIANT,TERM_55,None,Logical connection
P524,P506,FALSE_EXIT_VARIANT,TERM_89,None,Logical connection
P532,P559,PUBLIC_SITE_REUSES,TERM_83,None,Logical connection
P483,P457,LOCALIZATION_RISK_SHARED,TERM_18,None,Logical connection
P458,P476,SCANNER_TO_CODEX,TERM_94,None,Logical connection
P510,P485,LOCALIZATION_RISK_SHARED,TERM_63,None,Logical connection
P536,P543,SCANNER_TO_CODEX,TERM_34,None,Logical connection
P559,P512,EVIDENCE_PRECEDES,TERM_9,None,Logical connection
P470,P541,LOCALIZATION_RISK_SHARED,TERM_98,None,Logical connection
P453,P540,SCANNER_TO_CODEX,TERM_1,None,Logical connection
P545,P547,PUBLIC_SITE_REUSES,TERM_38,None,Logical connection
P526,P472,EVIDENCE_PRECEDES,TERM_31,None,Logical connection
P451,P523,EVIDENCE_PRECEDES,TERM_79,None,Logical connection
P490,P457,SCANNER_TO_CODEX,TERM_11,None,Logical connection
P503,P526,TERMINOLOGY_SHARED,TERM_69,None,Logical connection
P477,P470,CONTRADICTS,TERM_39,None,Logical connection
P494,P530,TERMINOLOGY_SHARED,TERM_83,None,Logical connection
P446,P474,CONTRADICTS,TERM_13,None,Logical connection
P548,P490,EVIDENCE_PRECEDES,TERM_58,None,Logical connection
P468,P494,UNLOCKS_CONTEXT,TERM_78,None,Logical connection
P504,P503,PUBLIC_SITE_REUSES,TERM_5,None,Logical connection
P522,P508,FALSE_EXIT_VARIANT,TERM_16,None,Logical connection
P502,P531,LOCALIZATION_RISK_SHARED,TERM_9,None,Logical connection
P479,P546,UNLOCKS_CONTEXT,TERM_88,None,Logical connection
P528,P541,TERMINOLOGY_SHARED,TERM_6,None,Logical connection
P507,P457,TERMINOLOGY_SHARED,TERM_65,None,Logical connection
P483,P463,LOCALIZATION_RISK_SHARED,TERM_0,None,Logical connection
P446,P450,PUBLIC_SITE_REUSES,TERM_62,None,Logical connection
P444,P468,LOCALIZATION_RISK_SHARED,TERM_80,None,Logical connection
P481,P555,TERMINOLOGY_SHARED,TERM_60,None,Logical connection
P507,P502,UNLOCKS_CONTEXT,TERM_87,None,Logical connection
P525,P486,PUBLIC_SITE_REUSES,TERM_13,None,Logical connection
P452,P532,FALSE_EXIT_VARIANT,TERM_10,None,Logical connection
P552,P535,PUBLIC_SITE_REUSES,TERM_16,None,Logical connection
P469,P472,SCANNER_TO_CODEX,TERM_52,None,Logical connection
P555,P528,FALSE_EXIT_VARIANT,TERM_65,None,Logical connection
P545,P521,PUBLIC_SITE_REUSES,TERM_72,None,Logical connection
P440,P452,SCANNER_TO_CODEX,TERM_2,None,Logical connection
P541,P545,UNLOCKS_CONTEXT,TERM_4,None,Logical connection
P481,P517,CONTRADICTS,TERM_26,None,Logical connection
P530,P536,PUBLIC_SITE_REUSES,TERM_7,None,Logical connection
P520,P522,FALSE_EXIT_VARIANT,TERM_74,None,Logical connection
P483,P488,TERMINOLOGY_SHARED,TERM_54,None,Logical connection
P491,P482,LOCALIZATION_RISK_SHARED,TERM_73,None,Logical connection
P539,P459,UNLOCKS_CONTEXT,TERM_0,None,Logical connection
P494,P494,PUBLIC_SITE_REUSES,TERM_32,None,Logical connection
P481,P482,UNLOCKS_CONTEXT,TERM_95,None,Logical connection
P446,P525,LOCALIZATION_RISK_SHARED,TERM_44,None,Logical connection
P536,P451,PUBLIC_SITE_REUSES,TERM_40,None,Logical connection
P524,P518,PUBLIC_SITE_REUSES,TERM_49,None,Logical connection
P545,P498,EVIDENCE_PRECEDES,TERM_43,None,Logical connection
P520,P466,EVIDENCE_PRECEDES,TERM_41,None,Logical connection
P522,P460,FALSE_EXIT_VARIANT,TERM_37,None,Logical connection
P500,P440,FALSE_EXIT_VARIANT,TERM_50,None,Logical connection
P450,P540,TERMINOLOGY_SHARED,TERM_38,None,Logical connection
P515,P449,TERMINOLOGY_SHARED,TERM_90,None,Logical connection
P509,P496,LOCALIZATION_RISK_SHARED,TERM_36,None,Logical connection
P470,P530,CONTRADICTS,TERM_6,None,Logical connection
P505,P456,PUBLIC_SITE_REUSES,TERM_46,None,Logical connection
P545,P555,LOCALIZATION_RISK_SHARED,TERM_63,None,Logical connection
P481,P486,CONTRADICTS,TERM_97,None,Logical connection
P514,P512,PUBLIC_SITE_REUSES,TERM_16,None,Logical connection
P457,P521,CONTRADICTS,TERM_20,None,Logical connection
P487,P494,LOCALIZATION_RISK_SHARED,TERM_16,None,Logical connection
P488,P554,FALSE_EXIT_VARIANT,TERM_18,None,Logical connection
P556,P528,PUBLIC_SITE_REUSES,TERM_66,None,Logical connection
P539,P538,TERMINOLOGY_SHARED,TERM_56,None,Logical connection
P546,P488,FALSE_EXIT_VARIANT,TERM_6,None,Logical connection
P544,P545,CONTRADICTS,TERM_37,None,Logical connection
P501,P474,SCANNER_TO_CODEX,TERM_90,None,Logical connection
P516,P468,TERMINOLOGY_SHARED,TERM_20,None,Logical connection
P520,P497,CONTRADICTS,TERM_73,None,Logical connection
P508,P473,EVIDENCE_PRECEDES,TERM_13,None,Logical connection
P457,P494,PUBLIC_SITE_REUSES,TERM_53,None,Logical connection
P487,P520,FALSE_EXIT_VARIANT,TERM_29,None,Logical connection
P528,P476,CONTRADICTS,TERM_82,None,Logical connection
P554,P496,FALSE_EXIT_VARIANT,TERM_68,None,Logical connection
P483,P557,EVIDENCE_PRECEDES,TERM_81,None,Logical connection
P485,P537,TERMINOLOGY_SHARED,TERM_6,None,Logical connection
P471,P533,EVIDENCE_PRECEDES,TERM_66,None,Logical connection
P469,P456,PUBLIC_SITE_REUSES,TERM_74,None,Logical connection
P527,P513,CONTRADICTS,TERM_45,None,Logical connection
P557,P451,SCANNER_TO_CODEX,TERM_58,None,Logical connection
P543,P510,FALSE_EXIT_VARIANT,TERM_37,None,Logical connection
P471,P556,CONTRADICTS,TERM_73,None,Logical connection
P476,P524,CONTRADICTS,TERM_96,None,Logical connection
P485,P552,FALSE_EXIT_VARIANT,TERM_22,None,Logical connection
P536,P485,UNLOCKS_CONTEXT,TERM_41,None,Logical connection
P488,P545,SCANNER_TO_CODEX,TERM_21,None,Logical connection
P526,P520,EVIDENCE_PRECEDES,TERM_50,None,Logical connection
P524,P524,SCANNER_TO_CODEX,TERM_87,None,Logical connection
P512,P519,FALSE_EXIT_VARIANT,TERM_10,None,Logical connection
P465,P530,EVIDENCE_PRECEDES,TERM_30,None,Logical connection
P532,P510,CONTRADICTS,TERM_22,None,Logical connection
P441,P552,UNLOCKS_CONTEXT,TERM_46,None,Logical connection
P485,P458,EVIDENCE_PRECEDES,TERM_86,None,Logical connection
P445,P488,FALSE_EXIT_VARIANT,TERM_50,None,Logical connection
P444,P526,UNLOCKS_CONTEXT,TERM_65,None,Logical connection
P536,P450,CONTRADICTS,TERM_52,None,Logical connection
P448,P451,FALSE_EXIT_VARIANT,TERM_31,None,Logical connection
P518,P494,FALSE_EXIT_VARIANT,TERM_29,None,Logical connection
P459,P478,SCANNER_TO_CODEX,TERM_71,None,Logical connection
P559,P490,LOCALIZATION_RISK_SHARED,TERM_86,None,Logical connection
P440,P541,PUBLIC_SITE_REUSES,TERM_90,None,Logical connection
P449,P544,LOCALIZATION_RISK_SHARED,TERM_95,None,Logical connection
P441,P463,CONTRADICTS,TERM_93,None,Logical connection
P549,P513,FALSE_EXIT_VARIANT,TERM_69,None,Logical connection
P480,P494,CONTRADICTS,TERM_65,None,Logical connection
P549,P520,UNLOCKS_CONTEXT,TERM_4,None,Logical connection
P487,P522,EVIDENCE_PRECEDES,TERM_44,None,Logical connection
P505,P499,PUBLIC_SITE_REUSES,TERM_73,None,Logical connection
P447,P488,LOCALIZATION_RISK_SHARED,TERM_29,None,Logical connection
P512,P440,CONTRADICTS,TERM_51,None,Logical connection
P496,P543,EVIDENCE_PRECEDES,TERM_3,None,Logical connection
P496,P507,PUBLIC_SITE_REUSES,TERM_3,None,Logical connection
P545,P558,LOCALIZATION_RISK_SHARED,TERM_100,None,Logical connection
P483,P537,TERMINOLOGY_SHARED,TERM_71,None,Logical connection
P527,P526,CONTRADICTS,TERM_50,None,Logical connection
P490,P512,CONTRADICTS,TERM_11,None,Logical connection
P523,P515,LOCALIZATION_RISK_SHARED,TERM_13,None,Logical connection
P453,P491,UNLOCKS_CONTEXT,TERM_25,None,Logical connection
P558,P448,TERMINOLOGY_SHARED,TERM_7,None,Logical connection
P506,P464,SCANNER_TO_CODEX,TERM_35,None,Logical connection
P533,P524,EVIDENCE_PRECEDES,TERM_74,None,Logical connection
P497,P472,CONTRADICTS,TERM_66,None,Logical connection
P475,P473,TERMINOLOGY_SHARED,TERM_0,None,Logical connection
P556,P448,LOCALIZATION_RISK_SHARED,TERM_100,None,Logical connection
P459,P482,FALSE_EXIT_VARIANT,TERM_0,None,Logical connection
P475,P474,LOCALIZATION_RISK_SHARED,TERM_50,None,Logical connection
P472,P555,CONTRADICTS,TERM_75,None,Logical connection
P457,P499,CONTRADICTS,TERM_31,None,Logical connection
P447,P550,CONTRADICTS,TERM_81,None,Logical connection
P453,P464,FALSE_EXIT_VARIANT,TERM_78,None,Logical connection
P473,P468,PUBLIC_SITE_REUSES,TERM_1,None,Logical connection
P495,P502,CONTRADICTS,TERM_0,None,Logical connection
