source_packet,target_packet,edge_type,shared_term,spoiler_relation,reason
P434_PUBLIC_LEDGER_LEAK,P414_OXYGEN_RESERVE_DIRTY_MARGIN,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P419_BLUE_DEBT_SAMPLE_BAG_WARNING,P431_PARTIAL_RETURN_LIEN_EXTENSION,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P431_PARTIAL_RETURN_LIEN_EXTENSION,P416_ROUTE_BEACON_SALT_CORROSION,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P438_NO_CLEAN_ENDING_DOSSIER,P410_CAPSULE_SEAL_SWEAT,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P422_VENT_FORGE_THERMAL_LEDGER,P423_RELAY_SPINE_ACOUSTIC_DRIFT,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P422_VENT_FORGE_THERMAL_LEDGER,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P429_SENSOR_TAGGED_FAUNA_FEEDBACK,P410_CAPSULE_SEAL_SWEAT,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P425_ATLAS_WEIGHTING_AUDIT,P428_QUARANTINE_RELEASE_DELAY,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P434_PUBLIC_LEDGER_LEAK,P437_PAYLOAD_WITHHOLD_BLIND_RETURN,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P418_BARNARD_YARDS_PROCEDURE_TRACE,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P433_QUARANTINE_HOLD_INTERROGATION,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P420_SERVICE_CANYON_CUT_PANEL,P434_PUBLIC_LEDGER_LEAK,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P437_PAYLOAD_WITHHOLD_BLIND_RETURN,P425_ATLAS_WEIGHTING_AUDIT,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P423_RELAY_SPINE_ACOUSTIC_DRIFT,P412_SHALLOW_ANNEX_P63_FIRST_PUMP,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P438_NO_CLEAN_ENDING_DOSSIER,P425_ATLAS_WEIGHTING_AUDIT,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P431_PARTIAL_RETURN_LIEN_EXTENSION,P437_PAYLOAD_WITHHOLD_BLIND_RETURN,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P430_MATERIAL_PAYOUT_RECEIPT,P420_SERVICE_CANYON_CUT_PANEL,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P428_QUARANTINE_RELEASE_DELAY,P418_BARNARD_YARDS_PROCEDURE_TRACE,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P437_PAYLOAD_WITHHOLD_BLIND_RETURN,P422_VENT_FORGE_THERMAL_LEDGER,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P410_CAPSULE_SEAL_SWEAT,P425_ATLAS_WEIGHTING_AUDIT,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P424_DEEP_REACH_LIABILITY_HOLD,P422_VENT_FORGE_THERMAL_LEDGER,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P410_CAPSULE_SEAL_SWEAT,P420_SERVICE_CANYON_CUT_PANEL,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P430_MATERIAL_PAYOUT_RECEIPT,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
