Path,SizeMB,LoadType,CompressionFormat,Flags,CinematicFake
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Velcro2.wav",0.085,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Woodsaw1.wav",0.085,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Woodsaw2.wav",0.043,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Woodsaw3.wav",0.043,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/SoundFX/Boost1.wav",0.121,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/SoundFX/CarEngine1.wav",0.480,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/SoundFX/CarEngine2.wav",1.063,"DecompressOnLoad","Vorbis","DECOMPRESS_ON_LOAD_GT_1MB|SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/SoundFX/CarScreech1.wav",0.126,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/SoundFX/CarScreech2.wav",0.244,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/SoundFX/Crumbling1.wav",0.152,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/SoundFX/IceCubes1.wav",0.264,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/SoundFX/MovieProjector1.wav",0.337,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/BowRelease1.wav",0.030,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/DistanceGunShot1.wav",0.101,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/DistanceGunShot2.wav",0.139,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/DistanceGunShot3.wav",0.100,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/HeavyMachineGunFire1.wav",0.090,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/HeavyMachineGunFire2.wav",0.241,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/HeavyMachineGunLoad1.wav",0.071,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/LightMachineGunFire1.wav",0.303,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/LightMachineGunLoad1.wav",0.235,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/PistolFire1.wav",0.058,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/PistolFire2.wav",0.039,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/PistolFire3.wav",0.071,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/PistolLoad1.wav",0.016,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/PistolLoad2.wav",0.039,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/PistolLoad3.wav",0.076,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/ScifiGunshot1.wav",0.025,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/ShotgunFire1.wav",0.104,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/ShotgunFire2.wav",0.222,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/ShotgunFire3.wav",0.342,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/ShotgunLoad1.wav",0.069,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/ShotgunLoad2.wav",0.038,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/ShotgunLoad3.wav",0.036,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/ShotgunShell1.wav",0.066,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Weapons/SniperFire1.wav",0.162,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/Music/The epic trailer - Electronics.wav",11.997,"CompressedInMemory","PCM","AMBIENCE_EXPECT_VORBIS","Vorbis compressed/streamed bed; procedural loop layer for distance"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/Music/The epic trailer - Lead Brass.wav",11.997,"CompressedInMemory","PCM","AMBIENCE_EXPECT_VORBIS","Vorbis compressed/streamed bed; procedural loop layer for distance"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/Music/The epic trailer - Orchestra.wav",11.997,"CompressedInMemory","PCM","AMBIENCE_EXPECT_VORBIS","Vorbis compressed/streamed bed; procedural loop layer for distance"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/Music/The epic trailer - Percussions.wav",11.997,"CompressedInMemory","PCM","AMBIENCE_EXPECT_VORBIS","Vorbis compressed/streamed bed; procedural loop layer for distance"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/Resources/Chinese/hello.mp3",0.013,"CompressedInMemory","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/Resources/German/hello.mp3",0.006,"CompressedInMemory","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/SFX/arrow.wav",0.014,"CompressedInMemory","PCM","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/SFX/blast.wav",0.397,"CompressedInMemory","PCM","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Plugins/DarkTonic/MasterAudio/ExampleScenes/Audio/SFX/Scream.wav",0.176,"CompressedInMemory","PCM","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
