biome_id,biome_hash32,biome_display_name,depth_min_m,depth_max_m,distance_from_origin_m,depth_multiplier,resource_id,resource_hash32,resource_display_name,resource_tier,base_value_units,base_rarity,rarity_formula,resource_depth_bias,rarity_score,lcg_spawn_weight_u16,laser_hits_tier1,laser_hits_tier2,laser_hits_tier3
biome.brine_hadal,684907970,Brine Hadal Basin,1800,3600,4300,2.45,Data_LithiumCrystal,3763503872,Lithium Crystal,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.20,16.642,14,6,4,2
biome.brine_hadal,684907970,Brine Hadal Basin,1800,3600,4300,2.45,Data_NickelOre,1037165092,Nickel Ore,2,4.00,5,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.30,18.696,21,7,4,3
biome.brine_hadal,684907970,Brine Hadal Basin,1800,3600,4300,2.45,Data_CobaltAlloy,857583970,Cobalt Alloy,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.40,20.749,24,8,5,3
biome.brine_hadal,684907970,Brine Hadal Basin,1800,3600,4300,2.45,Data_ThermalGel,1601052383,Thermal Gel,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.50,21.803,33,7,5,3
biome.brine_hadal,684907970,Brine Hadal Basin,1800,3600,4300,2.45,Data_CarbonGraphite,2008184373,Carbon Graphite,3,6.00,7,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.60,23.856,28,8,5,3
biome.brine_hadal,684907970,Brine Hadal Basin,1800,3600,4300,2.45,Data_RareEarthDust,1997058338,Rare Earth Dust,3,8.00,8,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.80,26.963,27,10,6,4
biome.brine_hadal,684907970,Brine Hadal Basin,1800,3600,4300,2.45,Data_AbyssalCrystal,702456815,Abyssal Crystal,3,12.00,10,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,2.00,31.070,7,12,8,5
biome.glass_plains,2433526987,The Glass Plains,2400,4200,5600,2.80,Data_TitaniumScrap,3511699502,Titanium Scrap,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,8.840,6,3,2,1
biome.glass_plains,2433526987,The Glass Plains,2400,4200,5600,2.80,Data_Copper,2276338585,Copper Ore,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,8.840,9,3,2,1
biome.glass_plains,2433526987,The Glass Plains,2400,4200,5600,2.80,Data_SilicaShards,3920354616,Silica Shards,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.60,10.408,71,3,2,1
biome.glass_plains,2433526987,The Glass Plains,2400,4200,5600,2.80,Data_FiberKelp,2069849578,Fiber Kelp,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.40,7.272,1,2,1,1
biome.glass_plains,2433526987,The Glass Plains,2400,4200,5600,2.80,Data_HydrocarbonResin,248205602,Hydrocarbon Resin,1,1.50,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.70,12.976,5,4,2,1
biome.glass_plains,2433526987,The Glass Plains,2400,4200,5600,2.80,Data_SulfurClumps,3346875565,Sulfur Clumps,1,1.20,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.80,14.544,16,4,3,2
biome.glass_plains,2433526987,The Glass Plains,2400,4200,5600,2.80,Data_SilverOre,884621125,Silver Ore,1,2.00,3,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.00,18.680,8,5,3,2
biome.glass_plains,2433526987,The Glass Plains,2400,4200,5600,2.80,Data_GoldOre,4056809162,Gold Ore,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.10,21.248,11,6,4,2
biome.glass_plains,2433526987,The Glass Plains,2400,4200,5600,2.80,Data_LithiumCrystal,3763503872,Lithium Crystal,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.20,22.816,28,6,4,2
biome.glass_plains,2433526987,The Glass Plains,2400,4200,5600,2.80,Data_NickelOre,1037165092,Nickel Ore,2,4.00,5,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.30,25.384,13,7,4,3
biome.glass_plains,2433526987,The Glass Plains,2400,4200,5600,2.80,Data_CobaltAlloy,857583970,Cobalt Alloy,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.40,27.952,15,8,5,3
biome.glass_plains,2433526987,The Glass Plains,2400,4200,5600,2.80,Data_ThermalGel,1601052383,Thermal Gel,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.50,29.520,14,7,5,3
biome.glass_plains,2433526987,The Glass Plains,2400,4200,5600,2.80,Data_CarbonGraphite,2008184373,Carbon Graphite,3,6.00,7,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.60,32.088,27,8,5,3
biome.glass_plains,2433526987,The Glass Plains,2400,4200,5600,2.80,Data_RareEarthDust,1997058338,Rare Earth Dust,3,8.00,8,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.80,36.224,18,10,6,4
biome.glass_plains,2433526987,The Glass Plains,2400,4200,5600,2.80,Data_AbyssalCrystal,702456815,Abyssal Crystal,3,12.00,10,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,2.00,41.360,11,12,8,5
biome.abyssal_rift,523767926,Abyssal Rift,3500,6000,7200,3.30,Data_TitaniumScrap,3511699502,Titanium Scrap,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,12.880,3,3,2,1
biome.abyssal_rift,523767926,Abyssal Rift,3500,6000,7200,3.30,Data_Copper,2276338585,Copper Ore,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,12.880,4,3,2,1
biome.abyssal_rift,523767926,Abyssal Rift,3500,6000,7200,3.30,Data_SilicaShards,3920354616,Silica Shards,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.60,15.256,8,3,2,1
biome.abyssal_rift,523767926,Abyssal Rift,3500,6000,7200,3.30,Data_FiberKelp,2069849578,Fiber Kelp,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.40,10.504,1,2,1,1
biome.abyssal_rift,523767926,Abyssal Rift,3500,6000,7200,3.30,Data_HydrocarbonResin,248205602,Hydrocarbon Resin,1,1.50,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.70,18.632,3,4,2,1
biome.abyssal_rift,523767926,Abyssal Rift,3500,6000,7200,3.30,Data_SulfurClumps,3346875565,Sulfur Clumps,1,1.20,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.80,21.008,14,4,3,2
biome.abyssal_rift,523767926,Abyssal Rift,3500,6000,7200,3.30,Data_SilverOre,884621125,Silver Ore,1,2.00,3,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.00,26.760,4,5,3,2
biome.abyssal_rift,523767926,Abyssal Rift,3500,6000,7200,3.30,Data_GoldOre,4056809162,Gold Ore,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.10,30.136,7,6,4,2
biome.abyssal_rift,523767926,Abyssal Rift,3500,6000,7200,3.30,Data_LithiumCrystal,3763503872,Lithium Crystal,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.20,32.512,10,6,4,2
biome.abyssal_rift,523767926,Abyssal Rift,3500,6000,7200,3.30,Data_NickelOre,1037165092,Nickel Ore,2,4.00,5,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.30,35.888,16,7,4,3
biome.abyssal_rift,523767926,Abyssal Rift,3500,6000,7200,3.30,Data_CobaltAlloy,857583970,Cobalt Alloy,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.40,39.264,19,8,5,3
biome.abyssal_rift,523767926,Abyssal Rift,3500,6000,7200,3.30,Data_ThermalGel,1601052383,Thermal Gel,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.50,41.640,19,7,5,3
biome.abyssal_rift,523767926,Abyssal Rift,3500,6000,7200,3.30,Data_CarbonGraphite,2008184373,Carbon Graphite,3,6.00,7,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.60,45.016,23,8,5,3
biome.abyssal_rift,523767926,Abyssal Rift,3500,6000,7200,3.30,Data_RareEarthDust,1997058338,Rare Earth Dust,3,8.00,8,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.80,50.768,19,10,6,4
biome.abyssal_rift,523767926,Abyssal Rift,3500,6000,7200,3.30,Data_AbyssalCrystal,702456815,Abyssal Crystal,3,12.00,10,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,2.00,57.520,16,12,8,5
