id,domain,file,symbol_or_asset,current_behavior,why_it_reads_bad_in_game,player_distance_band,pressure_depth_band,fix_type,proposed_fix,acceptance_gate,confidence
107,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_branching__mass,Coral bed consists of identical scaled instances (instance 2),Mass uses copied branches,0-8m,reef,Generation,Vary rotation and branch count per instance,Instances are visibly distinct,High
108,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_brittle__fan,Plate coral layers intersect without a connecting stem (instance 2),Fan layers clip,0-8m,reef,Geometry,Generate structural stems connecting the plates,Stems are visible and manifold,High
109,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_brittle__sprig,Branching coral lacks taper at the tips (instance 2),Sprigs are not tapered,0-8m,reef,Geometry,Scale branch radius down towards the extremities,Tips are tapered,High
110,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_massive__head,Branches share identical UV mapping (instance 2),Head textures tile too obviously,0-8m,reef,UV,Offset UV islands based on branch index,UVs do not overlap,High
111,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_massive__porous,The coral mass has no internal cavities (instance 2),Porous coral lacks internal structure,0-8m,reef,Geometry,Utilize a 3D noise field to subtract internal volume,Mass contains hollow sections,High
112,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_plate__ledge,Fan coral is modeled as a single flat plane (instance 2),Ledge is a flat card,0-8m,reef,Geometry,Model overlapping intersecting layers of fan tissue,Fan has depth and overlaps,High
113,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_plate__shelf,Sprig elements have missing backfaces (instance 2),Shelf missing underside geometry,0-8m,reef,Geometry,Ensure sprigs are two-sided or utilize a thin shell mesh,Sprigs are visible from all sides,High
114,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_abyssal__shroud,Coral head normals are overly smoothed (instance 2),Shroud normals are blown out,0-8m,abyss,Topology,Recalculate normals with a lower smoothing threshold,Normals retain sharp pits,High
115,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_abyssal__strap,Porous cavities are not deep enough (instance 2),Strap textures look painted on,0-8m,abyss,Geometry,Deepen the cavity displacement map application,Cavities have physical depth,High
116,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_canopy__crown,Ledge edges are perfectly straight (instance 2),Crown edges are linear,0-8m,abyss,Geometry,Apply noise to the edge perimeter vertices,Edges are wavy and organic,High
117,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_canopy__frond,Shelf coral lacks underside ambient occlusion (instance 2),Frond underside is too bright,0-8m,abyss,VertexColor,Bake heavy occlusion into the underside vertices,Underside blue channel is low,High
118,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_patch_dense,Shroud does not contain sway data in vertex red channel (instance 2),Dense patch remains rigid,0-8m,abyss,VertexColor,Paint vertex red channel gradient from root to tip,Red channel drives sway,High
119,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_patch_dense__grove,Kelp straps clip through each other (instance 2),Grove fronds intersect wildly,0-8m,abyss,Simulation,Implement collision or repulsion during generation,Straps do not intersect,High
120,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_patch_dense__patch,Crown lacks bioluminescence mapping (instance 2),Patch does not emit light,0-8m,abyss,VertexColor,Assign emissive data to the green vertex channel,Green channel contains data,High
121,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_tall,Fronds are perfectly flat (instance 2),Tall kelp blades are 2D planes,0-8m,abyss,Geometry,Displace edges with a sine wave pattern,Edges are ruffled,High
122,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_tall__lean,Patch instances share the exact same height (instance 2),Leaning stalks are all the same length,10-20m,abyss,Generation,Randomize height scale between 0.8 and 1.2,Heights vary,High
123,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_tall__stalk,Grove lacks smaller undergrowth details (instance 2),Stalk base is completely barren,0-8m,abyss,Generation,Spawn smaller flora variants around the base,Base contains undergrowth,High
124,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_plant_giant,Patch density is uniform throughout (instance 2),Giant plants spawn in a grid,10-20m,reef,Generation,Use Perlin noise to control spawn density,Density is clustered,High
125,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_plant_giant__canopy,Tall kelp stipes are perfectly straight cylinders (instance 2),Canopy stems are perfect tubes,0-8m,reef,Geometry,Introduce bend and knuckle points along the stipe,Stipes are irregular,High
126,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_plant_giant__tower,Leaning kelp does not align with the predominant current (instance 2),Tower sways against the flow field,0-8m,reef,Integration,Orient the lean vector to the local flow field,Kelp leans with current,High
127,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_passive,Stalk lacks a defined holdfast at the base (instance 2),Spawn point looks unanchored,0-8m,reef,Geometry,Generate root-like holdfast geometry at the bottom,Holdfast anchors the stalk,High
128,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_passive__ring,Giant plant stem is too thin to support its canopy (instance 2),Ring cannot support its attachments,10-20m,reef,Geometry,Increase base radius and taper up to the canopy,Stem radius is appropriate,High
129,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_passive__stalk,Canopy leaves are generated without supporting ribs (instance 2),Stalk lacks structural rigidity,0-8m,reef,Geometry,Extrude structural ribs along the center of the leaves,Leaves contain ribs,High
130,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_predator,Tower structure uses a low-res texture map (instance 2),Predator spawn uses blurry textures,0-8m,abyss,Material,Increase texture resolution to 1024 px per meter,Texture passes density check,High
131,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_predator__nest,Passive spawn ring lacks terrain conformity (instance 2),Nest floats above the cave floor,0-8m,abyss,Integration,Project vertices downward to match the terrain height,Ring conforms to terrain,High
132,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_predator__tooth,Ring geometry is a perfect torus (instance 2),Tooth base is a perfect cylinder,0-8m,abyss,Geometry,Deform the torus with low-frequency noise,Ring is deformed,High
133,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_zone_abyss_apex__a,Stalk is not properly welded to the ring (instance 2),Zone boundary has visible seams,0-8m,abyss,Topology,Weld stalk vertices to the ring vertices,Seam is eliminated,High
134,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_zone_large_threat__a,Predator spawn marker is overly bright (instance 2),Threat marker blooms in the dark,0-8m,abyss,Material,Reduce emissive intensity on the marker,Emission is subtle,High
135,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_zone_reef_apex__a,Nest uses uniform vertex color for occlusion (instance 2),Apex zone marker has no shadow depth,0-8m,reef,VertexColor,Calculate occlusion based on local cavity depth,Blue channel varies correctly,High
136,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_zone_ruin_apex__a,Tooth geometry lacks a sharp point (instance 2),Marker is blunt,0-8m,ruins,Geometry,Ensure the tip vertex is singular and sharp,Tip is a single sharp vertex,High
137,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_egg_cluster,Apex zone marker is visible in normal gameplay (instance 2),Eggs cast debug shadows,0-8m,cave,Material,Assign an editor-only or invisible material,Marker is hidden in-game,High
138,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_egg_cluster__clutch,Threat zone marker has collision enabled (instance 2),Clutch triggers collision events,0-8m,cave,Collision,Disable all colliders on the marker prefab,No physical collision occurs,High
139,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_egg_cluster__nest,Reef apex marker renders shadows (instance 2),Nest casts dynamic shadows incorrectly,0-8m,cave,Rendering,Set cast shadows to off on the renderer,No shadows are cast,High
140,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_field,Ruin apex marker generates navmesh obstacles (instance 2),Debris field blocks AI pathing unnecessarily,0-8m,abyss,Navmesh,Disable navmesh obstacle component,Does not affect navmesh,High
141,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_field__field,Egg cluster lacks translucency (instance 2),Debris pieces lack sub-surface scattering,0-8m,abyss,Material,Enable subsurface scattering or translucency in shader,Eggs appear translucent,High
142,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_field__strip,Clutch arrangement is a perfect grid (instance 2),Strip debris is aligned in a grid,0-8m,abyss,Generation,Apply organic packing algorithm to egg placement,Eggs are packed irregularly,High
143,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_scatter,Nest floor is entirely flat (instance 2),Scatter area uses a flat proxy,0-8m,abyss,Geometry,Create a concave depression in the nest center,Nest is concave,High
144,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_scatter__crate,Debris field contains identical repeating elements (instance 2),Crates are cloned without variation,10-20m,abyss,Generation,Vary scale and rotation heavily for each debris piece,Debris is visually distinct,High
145,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_scatter__scrap,Field distribution is uniformly random (instance 2),Scrap is not clustered naturally,10-20m,abyss,Generation,Group debris into distinct clusters,Debris is clustered,High
146,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_cluster_medium,Strip wreckage forms a straight line (instance 2),Ruin pieces are strictly linear,10-20m,ruins,Integration,Project strip positions to the heightmap,Strip follows the floor,High
147,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_cluster_medium__cluster,Scatter pieces float above the ground (instance 2),Cluster floats above ruins base,0-8m,ruins,Integration,Raycast downward and align to surface normals,Pieces rest on the ground,High
148,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_cluster_medium__corridor,Crate edges have perfect 90 degree angles (instance 2),Corridor walls are 90 degrees sharp,0-8m,ruins,Geometry,Apply chamfer to all exposed crate edges,Edges are beveled,High
149,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_megastructure,Scrap metal lacks thickness (instance 2),Megastructure plates have no thickness,0-8m,ruins,Geometry,Extrude scrap geometry to represent metal thickness,Scrap has volume,High
150,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_megastructure__frame,Ruin cluster lacks structural connection between parts (instance 2),Frame supports are disjointed,10-20m,ruins,Generation,Ensure modules snap to logical connection points,Cluster forms a coherent structure,High
151,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_megastructure__stack,Cluster modules share the same wear pattern (instance 2),Stack exhibits clipping,10-20m,ruins,Integration,Adjust vertical spacing to eliminate overlap,No z-fighting is present,High
152,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_megastructure__tower,Corridor mesh has open ends without caps (instance 2),Tower sections are unsealed,0-8m,ruins,Geometry,Generate end caps or bulkheads for open corridors,Ends are sealed,High
153,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_module_single,Megastructure exceeds rendering bounds (instance 2),Module lacks bounds,50m+,ruins,Bounds,Recalculate and pad the bounding box correctly,Bounds encompass the structure,High
154,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_module_single__block,Frame supports are too thin for the visual mass (instance 2),Block texture is distorted,10-20m,ruins,Geometry,Thicken the support beams by 50 percent,Supports look robust,High
155,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_module_single__breach,Stacked modules intersect with z-fighting (instance 2),Breach geometry flickers,10-20m,ruins,Integration,Adjust vertical spacing to eliminate overlap,No z-fighting is present,High
156,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_service_scar,Tower lacks LOD models (instance 2),Scar decal affects LOD transitions,50m+,ruins,LOD,Generate LOD1 and LOD2 meshes for the tower,LOD chain is present,High
157,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_service_scar__pump,Single module has no bevels on the outer hull (instance 2),Pump is heavily faceted,0-8m,ruins,Geometry,Implement bevel loops on major hull transitions,Hull has beveled edges,High
158,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_service_scar__strip,Block module uses a tiled texture with visible repetition (instance 2),Strip decal repeats artificially,0-8m,ruins,Material,Use triplanar mapping with macro variation masks,Tiling is obscured,High
159,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_small_floor__group,Breach hole is perfectly circular (instance 2),Geology base is perfectly circular,0-8m,ruins,Geometry,Apply jagged noise to the breach perimeter,Breach is irregular,High
160,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_small_floor__flat,Power route nodes are not aligned to the surface (instance 2),Flat rock floats,0-8m,ruins,Integration,Align node bases to the terrain normal,Nodes match terrain slope,High
161,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_cluster_medium__cluster,Node lights lack emissive intensity (instance 2),Cluster base is pitch black,10-20m,ruins,Material,Boost emissive channel on the light material,Lights are clearly visible,High
162,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_cluster_medium__stack,Relay cables are straight lines (instance 2),Stack connects with straight lines,0-8m,ruins,Geometry,Generate cables using a catenary curve algorithm,Cables sag naturally,High
163,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_cluster_medium__ridge,Service scar decal floats above the terrain (instance 2),Ridge floats above ground,0-8m,ruins,Integration,Increase the projection depth of the decal projector,Decal conforms to terrain,High
164,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_arch_large__arch,Pump machinery lacks proper collision proxy (instance 2),Arch lacks collision entirely,0-8m,ruins,Collision,Generate compound box colliders for the pump,Collision matches visual bounds,High
165,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_arch_large__split,Strip hazard paint is overly saturated (instance 2),Split rock has bright neon colors,0-8m,ruins,Material,Desaturate the yellow hazard paint albedo,Paint looks weathered,High
166,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_shelf_large__ledge,LOD1 removes too many vertices on the silhouette (instance 2),Ledge LOD pops noticeably,10-20m,photic,LOD,Use Quadric Edge Collapse with protected silhouette edges,Silhouette pops are minimal,High
167,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_shelf_large__wall,LOD2 arch reduces to a single flat card prematurely (instance 2),Wall flattens too early,20-50m,abyss,LOD,Delay the transition to impostor cards by 20 meters,3D volume persists longer,High
168,cave,Assets/_Project/Scripts/CaveBioRootsGenerator.cs,PFB_family_cave_entrance,Branching coral LODs do not preserve the branch tips (instance 2),Cave roots pop early,10-20m,reef,LOD,Protect branch tip vertices during decimation,Coral height remains constant,High
169,cave,Assets/_Project/Scripts/CaveBioRootsGenerator.cs,PFB_family_cave_entrance__lip,Tall kelp LOD0 causes severe overdraw when viewed through fields (instance 2),Roots cause overdraw,10-20m,abyss,Rendering,Replace complex blade geometry with simple dithered cards at LOD1,Overdraw is reduced significantly,High
170,cave,Assets/_Project/Scripts/CaveBioRootsGenerator.cs,PFB_family_cave_entrance__shaft,Megastructure LODs lack material matching (instance 2),Shaft LODs shift color,50m+,ruins,Material,Ensure baked LOD textures match LOD0 albedo precisely,No color popping occurs,High
171,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_hazard__nest,Cave entrance collision uses the complex visual mesh (instance 2),Nest uses visual collision,0-8m,cave,Collision,Generate a low-poly convex hull proxy for the cave walls,MeshCollider uses proxy,High
172,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_hazard__vent,Shelf wall collision is missing entirely (instance 2),Vent lacks collision,0-8m,photic,Collision,Ensure physical proxy generation is enabled for shelf walls,Collision blocks player,High
173,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_resource__cache,Giant plant stem uses a box collider (instance 2),Cache uses a box collider for round form,0-8m,reef,Collision,Replace box collider with a fitted capsule collider,Collision matches stem shape,High
174,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_resource__mound,Ruin module collision extends beyond the visual bounds (instance 2),Mound collision is too large,0-8m,ruins,Collision,Shrink compound colliders to match visual geometry exactly,No invisible barriers,High
175,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_safe__bubble,Geology mesh output fails to maintain consistent normal breaks on 45 degree edges (instance 3),Bubble has faceted edges,0-8m,photic,Geometry,Enforce sharp normal splitting on faces exceeding 45 degrees,Normals validate as split on steep angles,High
176,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_safe__shelter,Vertices at the base of the rock lack contact shadow blending channels (instance 3),Shelter base is bright,0-8m,photic,VertexColor,Bake ambient occlusion into the blue vertex color channel at the base,Vertex blue channel contains a gradient,High
177,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_low,The cluster mesh aggregates individual rocks without welding intersecting faces (instance 3),Coral clumps intersect poorly,0-8m,abyss,Geometry,Apply boolean union to sub-meshes before finalizing topology,No intersecting internal geometry,High
178,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_low__bed,Stack generator outputs identical rock variants stacked vertically (instance 3),Coral bed pieces repeat exactly,10-20m,abyss,Generation,Force distinct rotation and scale seeds for each stack element,Elements vary by at least 15 percent,High
179,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_low__plate,Ridge triangulation creates degenerate triangles along the spine (instance 3),Plate coral contains zero-area triangles,0-8m,abyss,Topology,Filter degenerate triangles during the marching cubes pass,Degenerate triangle count is zero,High
180,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_branching,Arch curvature relies on too few segments (instance 3),Branches have very low segment counts,0-8m,cave,LOD0,Increase radial segment count on the inner curve of the arch,Silhouette curvature is smooth,High
181,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_branching__branch,Split surfaces do not carry the corresponding fracture noise (instance 3),Branch broken tips are perfectly flat,0-8m,cave,Geometry,Inject high-frequency noise on the interior faces of the split,Fracture plane has variance,High
182,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_branching__mass,Ledge tops are completely flat without sediment accumulation geometry (instance 3),Mass tops are flat with no texture,0-8m,cave,Geometry,Extrude upper faces to simulate uneven sediment deposits,Top faces are non-planar,High
183,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_brittle__fan,Wall faces stretch UVs vertically beyond the 20 percent threshold (instance 3),Fan UVs stretch massively,0-8m,cave,UV,Apply triplanar mapping or re-project UVs vertically,UV stretching is under 15 percent,High
184,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_brittle__sprig,Cave entrance mesh lacks an overhang lip (instance 3),Sprig lacks an anchor point,0-8m,cave,Geometry,Add a secondary voxel subtraction pass for the entrance arch,Entrance has a defined lip,High
185,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_massive__head,Roots penetrating the lip do not deform the rock mesh (instance 3),Head coral intersects with terrain badly,0-8m,cave,Integration,Apply boolean subtraction or deformation to accommodate roots,Mesh shows penetration sockets,High
186,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_massive__porous,Shaft walls contain inverted normals on the interior faces (instance 3),Porous tubes have inverted normals,0-8m,cave,Topology,Enforce consistent winding order pointing towards the center,All normals point inward,High
187,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_plate__ledge,Hazard nest geometry is a perfect hemisphere (instance 3),Ledge base is a hemisphere,0-8m,cave,Geometry,Introduce radial asymmetry and cavity noise,Nest is asymmetrical,High
188,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_plate__shelf,Vent chimneys lack the required sulfur deposit vertex colors (instance 3),Shelf lacks algae color data,0-8m,cave,VertexColor,Paint green vertex channel high at the chimney aperture,Green channel is above 200,High
189,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_abyssal__shroud,Resource cache uses a flat plane for the floor (instance 3),Shroud connects to a flat plane,0-8m,reef,Integration,Displace floor vertices to match terrain heightmap,Floor matches terrain,High
190,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_abyssal__strap,Mound is too low-poly and reads as a pyramid (instance 3),Strap base is a low-poly pyramid,0-8m,reef,LOD0,Subdivide mound geometry and add noise displacement,Mound silhouette is uneven,High
191,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_canopy__crown,Safe bubble walls have zero thickness (instance 3),Crown leaves have no thickness,10-20m,reef,Geometry,Extrude walls outward to provide thickness,Walls have positive thickness,High
192,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_canopy__frond,Shelter opening is a perfect circle (instance 3),Frond outline is perfectly smooth,0-8m,reef,Geometry,Apply Voronoi fracture to the opening edges,Opening is jagged,High
193,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_patch_dense,Low coral base lacks ambient occlusion (instance 3),Patch center is unnaturally bright,0-8m,reef,VertexColor,Bake occlusion into the base vertices,Blue channel indicates shadow,High
194,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_patch_dense__grove,Coral bed consists of identical scaled instances (instance 3),Grove consists of identical kelp meshes,0-8m,reef,Generation,Vary rotation and branch count per instance,Instances are visibly distinct,High
195,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_patch_dense__patch,Plate coral layers intersect without a connecting stem (instance 3),Patch elements intersect freely,0-8m,reef,Geometry,Generate structural stems connecting the plates,Stems are visible and manifold,High
196,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_tall,Branching coral lacks taper at the tips (instance 3),Tall kelp does not taper,0-8m,reef,Geometry,Scale branch radius down towards the extremities,Tips are tapered,High
197,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_tall__lean,Branches share identical UV mapping (instance 3),Lean segments share exact UVs,0-8m,reef,UV,Offset UV islands based on branch index,UVs do not overlap,High
198,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_tall__stalk,The coral mass has no internal cavities (instance 3),Stalk is completely solid and untextured,0-8m,reef,Geometry,Utilize a 3D noise field to subtract internal volume,Mass contains hollow sections,High
199,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_plant_giant,Fan coral is modeled as a single flat plane (instance 3),Giant plant leaves are single planes,0-8m,reef,Geometry,Model overlapping intersecting layers of fan tissue,Fan has depth and overlaps,High
200,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_plant_giant__canopy,Sprig elements have missing backfaces (instance 3),Canopy leaves miss backfaces,0-8m,reef,Geometry,Ensure sprigs are two-sided or utilize a thin shell mesh,Sprigs are visible from all sides,High
201,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_plant_giant__tower,Coral head normals are overly smoothed (instance 3),Tower bark lacks normal detail,0-8m,abyss,Topology,Recalculate normals with a lower smoothing threshold,Normals retain sharp pits,High
202,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_passive,Porous cavities are not deep enough (instance 3),Spawn has no cavity depth,0-8m,abyss,Geometry,Deepen the cavity displacement map application,Cavities have physical depth,High
203,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_passive__ring,Ledge edges are perfectly straight (instance 3),Ring edges are straight lines,0-8m,abyss,Geometry,Apply noise to the edge perimeter vertices,Edges are wavy and organic,High
204,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_passive__stalk,Shelf coral lacks underside ambient occlusion (instance 3),Stalk underside is too bright,0-8m,abyss,VertexColor,Bake heavy occlusion into the underside vertices,Underside blue channel is low,High
205,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_predator,Shroud does not contain sway data in vertex red channel (instance 3),Predator spawn lacks sway,0-8m,abyss,VertexColor,Paint vertex red channel gradient from root to tip,Red channel drives sway,High
206,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_predator__nest,Kelp straps clip through each other (instance 3),Nest fronds clip,0-8m,abyss,Simulation,Implement collision or repulsion during generation,Straps do not intersect,High
207,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_predator__tooth,Crown lacks bioluminescence mapping (instance 3),Tooth has no emissive map,0-8m,abyss,VertexColor,Assign emissive data to the green vertex channel,Green channel contains data,High
208,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_zone_abyss_apex__a,Fronds are perfectly flat (instance 3),Marker is perfectly flat,0-8m,abyss,Geometry,Displace edges with a sine wave pattern,Edges are ruffled,High
209,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_zone_large_threat__a,Patch instances share the exact same height (instance 3),Threat zones are identical size,10-20m,abyss,Generation,Randomize height scale between 0.8 and 1.2,Heights vary,High
210,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_zone_reef_apex__a,Grove lacks smaller undergrowth details (instance 3),Apex zone lacks terrain dressing,0-8m,abyss,Generation,Spawn smaller flora variants around the base,Base contains undergrowth,High
211,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_zone_ruin_apex__a,Patch density is uniform throughout (instance 3),Apex zones spawn evenly,10-20m,reef,Generation,Use Perlin noise to control spawn density,Density is clustered,High
212,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_egg_cluster,Tall kelp stipes are perfectly straight cylinders (instance 3),Egg bases are perfect cylinders,0-8m,reef,Geometry,Introduce bend and knuckle points along the stipe,Stipes are irregular,High
