Failure ID,Asset Family,Material Issue,UV Mapping Issue,Vertex Color Data Defect,Technical Solution
S-183,PFB_family_debris_field,Incorrect roughness,Identical UVs on instances,Green channel empty,Offset UV islands by asset index; map cavity to green channel for roughness modulation.
S-184,PFB_family_debris_field__strip,Missing collision hull,Seams on flat planes,Red channel missing noise data,QuickHull proxy generation; bake noise to red vertex channel for macro-variation.
S-185,PFB_family_debris_field__strip,Normal discontinuity,Under-sampled inner curve UVs,Blue channel empty,Automated normal continuity check; bake AO into blue channel adhering to 0 B/frame shader constraints.
S-186,PFB_family_debris_field__strip,Incorrect roughness,Cylindrical projection distortion,Green channel empty,Offset UV islands by asset index; map cavity to green channel for roughness modulation.
S-187,PFB_family_ruin_module,Missing collision hull,UV island overlap,Alpha channel missing blend data,QuickHull proxy generation; pack unique UV islands; bake slope to alpha.
S-188,PFB_family_ruin_module,Normal discontinuity,Identical UVs on instances,Blue channel empty,Automated normal continuity check; bake AO into blue channel (0 B/frame).
S-189,PFB_family_ruin_module,Incorrect roughness,Seams on flat planes,Green channel empty,Offset UV islands by asset index; map cavity to green channel for roughness modulation.
S-190,PFB_family_ruin_cluster,Missing collision hull,Under-sampled inner curve UVs,Red channel missing noise data,V-HACD convex decomposition; bake noise to red vertex channel for macro-variation.
S-191,PFB_family_ruin_cluster,Normal discontinuity,Cylindrical projection distortion,Blue channel empty,Automated normal continuity check; bake AO into blue channel adhering to 0 B/frame shader constraints.
S-192,PFB_family_ruin_cluster,Incorrect roughness,UV island overlap,Green channel empty,Offset UV islands by asset index; map cavity to green channel for roughness modulation.
S-193,PFB_family_ruin_megastructure,Missing collision hull,Identical UVs on instances,Alpha channel missing blend data,V-HACD convex decomposition; pack unique UV islands; bake slope to alpha.
S-194,PFB_family_ruin_megastructure,Normal discontinuity,Seams on flat planes,Blue channel empty,Automated normal continuity check; bake AO into blue channel (0 B/frame).
S-195,PFB_family_ruin_megastructure,Incorrect roughness,Under-sampled inner curve UVs,Green channel empty,Offset UV islands by asset index; map cavity to green channel for roughness modulation.
S-196,PFB_family_route_power,Missing collision hull,Cylindrical projection distortion,Red channel missing noise data,QuickHull proxy generation; bake noise to red vertex channel for macro-variation.
S-197,PFB_family_route_power,Normal discontinuity,UV island overlap,Blue channel empty,Automated normal continuity check; bake AO into blue channel adhering to 0 B/frame shader constraints.
S-198,PFB_family_route_power,Incorrect roughness,Identical UVs on instances,Green channel empty,Offset UV islands by asset index; map cavity to green channel for roughness modulation.
S-199,PFB_family_rock_small_floor,Macro-variation missing,Seams on flat planes,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-200,PFB_family_rock_cluster_medium,Macro-variation missing,UV island overlap,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-201,PFB_family_rock_arch_large,Macro-variation missing,Identical UVs on instances,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-202,PFB_family_rock_shelf_large,Macro-variation missing,Under-sampled inner curve UVs,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-203,PFB_family_cave_entrance,Macro-variation missing,Cylindrical projection distortion,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-204,PFB_family_pocket_hazard,Macro-variation missing,UV island overlap,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-205,PFB_family_pocket_resource,Macro-variation missing,Identical UVs on instances,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-206,PFB_family_pocket_safe,Macro-variation missing,Seams on flat planes,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-207,PFB_family_coral_low,Macro-variation missing,Under-sampled inner curve UVs,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-208,PFB_family_coral_plate,Macro-variation missing,Cylindrical projection distortion,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-209,PFB_family_coral_branching,Macro-variation missing,UV island overlap,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-210,PFB_family_coral_brittle,Macro-variation missing,Identical UVs on instances,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-211,PFB_family_coral_massive,Macro-variation missing,Seams on flat planes,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-212,PFB_family_kelp_abyssal,Macro-variation missing,Under-sampled inner curve UVs,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-213,PFB_family_kelp_canopy,Macro-variation missing,Cylindrical projection distortion,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-214,PFB_family_kelp_patch_dense,Macro-variation missing,UV island overlap,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-215,PFB_family_kelp_tall,Macro-variation missing,Identical UVs on instances,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-216,PFB_family_plant_giant,Macro-variation missing,Seams on flat planes,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-217,PFB_family_creature_spawn_passive,Macro-variation missing,Under-sampled inner curve UVs,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-218,PFB_family_creature_spawn_predator,Macro-variation missing,Cylindrical projection distortion,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-219,PFB_family_zone_apex,Macro-variation missing,UV island overlap,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-220,PFB_family_zone_threat,Macro-variation missing,Identical UVs on instances,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-221,PFB_family_egg_cluster,Macro-variation missing,Seams on flat planes,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-222,PFB_family_egg_cluster__nest,Macro-variation missing,Under-sampled inner curve UVs,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-223,PFB_family_debris_field,Macro-variation missing,Cylindrical projection distortion,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-224,PFB_family_debris_field__strip,Macro-variation missing,UV island overlap,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
S-225,PFB_family_ruin_module,Macro-variation missing,Identical UVs on instances,Red channel empty,Implement 3D noise sample along normal; pack into red vertex channel.
