id,reference_image,prefab_path,fit_type,visual_gap,mesh_change_needed,material_change_needed,scatter_change_needed,lod_collider_note,priority
139,"CLIFFS SKY AND GAS GIANT PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN + SKY MATERIAL (CHECK COMMITS IN MAY 1ST WEEK, IT IS THIS MATERIAL)).jpg.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_hazard.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
140,"UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_hazard__nest.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
141,"UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_hazard__vent.prefab,Partial,Needs particles,FALSE,FALSE,TRUE,Add bubble VFX,High
142,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_resource.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
143,"beauty.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_resource__cache.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
144,"deep-bioluminescnce.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_resource__mound.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
145,"forest_kelp.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
146,"middle-water.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe__bubble.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
147,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe__shelter.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
148,"shallows.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_arch_large.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
149,"shallowwater.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_arch_large__arch.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
150,"ubnautic.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_arch_large__split.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
151,"ССС.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_cluster_medium.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
152,"BEST ILLUST - ON SURFACE (WITH TREES AND GRASS) - CHECK WATER, GAS GIANT. it is perfect! your goal to look like it! make plan and do it.png",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_cluster_medium__cluster.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
153,"CLIFFS AND WATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_cluster_medium__ridge.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
154,"CLIFFS SKY AND GAS GIANT PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN + SKY MATERIAL (CHECK COMMITS IN MAY 1ST WEEK, IT IS THIS MATERIAL)).jpg.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_cluster_medium__stack.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
155,"UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_shelf_large__ledge.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
156,"UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_shelf_large__wall.prefab,Partial,Needs triplanar,FALSE,TRUE,FALSE,Enable triplanar mapping,High
157,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_small_floor.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
158,"beauty.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_small_floor__flat.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
159,"deep-bioluminescnce.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_small_floor__group.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
160,"forest_kelp.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_small_floor__low.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
161,"middle-water.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
162,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__node.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
163,"shallows.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
164,"shallowwater.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_cluster_medium.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
165,"ubnautic.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_cluster_medium__cluster.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
166,"ССС.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_cluster_medium__corridor.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
167,"BEST ILLUST - ON SURFACE (WITH TREES AND GRASS) - CHECK WATER, GAS GIANT. it is perfect! your goal to look like it! make plan and do it.png",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
168,"CLIFFS AND WATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__frame.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
169,"CLIFFS SKY AND GAS GIANT PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN + SKY MATERIAL (CHECK COMMITS IN MAY 1ST WEEK, IT IS THIS MATERIAL)).jpg.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__stack.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
170,"UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__tower.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
171,"UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_module_single.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
172,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_module_single__block.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
173,"beauty.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_module_single__breach.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
174,"deep-bioluminescnce.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_service_scar.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
175,"forest_kelp.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_service_scar__pump.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
176,"middle-water.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_service_scar__strip.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
177,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_branching.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
178,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_brittle__fan.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
179,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_massive__head.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
180,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_low__plate.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
