Name,Type,RA,Dec,Dist,AbsMagn,Radius,Quat.w,Quat.x,Quat.y,Quat.z
NGC 1156/UGC 2455/MCG 4-8-6/ZWG 485.6,Irr,2.99500015,25.2371996,7799852.84,-17.16,2949.7793,0.802679,0.580516,0.0968854,0.0965492
NGC 1198/IC 282/UGC 2533/MCG 7-7-24,S0,3.10360012,41.8488997,19521093.6,-17.65,3976.57593,0.865855,-0.0564472,0.483653,0.114841
NGC 1469/UGC 2909/MCG 11-5-4/ZWG 305.3,S0,4.00749992,68.5774995,14538876.3,-16.61,4016.43359,0.734014,-0.313028,0.488217,0.353384
NGC 1485/UGC 2933/MCG 12-4-10/ZWG 327.14,Sb,4.08419999,70.9966996,13824502.9,-17.1,4221.85449,0.716261,0.458191,-0.278484,0.44663
NGC 1560/UGC 3060/MCG 12-5-5/ZWG 328.6,Sc,4.54640005,71.8793996,3292862.41,-15.49,4694.01514,0.638777,0.486142,-0.30124,0.514669
NGC 1569/UGC 3056/MCG 11-6-1/ZWG 306.1,Irr,4.51360004,64.8481009,2374908.1,-15.08,1278.20703,0.885226,-0.0684533,0.285166,0.361067
NGC 2363/UGC 3847/MCG 12-7-39/KCPG 133A,Irr,7.47470005,69.1928013,956279.144,-9.402,222.528824,0.585706,0.526183,-0.614489,0.0498328
NGC 2366/UGC 3851/MCG 12-7-40/DDO 42,Irr,7.48170009,69.2161005,3372577.81,-16.14,3973.51001,0.560743,0.588974,-0.550341,0.189215
NGC 2403/UGC 3918/MCG 11-10-7/ZWG 309.40,SBc,7.61389986,65.6017001,3249938.8,-18.65,11062.0557,0.818711,0.348697,-0.436042,0.13413
NGC 2976/UGC 5221/MCG 11-12-25/ZWG 312.23,Sc,9.78720014,67.917499,3676109.83,-17.03,3154.89331,0.878589,0.0683821,-0.205556,0.425619
M 81/NGC 3031/UGC 5318/MCG 12-10-10,Sb,9.9258,69.0671999,3682241.85,-20.02,13330.8809,0.740818,-0.49899,-0.271644,-0.35834
M 82/NGC 3034/UGC 5322/MCG 12-10-11,Irr,9.93170003,69.6830992,3709835.65,-18.64,6043.04639,0.601334,0.484746,-0.608332,0.182625
IC 148/UGC 1195/MCG 2-5-11/ZWG 437-10,Irr,1.70720012,13.9766997,10642016,-16.23,5417.58643,0.762498,0.434721,0.38822,0.280892
IC 225/UGC 1907/MCG0-7-13/MK 1038,E0,2.44110005,1.16079994,17405568.2,-16.9,2531.27295,-0.318166,0.0863735,-0.776215,0.537402
IC 239/UGC 2080/MCG 6-6-65/ZWG 523.71,SBa,2.60750013,38.9689013,9562791.39,-18,6398.7002,0.759176,0.624341,-0.183146,0.0175646
IC 342/UGC 2847/MCG 11-5-3/ZWG 305.2,SBc,3.77999997,68.0956003,3072111.85,-18.33,9562.79102,-0.597794,0.0619477,-0.796635,-0.0646251
IC 356/UGC 2953/MCG 12-4-11/ZWG 327.15,Sb,4.12940001,69.8119006,11160167,-18.84,9578.12109,0.907752,0.0419221,0.274019,0.314869
IC 396/UGC 3203/MCG 11-7-2/ZWG 306.7,S0,4.96610003,68.3231012,11380917.6,-17.18,3476.82129,0.948696,0.190179,0.0462933,0.248323
IC 1727/UGC 1249/MCG 4-5-9/ZWG 482.14,Irr,1.79170006,27.3325014,7198920.64,-17.28,5969.46289,0.705462,-0.286117,0.645812,-0.0582092
IC 2574/UGC 5666/MCG 12-10-38/DDO 81,Irr,10.4728,68.4166995,3516678.87,-16.93,6751.2876,0.424493,0.56185,-0.709945,0.0103652
UGC 3600,Irr,6.92779999,39.0950003,7300098.27,-13.53,1314.99878,0.73561,0.583881,-0.340661,0.0437125
UGC 3698,Irr,7.15500001,44.3800027,7198920.78,-14.3,1030.16919,0.50455,0.662932,-0.536025,-0.136483
UGC 3755,Irr,7.23080006,10.5219007,5221363.56,-14.9,1254.90552,0.920258,-0.370708,0.106319,-0.0663191
UGC 3817,Irr,7.37890003,45.1082993,8600073.61,-14.15,2144.95947,0.482177,0.689987,-0.528883,-0.108197
DDO 43/UGC 3860,Irr,7.47140002,40.7702994,7809050.52,-14.75,1444.99634,0.486444,0.631223,-0.559658,-0.227404
DDO 46/UGC 3966,Irr,7.69029996,40.1124985,6800343.43,-15.01,1839.89453,0.455933,0.457269,-0.646331,-0.406555
DDO 47/UGC 3974,Irr,7.69860006,16.8006013,5181505.82,-15.1,2324.93262,0.441381,0.600104,-0.475405,-0.468025
KK 65,Irr,7.70860001,16.5611003,4510056.52,-13.15,539.919067,0.482472,0.720468,-0.381937,-0.319799
UGC 4115,Irr,7.95030004,14.3908001,5491169.81,-13.59,1310.09326,0.965812,-0.254097,-0.0395029,-0.0328961
DDO 52/UGC 4426,Irr,8.47439998,41.8566999,5699656.45,-13.67,1490.06628,0.408259,0.673721,-0.573491,-0.224795
KK 69,Irr,8.88060004,33.7978008,7698675.75,-12.76,2170.10059,0.377467,0.552957,-0.617947,-0.412187
KK 70,S0,8.92280005,33.5591992,7698675.37,-11.86,550.036804,0.369254,0.525128,-0.630676,-0.43605
DDO 564-8,Irr,9.04830006,20.0752993,5098724.59,-11.76,495.155762,0.380803,0.584953,-0.526846,-0.485029
KKH 46,Irr,9.1433001,5.29219984,5699656.62,-11.93,584.988953,0.333272,0.499109,-0.476619,-0.642382
DDO 634-3,Irr,9.14809992,14.5818992,2400049.08,-9.56,139.992645,0.331825,0.477776,-0.546287,-0.602655
DDO 565-6,Irr,9.32470003,21.6033,5399190.58,-11.88,554.942383,0.325972,0.469446,-0.594658,-0.565459
KKH 51/KDG 56,Irr,9.50330007,19.9916999,8900539.77,-12.92,900.171692,0.329979,0.504205,-0.572536,-0.555963
UGC 5086,Irr,9.54670003,21.4649995,8900539.48,-13.95,1304.88098,0.295546,0.418321,-0.615174,-0.59935
UGC 5186,Irr,9.71640001,33.2644003,6901520.59,-12.98,985.099365,0.623186,0.566756,-0.529463,-0.100476
UGC 5209/KKH 54,Irr,9.75109998,32.2383007,6699165.97,-13.15,885.148376,0.259596,0.321881,-0.705972,-0.574984
KK 78,Irr,9.83860001,31.4566996,7100809.65,-11.67,474.920288,0.32062,0.585146,-0.60405,-0.43581
DDO 64/UGC 5272,Irr,9.83940009,31.4874997,7100809.44,-13.95,1825.17786,0.900754,0.0638821,-0.416594,0.104931
UGC 5288,Irr,9.85469991,7.82720034,6800343.31,-14.74,1204.93005,0.905738,-0.361049,-0.221799,0.00934766
DDO 68/UGC 5340,Irr,9.94579999,28.8249999,5898945.16,-14.33,1930.0343,0.340999,0.675332,-0.530564,-0.382293
KKH 57/HS 108,S0,10.0044,63.1850005,3930586.28,-10.19,335.111603,0.231557,0.394972,-0.831874,-0.31363
UGC 5427,Irr,10.0781,29.3664004,7100809.24,-14.48,1169.97791,0.932222,-0.0466651,-0.354204,-0.0576506
UGC 5423,Irr,10.0916999,70.3644007,5301079.38,-14.54,684.93988,0.930455,0.103507,-0.209012,0.282586
UGC 5456,Irr,10.1218999,10.3622005,3798749.01,-14.24,799.914124,0.899967,-0.284841,-0.325375,0.0552767
KKH 60,Irr,10.2664,6.80469958,1500184,-7.97,160.013489,0.352834,0.567419,-0.454769,-0.588837
DDO 78/KK 89,Irr,10.4408,67.6567001,3719033.54,-12.17,1100.07361,0.182618,0.239359,-0.890064,-0.342263
UGC 5672,S0,10.4722,22.5714002,6300588.79,-14.65,1304.88098,0.845428,-0.236011,-0.383882,0.286679
LeG  1,Irr,10.5314,12.9263998,10399803.5,-11.53,704.868774,0.312808,0.534824,-0.516878,-0.59072
LeG  2,Irr,10.5553001,10.1891993,10399804.2,-11.12,459.896973,0.191676,0.288218,-0.586736,-0.732074
BK 6N/KK 91,S0,10.5752999,66.0117007,3850870.73,-11.08,569.965637,0.154638,0.497762,-0.808267,-0.273906
LeG  3,Irr,10.5967,8.4797005,10399803.5,-12.4,1269.92883,0.397076,0.673271,-0.393762,-0.483724
LeG  4,Irr,10.6611,12.7350002,10399804,-11.51,810.03186,0.324902,0.567274,-0.497929,-0.569829
FS 1/LeG  5,S0,10.6619,12.6343998,10399803.5,-13.43,955.052734,0.319441,0.555146,-0.504035,-0.579413
PGC 31727,Irr,10.6653001,13.9077992,10399804.1,-11.94,860.007385,0.289364,0.499791,-0.540909,-0.611469
UGC 5812,Irr,10.6821999,12.4719008,10399803.4,-15.09,1930.0343,0.520543,0.488765,-0.530418,-0.456948
PGC 31877,S0,10.7,12.3349997,10399803.5,-14.5,1720.01477,0.332113,0.581621,-0.486642,-0.56089
LeG  9,S0,10.7093999,12.1506006,10399803.4,-11.7,1195.11902,0.237173,0.387634,-0.57308,-0.68196
LeG 10,Irr,10.7319,12.1353001,10399803.8,-11,155.015945,0.17778,0.27079,-0.60426,-0.727967
LeG 11,Irr,10.7339,15.5889004,10399803.4,-11.43,760.056396,0.201069,0.321413,-0.615471,-0.690986
LeG 12,Irr,10.7353,11.5331,10399804,-11.12,295.008575,0.246523,0.405832,-0.562715,-0.676668
FS 9/LeG 13,Irr,10.7492,11.9161002,10399803.6,-12.76,524.895752,0.33314,0.583299,-0.482644,-0.561992
FS 13/LeG 14,S0,10.7706,12.9600001,10399804.1,-11.49,600.012268,0.210647,0.339827,-0.593133,-0.698812
FS 14/KK 93,Irr,10.7733,14.0249994,10399804.3,-11.92,914.888428,0.191965,0.303321,-0.609729,-0.706666
FS 15/LeG 16,S0,10.7749999,11.7558006,10399803.5,-11.2,615.035583,0.147752,0.214722,-0.612292,-0.746433
FS 17/LeG 17,Irr,10.7780999,12.3264008,10399803.7,-13.21,1030.16919,0.248976,0.416106,-0.564575,-0.667923
LeG 18,Irr,10.7813999,12.7443998,10399803.4,-11.29,1165.07239,0.254741,0.429645,-0.562445,-0.658914
FS 20/LeG 19,Irr,10.7817,12.7880996,10399803.9,-11.99,719.89209,0.271024,0.463231,-0.54939,-0.640416
FS 21/KK 94,Irr,10.7825,12.9983006,10399803.7,-12.72,1204.93005,0.223681,0.367257,-0.585418,-0.687295
LeG 21,Irr,10.7833,12.9597,10399803.4,-11.62,584.988953,0.254222,0.429672,-0.563901,-0.657851
DDO 88/UGC 5889,Irr,10.7894,14.0702991,9299117.13,-15.75,3039.91895,0.172785,0.264837,-0.618615,-0.719251
FS 23,Irr,10.7908,13.8897003,10399804,-12.45,589.894531,0.252004,0.429496,-0.570314,-0.653276
PGC 32327,S0,10.8119,12.3156005,10399803.6,-12.7,295.008575,0.239657,0.399341,-0.570416,-0.676547
PGC 32348,S0,10.8146999,14.1244,10399803.7,-14.76,1635.08704,0.310529,0.557453,-0.513065,-0.574093
DDO 87/UGC 5918,Irr,10.8267,65.5306015,7401275.63,-14.42,2555.18774,0.13824,0.282821,-0.879652,-0.356532
FS 40/LeG 22,Irr,10.8269,11.3517,10399804,-12.22,860.007385,0.280647,0.477906,-0.53317,-0.639197
PGC 1424345,Irr,10.8311,13.1617,10399803.7,-10.24,155.015945,0.195093,0.312572,-0.601802,-0.70857
LeG 23,S0,10.8358,13.4835998,10399803.5,-11.13,459.896973,0.169159,0.260624,-0.615711,-0.724128
UGC 5944,Irr,10.8386,13.2719005,10399803.7,-15.42,1700.08582,0.150468,0.222939,-0.621249,-0.736008
KK 96,S0,10.8408,12.3607996,10399804.1,-11.9,1479.94849,0.237404,0.396862,-0.571613,-0.67779
LeG 26,S0,10.8557999,12.8492005,10399803.6,-12.99,1360.06873,0.200531,0.324786,-0.596613,-0.705942
LeG 27,Irr,10.8722,14.7072007,10399803.6,-11.58,569.965637,0.266495,0.4705,-0.559471,-0.628174
LeG 28,Irr,10.8833,10.3791999,10399803.7,-11.9,810.03186,0.31761,0.547296,-0.492244,-0.597735
DDO 640-16,Irr,10.9175,14.0933,10399803.5,-11.59,444.873688,0.218736,0.369723,-0.592257,-0.681682
DDO 640-12,Irr,10.9325,12.3389003,10399804,-11.77,1070.02698,0.308277,0.546162,-0.506639,-0.591599
DDO 640-13,Irr,10.9372,12.0102997,10399804.2,-12.51,959.958313,0.29373,0.514372,-0.52073,-0.614805
DDO 640-14,Irr,10.9694,11.9992002,10399803.6,-11.66,844.98407,0.269102,0.466536,-0.542531,-0.644661
LeG 32,Irr,10.9881,15.0852992,10399803.9,-11.48,580.083374,0.234892,0.41327,-0.584402,-0.657653
LeG 33,Irr,11.0125,14.1721995,10399803.9,-11.57,680.034363,0.285235,0.517317,-0.534135,-0.604751
DDO 640-8,S0,11.0144,13.8808006,10399803.7,-13.2,1650.11035,0.279935,0.503958,-0.5386,-0.614469
LeG 35,Irr,11.0506,8.04830036,10399803.7,-12.15,814.937439,0.314175,0.530426,-0.484261,-0.620833
CGCG 66-109,Irr,11.0739001,11.7549997,10399803.9,-14.45,1674.94482,0.346878,0.627478,-0.452071,-0.530641
UGC 6541,Irr,11.5581,49.2380985,3890728.42,-13.71,719.89209,0.854611,0.0559472,-0.480791,0.188017
KK 109,Irr,11.7864,43.6719006,4510056.52,-9.73,370.063782,0.103125,0.420813,-0.743857,-0.508879
NGC 2337/UGC 3711/MCG 7-15-10/ZWG 205.23,Irr,7.17030002,44.4569007,7901030.05,-16.49,2412.92627,0.995742,0.0184342,0.00226224,0.090299
NGC 2344/UGC 3734/MCG 8-13-103/ZWG 234.100,SBc,7.20780003,47.1672003,14523546.4,-18.01,3167.15723,0.91881,-0.2209,0.306449,0.114366
NGC 2500/UGC 4165/MCG 9-13-110/ZWG 262.62,SBc,8.03140002,50.7367005,8688987.21,-17.49,3663.84595,0.76584,0.314972,-0.492167,-0.268428
NGC 2537/UGC 4274/MCG 8-15-50/MK 86,Irr,8.22059992,45.9914003,6901520.86,-16.89,1706.21777,0.960026,-0.179175,0.205493,0.0634009
NGC 2541/UGC 4284/MCG 8-15-54/ZWG 236.37,SBc,8.24440007,49.0618985,11969585.3,-18.19,10967.0098,0.916982,-0.235376,0.0651674,0.315429
NGC 2549/UGC 4313/MCG 10-12-124/ZWG 287.69,S0,8.31609995,57.8030981,12601177.1,-18.3,6962.84033,0.829962,-0.292915,0.0808759,0.467786
NGC 2552/UGC 4325/MCG 8-15-62/ZWG 236.42,Irr,8.32190004,50.0069003,8934265.48,-17.15,4678.68555,0.777968,0.420195,-0.46704,-0.00865371
NGC 2681/UGC 4645/MCG 9-15-41/ZWG 264.26,SBa,8.89219992,51.3130992,17200146.9,-20.08,9004.7832,0.628757,0.330305,-0.632165,-0.309727
NGC 2683/UGC 4641/MCG 6-20-11/ZWG 180.17,Sb,8.8781001,33.4199999,9391096.23,-19.36,12702.3545,0.676811,0.583084,-0.449357,-0.0043186
NGC 2685/UGC 4666/MCG 10-13-39/ZWG 288.12,SBa,8.92609984,58.7347005,13701864.4,-18.58,9167.28027,0.598897,0.516784,-0.611328,-0.023114
NGC 2775/UGC 4820/MCG 1-24-5/ZWG 34.6,Sb,9.17219992,7.03719974,16862889.7,-19.93,10546.9707,0.919484,-0.374534,-0.0854687,-0.0834777
NGC 2778/UGC 4840/MCG 6-20-43/ZWG 180.54,E0,9.20670005,35.0277996,22899804.2,-18.5,4663.35547,0.567723,0.125602,-0.562353,-0.58794
NGC 2787/UGC 4914/MCG 12-9-39/ZWG 332.41,SBa,9.32169991,69.2036004,7480991.11,-17.57,3372.57788,0.876099,0.212354,-0.328586,0.28176
NGC 2793/UGC 4894/MCG 6-21-2/ZWG 181.6,Irr,9.27939995,34.4322011,26162006.3,-18.49,4565.24414,0.771008,0.251633,-0.491726,-0.316911
NGC 2841/UGC 4966/MCG 9-16-5/ZWG 265.6,Sb,9.36720003,50.9763989,15798994.2,-20.89,18613.5645,0.916771,-0.0664428,-0.185237,0.347568
NGC 2844/UGC 4971/MCG 7-19-64/ZWG 209.57,Sa,9.36329996,40.1519,23292249.5,-18.14,5757.91016,0.44185,0.633743,-0.586392,-0.243482
NGC 2859/UGC 5001/MCG 6-21-30/ZWG 181.40,SBa,9.40500001,34.5132993,26244788.6,-20.29,17558.8672,0.861829,0.111285,-0.397821,-0.294289
NGC 2893/UGC 5060/MCG 5-23-5/MK 401,SBa,9.50439989,29.5403,26750673.8,-18.34,4280.10791,0.822363,0.106698,-0.418332,-0.370585
NGC 2903/UGC 5079/MCG 4-23-9/KARA 347,SBc,9.53579996,21.4992001,9734486.39,-20.34,17837.8711,0.506432,0.602489,-0.497424,-0.364833
NGC 2950/UGC 5176/MCG 10-14-32/ZWG 289.16,S0,9.70939997,58.8514014,14900662.6,-18.97,5849.88965,0.951739,-0.00233719,-0.159164,0.262401
NGC 2964/UGC 5183/MCG 5-23-27/ZWG 152.56,SBc,9.71499997,31.8469002,21584498.7,-19.67,9418.69043,0.88588,0.145117,-0.437856,-0.0493878
NGC 2968/UGC 5190/MCG 5-23-29/ZWG 152.58,Sa,9.71969995,31.9285999,23319843.3,-19.04,7122.27148,0.6409,0.349604,-0.579531,-0.362172
NGC 2970/MCG 5-23-30/MK 405/ZWG 152.59,E1,9.72530004,31.9775007,26272381.8,-17.4,1528.39099,0.612461,0.0415645,-0.518321,-0.595406
NGC 3003/UGC 5251/MCG 6-22-13/ZWG 182.21,SBc,9.80969992,33.4219004,24616751.5,-19.65,20410.2285,0.775945,0.359895,-0.513886,0.0656169
NGC 3011/UGC 5259/MCG 5-23-38/MK 409,S0,9.82810009,32.2216992,24386804.6,-17.34,3191.68506,0.759546,0.159415,-0.508589,-0.372847
NGC 3020/UGC 5271/MCG 2-25-45/ZWG 63.82,SBc,9.83500004,12.8136001,23988227,-19,10467.2549,0.899358,0.0153613,-0.414673,-0.137714
NGC 3024/UGC 5275/MCG 2-25-46/ZWG 63.84,Sc,9.84080004,12.7655998,23663233,-18.07,6883.125,0.871787,-0.0344162,-0.46662,0.145153
NGC 3032/UGC 5292/MCG 5-23-46/ZWG 152.77,S0,9.86890007,29.236699,21201250.8,-18.13,5242.82568,0.879446,0.079922,-0.424465,-0.200044
NGC 3041/UGC 5303/MCG 3-25-39/ZWG 92.68,SBc,9.88529999,16.6775009,23525263.2,-19.46,12659.4307,0.875026,0.0631268,-0.427072,-0.218982
NGC 3044/UGC 5311/MCG0-25-31/ZWG 7.56,SBc,9.8944,1.57939992,22228354.3,-19.23,15194.9961,0.872782,-0.00515936,-0.487725,0.0186582
NGC 3067/UGC 5351/MCG 6-22-46/ZWG 182.51,SBb,9.97249996,32.3700002,23785871.3,-19.08,8302.67383,0.866382,0.146254,-0.469104,0.0890723
NGC 3077/UGC 5398/MCG 12-10-17/ZWG 333.13,Irr,10.0556001,68.7349995,3976575.82,-17.4,3006.5,0.571827,0.293271,-0.743731,-0.184038
NGC 3098/UGC 5397/MCG 4-24-12/ZWG 123.14,Sa,10.0378,24.7114007,22240617.2,-18.74,7116.13916,0.821505,0.245671,-0.514083,0.0222123
NGC 3104/UGC 5414/MCG 7-21-7/ZWG 211.6,Irr,10.0658001,40.7571991,11543414.3,-16.51,5540.22559,0.538008,0.44005,-0.653859,-0.29895
NGC 3118/UGC 5452/MCG 6-22-74/ZWG 182.75,Sc,10.1197,33.0272004,21967745.9,-17.41,7986.87744,0.577448,0.603873,-0.541321,-0.0941474
NGC 3162/NGC 3575/UGC 5510/MCG 4-24-19,SBc,10.2253,22.7372001,21912558.7,-19.5,9878.58691,0.50693,0.285178,-0.602941,-0.546038
NGC 3169/UGC 5525/MCG 1-26-26/ZWG 36.66,Sa,10.2371999,3.46689988,19928869.6,-20.3,12175.0059,0.628354,0.286234,-0.48225,-0.539144
NGC 3177/UGC 5544/MCG 4-24-23/ZWG 123.32,Sc,10.2761,21.1231001,21995340.2,-18.71,4798.2583,0.936282,-0.198176,-0.278085,-0.0822888
NGC 3184/UGC 5557/MCG 7-21-37/ZWG 211.38,SBc,10.3047,41.4233001,11301201.7,-19.96,12162.7422,0.968771,-0.100557,-0.210294,-0.0845479
NGC 3185/UGC 5554/MCG 4-24-24/ZWG 123.34,SBa,10.2938999,21.6886014,21026489.4,-18.71,6423.22803,0.924371,-0.135481,-0.355857,-0.0234206
NGC 3198/UGC 5572/MCG 8-19-20/ZWG 240.30,SBc,10.3317,45.5499992,14704439.5,-19.93,18178.1953,0.492279,0.562943,-0.644097,-0.160923
NGC 3206/UGC 5589/MCG 10-15-69/ZWG 290.30,SBc,10.3631,56.9308004,18006500,-18.68,7594.43213,0.204204,0.527777,-0.760737,-0.317855
NGC 3213/UGC 5590/MCG 3-27-4/ZWG 94.8,Sc,10.3546999,19.6517002,22734240.8,-17.48,3305.12622,0.92882,-0.198104,-0.296969,-0.0992893
NGC 3227/UGC 5620/MCG 3-27-16/ZWG 94.28,SBa,10.3917,19.8652991,22400049.6,-20.45,13358.4746,0.934485,-0.31165,-0.111753,-0.130858
NGC 3239/UGC 5637/MCG 3-27-25/ZWG 94.38,Irr,10.4180999,17.1603005,14686043.3,-19.13,9611.84668,0.795743,0.177985,-0.532757,-0.22646
NGC 3245/UGC 5663/MCG 5-25-13/ZWG 154.17,S0,10.4550001,28.5077992,20900785.3,-19.9,9728.35449,0.875443,-0.33507,-0.184856,0.29522
NGC 3245A/UGC 5662/MCG 5-25-12/ZWG 154.16,SBb,10.4503,28.6392011,22062790.6,-16.62,11230.6846,0.810979,-0.124578,-0.441361,0.363311
NGC 3248/UGC 5669/MCG 4-25-20/ZWG 124.24,S0,10.4624999,22.8475006,19790899.9,-17.88,7195.85498,0.889107,-0.108154,-0.426082,0.127459
NGC 3265/UGC 5705/MCG 5-25-19/ZWG 154.23,E0,10.5183,28.7969004,23703090,-17.77,3102.77173,0.666834,-0.08456,-0.474744,-0.568155
NGC 3274/UGC 5721/MCG 5-25-20/ZWG 154.24,SBc,10.5381,27.6688991,6499877.4,-15.86,1890.78979,0.844592,0.105878,-0.520113,-0.0702708
NGC 3277/UGC 5731/MCG 5-25-22/ZWG 154.26,Sb,10.5486,28.5121999,23224796.9,-19.33,7094.67725,0.940542,-0.310969,-0.085934,0.10627
NGC 3287/UGC 5742/MCG 4-25-32/ZWG 124.38,SBc,10.5797,21.6477994,22090385.9,-18.72,6426.29395,0.456402,0.546204,-0.561519,-0.421967
NGC 3299/UGC 5761/MCG 2-27-29/ZWG 65.64,Irr,10.6064,12.7072,13346210.3,-16.93,4270.91016,0.294698,0.441778,-0.555705,-0.639669
NGC 3301/NGC 3760/UGC 5767/MCG 4-25-35,SBa,10.6153,21.8816994,22335663.9,-19.44,10721.7314,0.644599,0.451241,-0.575978,-0.221636
NGC 3319/UGC 5789/MCG 7-22-36/ZWG 212.33,SBc,10.6524999,41.6872021,13588423,-19.16,12055.4326,0.497641,0.46541,-0.679849,-0.271207
NGC 3344/UGC 5840/MCG 4-25-46/ZWG 124.60,SBc,10.725,24.9227995,6131959.86,-18.44,6331.24854,0.340132,0.268056,-0.66594,-0.607438
NGC 3346/UGC 5842/MCG 3-28-1/ZWG 94.116,SBc,10.7272,14.8722003,21750060.7,-19.19,8541.82031,0.759185,-0.121315,-0.423256,-0.479348
M 95/NGC 3351/UGC 5850/MCG 2-28-1,SBb,10.7325,11.7033005,10010424.2,-19.4,10773.8535,0.799303,-0.389073,0.280663,-0.36189
NGC 3353/UGC 5860/MCG 9-18-22/MK 35,Sb,10.7560999,55.959701,15191930.6,-17.71,3093.57373,0.608484,0.340816,-0.701651,-0.145869
NGC 3359/UGC 5873/MCG 11-13-37/ZWG 313.33,SBc,10.7767001,63.2232989,12999754.5,-19.57,13612.9512,0.908715,-0.047523,-0.127472,0.394626
M 96/NGC 3368/UGC 5882/MCG 2-28-6,SBb,10.7792,11.8199993,10733996.1,-20.05,12178.0723,0.850459,-0.433822,-0.230131,0.18857
NGC 3377/UGC 5899/MCG 2-28-9/ZWG 66.16,E5,10.795,13.9858005,10988471.8,-19,7989.94336,0.36308,-0.0172248,-0.566502,-0.739562
NGC 3377A/MCG 2-28-7,Irr,10.7894,14.0699993,9299116.92,-15.54,2975.84009,0.757887,-0.120458,-0.432771,-0.473082
M 105/NGC 3379/UGC 5902/MCG 2-28-11,E1,10.7969,12.5811,10881162.4,-19.68,8388.52051,0.592415,-0.161874,-0.431029,-0.661102
NGC 3384/NGC 3371/UGC 5911/MCG 2-28-12,S0,10.8044,12.6285999,11181628.9,-19.34,8780.9668,0.650594,0.322281,-0.57134,-0.382664
NGC 3389/NGC 3373/UGC 5914/MCG 2-28-13,Sc,10.8078,12.5331005,19300342.6,-18.93,8140.17676,0.845523,-0.0198083,-0.530049,-0.0612108
NGC 3400/UGC 5949/MCG 5-26-20/ZWG 155.25,SBa,10.8458,28.468901,23264655.1,-17.53,3722.09961,0.830029,0.0765456,-0.540463,-0.114425
NGC 3412/UGC 5952/MCG 2-28-16/ZWG 66.38,S0,10.8481,13.4127992,10007358.7,-18.6,5386.92676,0.873864,-0.308413,-0.357837,0.114869
NGC 3413/UGC 5960/MCG 6-24-24/ZWG 184.27,S0,10.8556,32.7661001,16200638.1,-17.95,4240.25,0.838365,-0.29042,-0.255726,0.383934
NGC 3418/UGC 5963/MCG 5-26-23/ZWG 155.30,SBa,10.8564,28.1122002,21149128.3,-17.23,4307.70166,0.726575,0.132228,-0.590962,-0.324606
NGC 3423/UGC 5962/MCG 1-28-12/ZWG 38.29,Sc,10.8538999,5.84000017,18564507.7,-19.74,10531.6406,0.311237,0.332777,-0.540948,-0.706942
NGC 3424/UGC 5972/MCG 6-24-25/ZWG 184.28,SBb,10.8628,32.9003001,24264164.7,-18.72,9529.06543,0.803296,0.139588,-0.558467,0.15279
NGC 3432/UGC 5986/MCG 6-24-28/ZWG 184.30,Irr,10.8753,36.6188995,17200147.3,-19.48,16510.3008,0.492814,0.58715,-0.617376,-0.176737
NGC 3447/UGC 6006/MCG 3-28-27/ZWG 95.58,Irr,10.89,16.7719012,19113317.8,-17.51,10562.3008,0.289774,0.538158,-0.541426,-0.5773
NGC 3447A/UGC 6007/MCG 3-28-28/VV 252,Irr,10.8917,16.7846995,19291145.3,-18.33,4209.59033,0.845309,-0.0115472,-0.527324,-0.0851401
NGC 3451/UGC 6023/MCG 5-26-28/ZWG 155.35,SBc,10.9058001,27.2397002,22323400.5,-18.24,5518.76367,0.596593,0.399673,-0.632278,-0.290797
NGC 3454/UGC 6026/MCG 3-28-30/ZWG 95.60,SBc,10.9080999,17.3436011,19643732.3,-17.47,6000.12256,0.793288,0.0726348,-0.589481,0.133909
NGC 3455/UGC 6028/MCG 3-28-31/ZWG 95.62,SBb,10.9083,17.2843996,19631469,-18.36,7422.7373,0.657742,0.155826,-0.586499,-0.446221
NGC 3457/NGC 3460/UGC 6030/MCG 3-28-32,S0,10.9133,17.6214008,20701495.9,-18.38,2709.71313,0.105693,0.128779,-0.661788,-0.730946
NGC 3486/UGC 6079/MCG 5-26-32/ZWG 155.41,SBc,11.0067,28.975599,7664949.76,-18.42,7916.35986,0.740685,0.135186,-0.601514,-0.267005
NGC 3489/UGC 6082/MCG 2-28-39/ZWG 66.84,SBa,11.005,13.9008009,10034951.8,-18.91,5255.08936,0.707274,0.173424,-0.58688,-0.35392
NGC 3495/UGC 6098/MCG 1-28-27/ZWG 38.88,Sc,11.0208,3.62689988,20149620,-18.82,14361.0498,0.522551,0.574331,-0.445292,-0.445869
NGC 3507/UGC 6123/MCG 3-28-53/ZWG 95.100,SBb,11.0569,18.1347009,17856266.5,-18.56,8830.02246,0.845171,-0.131659,-0.450686,-0.255408
NGC 3510/UGC 6126/MCG 5-26-40/ZWG 155.50,Irr,11.0619,28.8847007,3798749,-14.7,2266.06567,0.757495,-0.180672,-0.458455,0.428226
NGC 3512/UGC 6128/MCG 5-26-41/ZWG 155.51,SBc,11.0672,28.0375,22869143.4,-18.8,5322.54102,0.916234,-0.198086,-0.310973,-0.156761
M 108/NGC 3556/UGC 6225/MCG 9-18-98,Sc,11.1914,55.6727994,11883737.6,-19.77,14866.9365,0.604176,0.440043,-0.650557,0.134567
