# HECTON-8 SURVIVAL DATABASE FINAL
Date: 2026-04-23
Status: PENDING VERIFICATION

Mandates followed:
- DATA_Inventory_Resources_Items_SOA_Layout.txt
- CORE_Abyss_Survival_Systems_O2_Pressure_Logic.txt
- LOGI_Energy_Networks_Power_Grid_Graph_Flow.txt
- UI_Data_Streaming_ZeroGC_Optimization.txt
- UI_Localization_Babel_RTL_FontSwap_ZeroAlloc.txt

Project truths absorbed into this spec:
- Current item authoring owner is `ItemData` with `ItemCategory`, `ResourceFamily`, and `ProgressionTier Tier0..Tier3`.
- Current recipe authoring owner is `RecipeData` with fabrication groups `Materials / Components / Tools / Suit / Construction / Power`.
- Current runtime oxygen base is `SurvivalStats.oxygenConsumptionRate = 1.5` and depth pressure is `1 + depth * 0.1` in `HectonSurvivalSystem`.
- Current pressure damage begins after `safeDepth` and scales by `pressureScalePerMeter = 0.02`.
- Current module life-support anchors in `BaseModule` are `oxygenRefillRate = 15`, `breathableReserveCapacity = 120`, `airRecycleRate = 6`, `occupiedAirDrainRate = 9`, `staleAirThreshold = 0.25`, `staleAirSuitDrainRate = 3`.
- Current authored audio-log asset shells exist for `chen_m_datapad_01`, `captain_last_broadcast`, `biologist_samples`, `medic_diary`, and `atlas6_terminal_sector3` only.

[ANALYSIS]
Target:
- Exhaustive survival database for items, survival math, lore logs, logistics graph rules, and bilingual item localization seed keys.

Affected systems:
- ItemData authoring pipeline
- RecipeData and fabrication grouping
- HectonSurvivalSystem oxygen / temperature / integrity loops
- BaseModule dry-air reserve and stale-air behavior
- Narrative archive / AudioLogData / PDA stream surfaces
- Future construction power and oxygen graph nodes

Zero GC proof:
- This document is data/spec only. No runtime code changed.
- Narrative streaming schema is fixed-array oriented: numeric IDs, stable hashes, UTF-8 blob offsets, no per-open JSON parsing, no runtime string concatenation, no dynamic sorting in UI.
- Item localization registry is precomputed by stable keys and hashes so runtime can resolve table entries without generated keys.

State check:
- Progression tiers remain inside existing project limits `Tier0..Tier3`.
- Buildable rows are marked `RecipeData + Construction owner` to avoid pretending they are already direct `ItemData` loot assets.
- Existing registry/audio-log IDs are reused where they already exist; spec-only IDs are flagged as such in `RepoAnchor`.
- No claim of runtime fix. This is authored data only. Status remains `PENDING VERIFICATION` until user validates in editor/runtime.

Rule quote:
- "[REQ] Before any task, scan C:\hades\Hecton8\.agents-skills\ and load ONLY relevant mandates."
- "[RULE] Every technical report must include: REGRESSION MODEL (CPU/GC/memory/cadence/correctness) · HOT PATH IMPACT · FAILURE MODES · WHY KEPT/REJECTED."

======================================================================
1. AUTHORING CONVENTIONS
======================================================================

- Tier0 = bootstrap salvage / upper drydock / 0-120 m
- Tier1 = early colony stabilization / 120-600 m
- Tier2 = drowned factories / 600-2500 m
- Tier3 = abyssal and forbidden infrastructure / 2500-5000 m
- `Hash` = FNV-1a 32-bit of stable ID.
- `NameKey` / `DescKey` = initial localization seeds. Descriptions stay stubbed for later narrative expansion; names are fully seeded here for EN/RU.
- `EnergyDensity` is chemical or stored-energy potential in MJ/kg for economy balancing. Structural junk is explicitly zeroed.
- `ScavengeValue` is salvage desirability, not vendor price. It drives scan interest, fabrication urgency, and route choice.

Logical category split:
- RawResource: 40
- ProcessedMaterial: 30
- Component: 40
- Tool: 22
- Equipment: 13
- BuildableKit: 30
- Wreckage: 45
- Total: 220

======================================================================
2. ITEM MASTER TABLE
======================================================================

StableId|Hash|LogicalCategory|AuthoringTarget|ItemCategory|ResourceFamily|Tier|NameEN|NameRU|MassKg|VolumeL|EnergyDensityMJkg|BaseDurability|ScavengeValue|NameKey|DescKey
Comp_PowerCoupler|0x2CFC0582|Component|ItemData|Component|Power|Tier1|Power Coupler|Силовая муфта|1.25|0.54|0.90|59|36|ITEM_COMP_POWERCOUPLER_NAME|ITEM_COMP_POWERCOUPLER_DESC
Comp_PrecisionLens|0x769E4871|Component|ItemData|Component|Component|Tier1|Precision Lens|Прецизионная линза|1.25|0.54|0.90|59|36|ITEM_COMP_PRECISIONLENS_NAME|ITEM_COMP_PRECISIONLENS_DESC
Comp_PressureSeal|0xB1B70075|Component|ItemData|Component|Component|Tier1|Pressure Seal|Герметизатор давления|2.62|1.01|0.24|84|50|ITEM_COMP_PRESSURESEAL_NAME|ITEM_COMP_PRESSURESEAL_DESC
Comp_PumpRotor|0xA3F61C7B|Component|ItemData|Component|Component|Tier1|Pump Rotor|Ротор насоса|2.28|0.96|0.12|68|32|ITEM_COMP_PUMPROTOR_NAME|ITEM_COMP_PUMPROTOR_DESC
Comp_ReinforcedPlate|0x36B37370|Component|ItemData|Component|Component|Tier1|Reinforced Plate|Усиленная пластина|2.28|0.96|0.12|68|32|ITEM_COMP_REINFORCEDPLATE_NAME|ITEM_COMP_REINFORCEDPLATE_DESC
Comp_RelayMatrix|0x8904D885|Component|ItemData|Component|Component|Tier1|Relay Matrix|Релейная матрица|1.25|0.54|0.90|59|36|ITEM_COMP_RELAYMATRIX_NAME|ITEM_COMP_RELAYMATRIX_DESC
Comp_SealantPack|0xCBCEDD02|Component|ItemData|Component|Component|Tier1|Sealant Pack|Комплект герметика|2.28|0.96|0.12|68|32|ITEM_COMP_SEALANTPACK_NAME|ITEM_COMP_SEALANTPACK_DESC
Comp_SensorPackage|0xCB24F3AF|Component|ItemData|Component|Component|Tier1|Sensor Package|Пакет сенсоров|1.25|0.54|0.90|59|36|ITEM_COMP_SENSORPACKAGE_NAME|ITEM_COMP_SENSORPACKAGE_DESC
Comp_StabilizerCoil|0xD922B295|Component|ItemData|Component|Power|Tier1|Stabilizer Coil|Катушка стабилизатора|1.25|0.54|0.90|59|36|ITEM_COMP_STABILIZERCOIL_NAME|ITEM_COMP_STABILIZERCOIL_DESC
Comp_StructuralBracket|0x26105640|Component|ItemData|Component|Component|Tier2|Structural Bracket|Несущий кронштейн|2.56|1.02|0.14|76|40|ITEM_COMP_STRUCTURALBRACKET_NAME|ITEM_COMP_STRUCTURALBRACKET_DESC
Comp_AbyssPressureShell|0xBAC76880|Component|ItemData|Component|Component|Tier2|Abyss Pressure Shell|Абиссальная оболочка давления|2.94|1.07|0.28|94|60|ITEM_COMP_ABYSSPRESSURESHELL_NAME|ITEM_COMP_ABYSSPRESSURESHELL_DESC
Comp_OxygenManifold|0xD62DEE27|Component|ItemData|Component|Power|Tier2|Oxygen Manifold|Кислородный коллектор|2.94|1.07|1.58|88|50|ITEM_COMP_OXYGENMANIFOLD_NAME|ITEM_COMP_OXYGENMANIFOLD_DESC
Comp_ScrubberBed|0x2C049D0A|Component|ItemData|Component|Power|Tier2|Scrubber Bed|Скрубберная кассета|2.94|1.07|0.28|88|50|ITEM_COMP_SCRUBBERBED_NAME|ITEM_COMP_SCRUBBERBED_DESC
Comp_ThermalRegulator|0x83700DE1|Component|ItemData|Component|Power|Tier2|Thermal Regulator|Терморегулятор|2.94|1.07|0.28|88|50|ITEM_COMP_THERMALREGULATOR_NAME|ITEM_COMP_THERMALREGULATOR_DESC
Comp_PlasmaNozzle|0x61B68F09|Component|ItemData|Component|Component|Tier2|Plasma Nozzle|Плазменное сопло|1.40|0.58|1.00|66|44|ITEM_COMP_PLASMANOZZLE_NAME|ITEM_COMP_PLASMANOZZLE_DESC
Comp_InertialClamp|0xE1BFFB58|Component|ItemData|Component|Component|Tier2|Inertial Clamp|Инерционный зажим|2.94|1.07|0.28|88|50|ITEM_COMP_INERTIALCLAMP_NAME|ITEM_COMP_INERTIALCLAMP_DESC
Comp_FieldTransponder|0x7466814D|Component|ItemData|Component|Component|Tier2|Field Transponder|Полевой транспондер|1.40|0.58|1.00|66|44|ITEM_COMP_FIELDTRANSPONDER_NAME|ITEM_COMP_FIELDTRANSPONDER_DESC
Comp_FloodValve|0x19522E21|Component|ItemData|Component|Component|Tier2|Flood Valve|Противозатопительный клапан|2.94|1.07|0.28|88|50|ITEM_COMP_FLOODVALVE_NAME|ITEM_COMP_FLOODVALVE_DESC
Comp_HullLattice|0xBEDE537A|Component|ItemData|Component|Component|Tier2|Hull Lattice|Корпусная решетка|2.94|1.07|0.28|88|50|ITEM_COMP_HULLLATTICE_NAME|ITEM_COMP_HULLLATTICE_DESC
Comp_ReactorRod|0x3ED5CD54|Component|ItemData|Component|Power|Tier2|Reactor Rod|Реакторный стержень|2.94|1.07|1.58|88|50|ITEM_COMP_REACTORROD_NAME|ITEM_COMP_REACTORROD_DESC
Comp_MicroPumpArray|0x7E1B40D0|Component|ItemData|Component|Component|Tier2|Micro Pump Array|Массив микропомп|2.94|1.07|0.28|88|50|ITEM_COMP_MICROPUMPARRAY_NAME|ITEM_COMP_MICROPUMPARRAY_DESC
Comp_BulkheadLock|0x4ACE68D2|Component|ItemData|Component|Component|Tier3|Bulkhead Lock|Замок переборки|4.76|1.13|0.32|106|60|ITEM_COMP_BULKHEADLOCK_NAME|ITEM_COMP_BULKHEADLOCK_DESC
Comp_ServiceServo|0xF345E947|Component|ItemData|Component|Component|Tier3|Service Servo|Сервисный сервопривод|1.55|0.62|1.10|73|52|ITEM_COMP_SERVICESERVO_NAME|ITEM_COMP_SERVICESERVO_DESC
Comp_AcidNeutralizer|0x2815AFE1|Component|ItemData|Component|Component|Tier3|Acid Neutralizer|Нейтрализатор кислоты|3.26|1.13|0.32|98|60|ITEM_COMP_ACIDNEUTRALIZER_NAME|ITEM_COMP_ACIDNEUTRALIZER_DESC
Comp_CryoCoil|0x37AE21C9|Component|ItemData|Component|Power|Tier3|Cryo Coil|Криокатушка|3.26|1.13|0.32|104|70|ITEM_COMP_CRYOCOIL_NAME|ITEM_COMP_CRYOCOIL_DESC
Comp_TurbineBlade|0x23F1A080|Component|ItemData|Component|Component|Tier3|Turbine Blade|Лопасть турбины|2.84|1.08|1.66|84|48|ITEM_COMP_TURBINEBLADE_NAME|ITEM_COMP_TURBINEBLADE_DESC
Comp_AnchorSpike|0x9D0E9910|Component|ItemData|Component|Component|Tier3|Anchor Spike|Якорный шип|2.84|1.08|0.16|84|48|ITEM_COMP_ANCHORSPIKE_NAME|ITEM_COMP_ANCHORSPIKE_DESC
Comp_SonarEmitter|0x2670D3A0|Component|ItemData|Component|Component|Tier3|Sonar Emitter|Сонарный эмиттер|1.55|0.62|1.10|73|58|ITEM_COMP_SONAREMITTER_NAME|ITEM_COMP_SONAREMITTER_DESC
Comp_DroneSocket|0xE0F8AB32|Component|ItemData|Component|Component|Tier3|Drone Socket|Гнездо дрона|1.55|0.62|1.10|73|58|ITEM_COMP_DRONESOCKET_NAME|ITEM_COMP_DRONESOCKET_DESC
Item_Tool_BeaconDeployer|0x5C402372|Tool|ItemData|Tool|Component|Tier0|Beacon Deployer|Развертыватель маяков|1.90|1.40|1.80|70|46|ITEM_TOOL_BEACONDEPLOYER_NAME|ITEM_TOOL_BEACONDEPLOYER_DESC
Item_Tool_Builder|0x8B0F4FF1|Tool|ItemData|Tool|Component|Tier0|Builder|Строительный инструмент|3.80|2.40|1.20|82|54|ITEM_TOOL_BUILDER_NAME|ITEM_TOOL_BUILDER_DESC
Item_Tool_EnvAnalyzer|0x78DA7167|Tool|ItemData|Tool|Component|Tier0|Environmental Analyzer|Анализатор среды|1.90|1.40|1.80|70|46|ITEM_TOOL_ENVANALYZER_NAME|ITEM_TOOL_ENVANALYZER_DESC
Item_Tool_Flashlight|0x2E6D4630|Tool|ItemData|Tool|Component|Tier0|Flashlight|Фонарь|1.90|1.40|1.80|70|46|ITEM_TOOL_FLASHLIGHT_NAME|ITEM_TOOL_FLASHLIGHT_DESC
Item_Tool_HarpoonLauncher|0x6A7750B9|Tool|ItemData|Tool|Component|Tier0|Harpoon Launcher|Гарпунная пусковая установка|3.80|2.40|1.20|82|54|ITEM_TOOL_HARPOONLAUNCHER_NAME|ITEM_TOOL_HARPOONLAUNCHER_DESC
Item_Tool_Knife|0x7F743227|Tool|ItemData|Tool|Component|Tier0|Knife|Нож|1.90|1.40|1.80|70|46|ITEM_TOOL_KNIFE_NAME|ITEM_TOOL_KNIFE_DESC
Item_Tool_LaserCutter|0xBA784166|Tool|ItemData|Tool|Component|Tier1|Laser Cutter|Лазерный резак|4.15|2.52|1.38|92|66|ITEM_TOOL_LASERCUTTER_NAME|ITEM_TOOL_LASERCUTTER_DESC
Item_Tool_Propulsion|0x8C81A5AB|Tool|ItemData|Tool|Component|Tier1|Propulsion Device|Пропульсионное устройство|4.15|2.52|1.38|92|66|ITEM_TOOL_PROPULSION_NAME|ITEM_TOOL_PROPULSION_DESC
Item_Tool_Repair|0x3D523313|Tool|ItemData|Tool|Component|Tier1|Repair Tool|Ремонтный инструмент|2.08|1.48|2.00|78|56|ITEM_TOOL_REPAIR_NAME|ITEM_TOOL_REPAIR_DESC
Item_Tool_SalvageSampler|0xA5248725|Tool|ItemData|Tool|Component|Tier1|Salvage Sampler|Отборник трофейных проб|2.08|1.48|2.00|78|56|ITEM_TOOL_SALVAGESAMPLER_NAME|ITEM_TOOL_SALVAGESAMPLER_DESC
Item_Tool_Scanner|0x749E0914|Tool|ItemData|Tool|Component|Tier1|Scanner|Сканер|2.08|1.48|2.00|78|56|ITEM_TOOL_SCANNER_NAME|ITEM_TOOL_SCANNER_DESC
Item_Tool_StunPistol|0x74A11F1D|Tool|ItemData|Tool|Component|Tier1|Stun Pistol|Шоковый пистолет|2.08|1.48|2.00|78|56|ITEM_TOOL_STUNPISTOL_NAME|ITEM_TOOL_STUNPISTOL_DESC
Item_Tool_DroneLatch|0x73993F12|Tool|ItemData|Tool|Component|Tier2|Drone Latch|Захват дрона|2.26|1.56|2.20|86|72|ITEM_TOOL_DRONELATCH_NAME|ITEM_TOOL_DRONELATCH_DESC
Item_Tool_CableSplicer|0xD6E401AB|Tool|ItemData|Tool|Component|Tier2|Cable Splicer|Кабельный сплайсер|2.26|1.56|2.20|86|66|ITEM_TOOL_CABLESPLICER_NAME|ITEM_TOOL_CABLESPLICER_DESC
Item_Tool_PressureProbe|0x49E75965|Tool|ItemData|Tool|Power|Tier2|Pressure Probe|Зонд давления|2.26|1.56|2.20|92|76|ITEM_TOOL_PRESSUREPROBE_NAME|ITEM_TOOL_PRESSUREPROBE_DESC
Item_Tool_SeafloorDrill|0xD0A0D666|Tool|ItemData|Tool|Component|Tier2|Seafloor Drill|Донный бур|4.50|2.64|1.56|102|78|ITEM_TOOL_SEAFLOORDRILL_NAME|ITEM_TOOL_SEAFLOORDRILL_DESC
Item_Tool_BrineSiphon|0x953532B9|Tool|ItemData|Tool|Component|Tier2|Brine Siphon|Рассольный сифон|4.50|2.64|1.56|102|78|ITEM_TOOL_BRINESIPHON_NAME|ITEM_TOOL_BRINESIPHON_DESC
Item_Tool_WeldTorch|0x40467474|Tool|ItemData|Tool|Component|Tier2|Weld Torch|Сварочная горелка|4.50|2.64|1.56|102|78|ITEM_TOOL_WELDTORCH_NAME|ITEM_TOOL_WELDTORCH_DESC
Item_Tool_TagLauncher|0xFA92EDD2|Tool|ItemData|Tool|Component|Tier3|Tag Launcher|Маркерный пускатель|2.44|1.64|2.40|94|76|ITEM_TOOL_TAGLAUNCHER_NAME|ITEM_TOOL_TAGLAUNCHER_DESC
Item_Tool_ScrubberGun|0x93A230AC|Tool|ItemData|Tool|Component|Tier3|Scrubber Applicator|Аппликатор скруббера|4.85|2.76|1.74|112|90|ITEM_TOOL_SCRUBBERGUN_NAME|ITEM_TOOL_SCRUBBERGUN_DESC
Item_Tool_HeatShieldProjector|0xF6CBC407|Tool|ItemData|Tool|Power|Tier3|Heat Shield Projector|Проектор теплового щита|4.85|2.76|1.74|112|90|ITEM_TOOL_HEATSHIELDPROJECTOR_NAME|ITEM_TOOL_HEATSHIELDPROJECTOR_DESC
Item_Tool_RelayKey|0x6554145E|Tool|ItemData|Tool|Component|Tier3|Relay Key|Релейный ключ|2.44|1.64|2.40|94|76|ITEM_TOOL_RELAYKEY_NAME|ITEM_TOOL_RELAYKEY_DESC
Item_Equip_OxygenRig_T1|0xF0B55FA2|Equipment|ItemData|Equipment|Power|Tier0|Oxygen Rig 1|Кислородная система T1|2.60|2.10|1.50|78|62|ITEM_EQUIP_OXYGENRIG_T1_NAME|ITEM_EQUIP_OXYGENRIG_T1_DESC
Item_Equip_OxygenRig_T2|0xEFB55E0F|Equipment|ItemData|Equipment|Power|Tier0|Oxygen Rig 2|Кислородная система T2|5.00|3.00|1.30|92|74|ITEM_EQUIP_OXYGENRIG_T2_NAME|ITEM_EQUIP_OXYGENRIG_T2_DESC
Item_Equip_PressureHarness_T1|0x204A1C5F|Equipment|ItemData|Equipment|Power|Tier0|Pressure Harness 1|Силовая обвязка давления T1|5.00|3.00|0.40|98|84|ITEM_EQUIP_PRESSUREHARNESS_T1_NAME|ITEM_EQUIP_PRESSUREHARNESS_T1_DESC
Item_Equip_PressureHarness_T2|0x214A1DF2|Equipment|ItemData|Equipment|Power|Tier1|Pressure Harness 2|Силовая обвязка давления T2|5.45|3.12|0.46|110|98|ITEM_EQUIP_PRESSUREHARNESS_T2_NAME|ITEM_EQUIP_PRESSUREHARNESS_T2_DESC
Item_Equip_ThermalLiner_T1|0x120ADBAF|Equipment|ItemData|Equipment|Power|Tier1|Thermal Liner 1|Термоподкладка T1|2.84|2.20|0.68|87|74|ITEM_EQUIP_THERMALLINER_T1_NAME|ITEM_EQUIP_THERMALLINER_T1_DESC
Item_Equip_ThermalLiner_T2|0x130ADD42|Equipment|ItemData|Equipment|Power|Tier1|Thermal Liner 2|Термоподкладка T2|2.84|2.20|0.68|87|74|ITEM_EQUIP_THERMALLINER_T2_NAME|ITEM_EQUIP_THERMALLINER_T2_DESC
Item_Equip_RadiationVeil|0x68A0D2D9|Equipment|ItemData|Equipment|Component|Tier1|Radiation Veil|Радиационная вуаль|2.84|2.20|0.68|87|74|ITEM_EQUIP_RADIATIONVEIL_NAME|ITEM_EQUIP_RADIATIONVEIL_DESC
Item_Equip_ScrapPack|0x5F6A5956|Equipment|ItemData|Equipment|Component|Tier2|Scrap Pack|Ранец металлолома|3.08|2.30|0.76|96|86|ITEM_EQUIP_SCRAPPACK_NAME|ITEM_EQUIP_SCRAPPACK_DESC
Item_Equip_ServiceFins|0x1367A143|Equipment|ItemData|Equipment|Component|Tier2|Service Fins|Сервисные плавники|3.08|2.30|0.76|96|86|ITEM_EQUIP_SERVICEFINS_NAME|ITEM_EQUIP_SERVICEFINS_DESC
Item_Equip_MagBoots|0x5F5B46A2|Equipment|ItemData|Equipment|Power|Tier2|Mag Boots|Магнитные ботинки|5.90|3.24|0.52|116|102|ITEM_EQUIP_MAGBOOTS_NAME|ITEM_EQUIP_MAGBOOTS_DESC
Item_Equip_HudVisorAtlas|0x7F5F6211|Equipment|ItemData|Equipment|Component|Tier3|Atlas Visor Retrofit|Визор Atlas|3.32|2.40|0.84|111|108|ITEM_EQUIP_HUDVISORATLAS_NAME|ITEM_EQUIP_HUDVISORATLAS_DESC
Item_Equip_HullPatchRig|0x68747C35|Equipment|ItemData|Equipment|Component|Tier3|Hull Patch Rig|Корпусной патч-комплект|6.35|3.36|0.58|128|116|ITEM_EQUIP_HULLPATCHRIG_NAME|ITEM_EQUIP_HULLPATCHRIG_DESC
Item_Equip_BallastBelt|0xED07A3A0|Equipment|ItemData|Equipment|Power|Tier3|Ballast Belt|Балластный пояс|7.85|3.36|0.58|136|116|ITEM_EQUIP_BALLASTBELT_NAME|ITEM_EQUIP_BALLASTBELT_DESC
Build_Foundation_Platform|0xA94197BD|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier0|Foundation Platform|Платформа-основание|12.00|8.00|0.00|134|88|ITEM_BUILD_FOUNDATION_PLATFORM_NAME|ITEM_BUILD_FOUNDATION_PLATFORM_DESC
Build_Corridor_Straight|0x2AF27509|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier0|Corridor Straight|Прямой коридор|12.00|8.00|0.00|134|88|ITEM_BUILD_CORRIDOR_STRAIGHT_NAME|ITEM_BUILD_CORRIDOR_STRAIGHT_DESC
Build_Service_Pump|0x70B3E22A|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier0|Service Pump|Сервисный насос|14.00|9.00|0.60|144|102|ITEM_BUILD_SERVICE_PUMP_NAME|ITEM_BUILD_SERVICE_PUMP_DESC
Build_Current_Turbine|0x10A7F5F9|BuildableKit|RecipeData + Construction owner|Miscellaneous|Power|Tier0|Current Turbine|Турбина течения|14.00|9.00|1.50|144|102|ITEM_BUILD_CURRENT_TURBINE_NAME|ITEM_BUILD_CURRENT_TURBINE_DESC
Build_Utility_Pylon|0x2D65F0DF|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier0|Utility Pylon|Служебный пилон|12.00|8.00|0.00|134|88|ITEM_BUILD_UTILITY_PYLON_NAME|ITEM_BUILD_UTILITY_PYLON_DESC
Build_Corridor_Corner|0x1F09B7BA|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier0|Corridor Corner|Угловой коридор|12.00|8.00|0.00|134|88|ITEM_BUILD_CORRIDOR_CORNER_NAME|ITEM_BUILD_CORRIDOR_CORNER_DESC
Build_Corridor_TJunction|0x2A0F5A75|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier0|Corridor T-Junction|Т-образный коридор|12.00|8.00|0.00|134|88|ITEM_BUILD_CORRIDOR_TJUNCTION_NAME|ITEM_BUILD_CORRIDOR_TJUNCTION_DESC
Build_Airlock_Hatch|0x61C602EE|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier0|Airlock Hatch|Шлюзовой люк|12.00|8.00|0.00|134|88|ITEM_BUILD_AIRLOCK_HATCH_NAME|ITEM_BUILD_AIRLOCK_HATCH_DESC
Build_Service_Relay|0x4EA39731|BuildableKit|RecipeData + Construction owner|Miscellaneous|Power|Tier1|Service Relay|Сервисное реле|16.10|9.45|0.70|160|120|ITEM_BUILD_SERVICE_RELAY_NAME|ITEM_BUILD_SERVICE_RELAY_DESC
Build_Oxygen_ScrubberRack|0xD4EEB50A|BuildableKit|RecipeData + Construction owner|Miscellaneous|Power|Tier1|Oxygen Scrubber Rack|Стойка скруббера O2|16.10|9.45|1.80|160|120|ITEM_BUILD_OXYGEN_SCRUBBERRACK_NAME|ITEM_BUILD_OXYGEN_SCRUBBERRACK_DESC
Build_Oxygen_Tank|0x02603765|BuildableKit|RecipeData + Construction owner|Miscellaneous|Power|Tier1|Oxygen Tank|Кислородный бак|16.10|9.45|1.80|160|120|ITEM_BUILD_OXYGEN_TANK_NAME|ITEM_BUILD_OXYGEN_TANK_DESC
Build_Battery_Bank|0x4CD362CC|BuildableKit|RecipeData + Construction owner|Miscellaneous|Power|Tier1|Battery Bank|Батарейный блок|16.10|9.45|1.80|160|120|ITEM_BUILD_BATTERY_BANK_NAME|ITEM_BUILD_BATTERY_BANK_DESC
Build_Fabricator_Compact|0x4E415C83|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier1|Fabricator Compact|Компактный фабрикатор|16.10|9.45|0.70|160|120|ITEM_BUILD_FABRICATOR_COMPACT_NAME|ITEM_BUILD_FABRICATOR_COMPACT_DESC
Build_Med_Bay_Node|0x894218C6|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier1|Med Bay Node|Медицинский узел|16.10|9.45|0.70|160|120|ITEM_BUILD_MED_BAY_NODE_NAME|ITEM_BUILD_MED_BAY_NODE_DESC
Build_Sonar_Mast|0x25B9CC89|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier1|Sonar Mast|Сонарная мачта|16.10|9.45|0.70|160|126|ITEM_BUILD_SONAR_MAST_NAME|ITEM_BUILD_SONAR_MAST_DESC
Build_Light_Array|0xC4BCBD06|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier1|Light Array|Световой массив|16.10|9.45|0.70|160|120|ITEM_BUILD_LIGHT_ARRAY_NAME|ITEM_BUILD_LIGHT_ARRAY_DESC
Build_Floodgate_Valve|0x186C2282|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier2|Floodgate Valve|Противопаводковый клапан|18.20|9.90|0.80|176|138|ITEM_BUILD_FLOODGATE_VALVE_NAME|ITEM_BUILD_FLOODGATE_VALVE_DESC
Build_Anchor_Frame|0x1222538F|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier2|Anchor Frame|Якорная рама|15.60|8.80|0.00|162|118|ITEM_BUILD_ANCHOR_FRAME_NAME|ITEM_BUILD_ANCHOR_FRAME_DESC
Build_Brine_Filter|0x547E8A1D|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier2|Brine Filter|Рассольный фильтр|18.20|9.90|0.80|176|138|ITEM_BUILD_BRINE_FILTER_NAME|ITEM_BUILD_BRINE_FILTER_DESC
Build_Thermal_Exchanger|0x7089F511|BuildableKit|RecipeData + Construction owner|Miscellaneous|Power|Tier2|Thermal Exchanger|Теплообменник|18.20|9.90|0.80|176|138|ITEM_BUILD_THERMAL_EXCHANGER_NAME|ITEM_BUILD_THERMAL_EXCHANGER_DESC
Build_Drone_Dock|0xCEE62684|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier2|Drone Dock|Док дронов|18.20|9.90|0.80|176|144|ITEM_BUILD_DRONE_DOCK_NAME|ITEM_BUILD_DRONE_DOCK_DESC
Build_Cargo_Rack|0x95ED5902|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier2|Cargo Rack|Грузовая стойка|15.60|8.80|0.00|162|118|ITEM_BUILD_CARGO_RACK_NAME|ITEM_BUILD_CARGO_RACK_DESC
Build_Sleep_Capsule|0xDD8720C7|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier2|Sleep Capsule|Спальная капсула|15.60|8.80|0.00|162|118|ITEM_BUILD_SLEEP_CAPSULE_NAME|ITEM_BUILD_SLEEP_CAPSULE_DESC
Build_Observation_Bubble|0x571D5F09|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier2|Observation Bubble|Наблюдательный купол|15.60|8.80|0.00|162|118|ITEM_BUILD_OBSERVATION_BUBBLE_NAME|ITEM_BUILD_OBSERVATION_BUBBLE_DESC
Build_Coil_Generator|0x43069DF1|BuildableKit|RecipeData + Construction owner|Miscellaneous|Power|Tier3|Coil Generator|Катушечный генератор|20.30|10.35|2.40|192|156|ITEM_BUILD_COIL_GENERATOR_NAME|ITEM_BUILD_COIL_GENERATOR_DESC
Build_Relay_Backbone|0xA266BC27|BuildableKit|RecipeData + Construction owner|Miscellaneous|Power|Tier3|Relay Backbone|Магистральное реле|20.30|10.35|0.90|192|156|ITEM_BUILD_RELAY_BACKBONE_NAME|ITEM_BUILD_RELAY_BACKBONE_DESC
Build_CO2_Reclaimer|0x6A63226F|BuildableKit|RecipeData + Construction owner|Miscellaneous|Power|Tier3|CO2 Reclaimer|Рекуператор CO2|20.30|10.35|0.90|192|156|ITEM_BUILD_CO2_RECLAIMER_NAME|ITEM_BUILD_CO2_RECLAIMER_DESC
Build_Tool_Locker|0xF24D611B|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier3|Tool Locker|Шкаф инструментов|17.40|9.20|0.00|176|133|ITEM_BUILD_TOOL_LOCKER_NAME|ITEM_BUILD_TOOL_LOCKER_DESC
Build_Buoy_Marker|0xE20FDE64|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier3|Buoy Marker|Буй-маркер|17.40|9.20|0.00|176|133|ITEM_BUILD_BUOY_MARKER_NAME|ITEM_BUILD_BUOY_MARKER_DESC
