line,name,active,renderer_enabled,layer,pos,scale,mesh,material_guids
94801,H8_PHOTIC_BASALT_BOULDER_1428_6,0,1,0,"x: 61, y: 7.7838063, z: 94","x: 2.4125, y: 1.0031251, z: 2.6583984",fileID 4300000 guid a9796173709fdea46b53586b8773a064 type 2,b2c9517dc0af524479d8b317ea06785e
98667,H8_PHOTIC_BASALT_BOULDER_1428_0,0,1,0,"x: 11, y: 8.567167, z: 49","x: 1.6671875, y: 1.0968751, z: 2.4914062",fileID 4300000 guid a9796173709fdea46b53586b8773a064 type 2,b2c9517dc0af524479d8b317ea06785e
101075,ABYSS_LEFT_VIGNETTE_SLAB,0,0,0,"x: -24, y: 4, z: 40","x: 0.16, y: 9, z: 22",fileID 10202 guid 0000000000000000e000000000000000 type 0,a7688d9866191e344b4fe927529303b7
2698,ABYSS_SURFACE_RIB_7,0,0,0,"x: 21.399998, y: 7.0299997, z: 39.4","x: 0.045, y: 0.03, z: 26",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
3440,WATER_CAUSTIC_RIB_3,0,0,0,"x: 2.2000003, y: -0.1, z: 26.5","x: 3.2, y: 0.025, z: 0.055",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
4161,WATER_CAUSTIC_RIB_1428_10,0,0,0,"x: 4.7, y: 0.54, z: -2.8","x: 1.35, y: 0.018, z: 0.035",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
8826,ABYSS_SURFACE_RIB_5,0,0,0,"x: 6.999999, y: 7.1099997, z: 35","x: 0.045, y: 0.03, z: 26",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
11188,WATER_CAUSTIC_RIB_1428_13,0,0,0,"x: 8.45, y: 0.54, z: 1.4","x: 1.35, y: 0.018, z: 0.035",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
11952,ABYSS_SURFACE_RIB_0,0,0,0,"x: -29, y: 6.95, z: 24","x: 0.045, y: 0.03, z: 26",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
14352,WATER_CAUSTIC_RIB_1428_12,0,0,0,"x: 7.2, y: 0.54, z: 0","x: 1.35, y: 0.018, z: 0.035",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
17061,NOIR_MIDWATER_VEIL_B,0,0,0,"x: -3, y: 4.2, z: 8.8","x: 30, y: 6.8, z: 0.2",fileID 10202 guid 0000000000000000e000000000000000 type 0,370d33a018c6f664cb7ef1b7b5ec08ef
17984,WATER_CAUSTIC_RIB_1428_5,0,0,0,"x: -1.5500002, y: 0.54, z: -2.8","x: 1.35, y: 0.018, z: 0.035",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
19039,NOIR_MIDWATER_VEIL_A,0,0,0,"x: 2, y: 3.6, z: 4.2","x: 24, y: 5.8, z: 0.2",fileID 10202 guid 0000000000000000e000000000000000 type 0,370d33a018c6f664cb7ef1b7b5ec08ef
22229,WATER_CAUSTIC_RIB_1428_11,0,0,0,"x: 5.95, y: 0.54, z: -1.4","x: 1.35, y: 0.018, z: 0.035",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
24819,ABYSS_SURFACE_RIB_8,0,0,0,"x: 28.599998, y: 7.1099997, z: 41.6","x: 0.045, y: 0.03, z: 26",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
26617,WATER_CAUSTIC_RIB_0,0,0,0,"x: -11, y: -0.1, z: 17.5","x: 3.2, y: 0.025, z: 0.055",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
27065,WATER_CAUSTIC_RIB_1428_2,0,0,0,"x: -5.3, y: 0.54, z: 0","x: 1.35, y: 0.018, z: 0.035",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
32966,ABYSS_SURFACE_RIB_3,0,0,0,"x: -7.4000006, y: 6.95, z: 30.6","x: 0.045, y: 0.03, z: 26",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
41158,BLACK_WATER_PLANE,0,0,0,"x: 0, y: -0.23, z: 45","x: 26, y: 1, z: 26",fileID 10209 guid 0000000000000000e000000000000000 type 0,c95e023c1f5a00249b78f03817870456
43239,WATER_CAUSTIC_RIB_1428_7,0,0,0,"x: 0.9499998, y: 0.54, z: 0","x: 1.35, y: 0.018, z: 0.035",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
43771,ABYSS_SURFACE_RIB_4,0,0,0,"x: -0.20000076, y: 7.0299997, z: 32.8","x: 0.045, y: 0.03, z: 26",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
45723,ABYSS_SURFACE_RIB_1,0,0,0,"x: -21.8, y: 7.0299997, z: 26.2","x: 0.045, y: 0.03, z: 26",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
50347,WATER_CAUSTIC_RIB_1,0,0,0,"x: -6.6, y: -0.1, z: 20.5","x: 3.2, y: 0.025, z: 0.055",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
52796,BASALT_SEABED,0,0,0,"x: 0, y: -1.42, z: 52","x: 32, y: 1, z: 25",fileID 10209 guid 0000000000000000e000000000000000 type 0,a8d0626b390bb114fa135a4e28b5ff2e
54213,WATER_CAUSTIC_RIB_1428_3,0,0,0,"x: -4.05, y: 0.54, z: 1.4","x: 1.35, y: 0.018, z: 0.035",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
56426,ABYSS_SURFACE_RIB_2,0,0,0,"x: -14.6, y: 7.1099997, z: 28.4","x: 0.045, y: 0.03, z: 26",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
60113,WATER_CAUSTIC_RIB_1428_9,0,0,0,"x: 3.4499998, y: 0.54, z: 2.8","x: 1.35, y: 0.018, z: 0.035",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
61083,WATER_CAUSTIC_RIB_1428_8,0,0,0,"x: 2.1999998, y: 0.54, z: 1.4","x: 1.35, y: 0.018, z: 0.035",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
62202,WATER_CAUSTIC_RIB_2,0,0,0,"x: -2.1999998, y: -0.1, z: 23.5","x: 3.2, y: 0.025, z: 0.055",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
64110,WATER_CAUSTIC_RIB_4,0,0,0,"x: 6.6000004, y: -0.1, z: 29.5","x: 3.2, y: 0.025, z: 0.055",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
64756,WATER_CAUSTIC_RIB_5,0,0,0,"x: 11, y: -0.1, z: 32.5","x: 3.2, y: 0.025, z: 0.055",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
68426,WATER_CAUSTIC_RIB_1428_1,0,0,0,"x: -6.55, y: 0.54, z: -1.4","x: 1.35, y: 0.018, z: 0.035",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
73923,ABYSS_SURFACE_RIB_6,0,0,0,"x: 14.199999, y: 6.95, z: 37.2","x: 0.045, y: 0.03, z: 26",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
76111,WATER_CAUSTIC_RIB_1428_6,0,0,0,"x: -0.3000002, y: 0.54, z: -1.4","x: 1.35, y: 0.018, z: 0.035",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
79002,H8_UnderwaterSurfaceSheet_1455,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 4ec3017efcf874d4380865d8123b20d4 type 2,89fde65af4519e947aa1b6868c9a83e0
80255,WATER_CAUSTIC_RIB_1428_0,0,0,0,"x: -7.8, y: 0.54, z: -2.8","x: 1.35, y: 0.018, z: 0.035",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
92977,WATER_CAUSTIC_RIB_1428_4,0,0,0,"x: -2.8000002, y: 0.54, z: 2.8","x: 1.35, y: 0.018, z: 0.035",fileID 10202 guid 0000000000000000e000000000000000 type 0,7907d8c1d848f0c4c98747e878051fac
93461,H8_UnderwaterHazeCurtain_1454,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 5760d7ec1738e474ca1d9319eadb0122 type 2,242d3b4049cce8a498e5ee62bfaa628f
1283,BASALT_SPIRE_CAP_9,0,0,0,"x: 19.578035, y: 2.8292, z: 54.034195","x: 0.24, y: 0.07, z: 0.24",fileID 10207 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
1839,SURFACE_FOAM_RIBBON_1428_2,0,0,0,"x: -8, y: 14.236, z: 102.2","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
2285,BASALT_SPIRE_7,0,0,0,"x: 9.531723, y: 0.6606, z: 56.015324","x: 0.205, y: 1.87, z: 0.205",fileID 10206 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
2375,BASALT_SPIRE_CAP_1,0,0,0,"x: -26.967928, y: 1.8788, z: 44.188545","x: 0.29, y: 0.07, z: 0.29",fileID 10207 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
2788,H8_WORLD_NOIR_STAGING_1428,0,no_renderer,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",,
3801,SURFACE_FOAM_RIBBON_1428_5,0,0,0,"x: 13, y: 14.245001, z: 102.2","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
5355,H8_SurfaceFoamTopOnly_1458_04,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid b2012011ee33d5646838b5db9fe78039 type 2,853fb4fab6e5cd64eb8ab4268a70374b
7760,H8_SURFACE_FOAM_TOPONLY_PASS_1458,0,no_renderer,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",,
9014,H8_SurfaceFoamTopOnly_1458_05,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 0b8b39d577398d440b790bf7c6fdf382 type 2,853fb4fab6e5cd64eb8ab4268a70374b
10286,SURFACE_FOAM_RIBBON_1428_13,0,0,0,"x: 20, y: 14.269, z: 107.3","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
11098,BASALT_SPIRE_CAP_2,0,0,0,"x: -25.608496, y: 2.1956, z: 47.803852","x: 0.34, y: 0.07, z: 0.34",fileID 10207 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
11862,H8_SurfaceFoamVertex_1437,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 6621915139e3896409e2094b8ced03d0 type 2,1f169d657cfa17140aad2fa7aa349443
13131,H8_BrokenReadableFoam_1443,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 6eb289574a00a1344b54c4321322aa06 type 2,1f169d657cfa17140aad2fa7aa349443
13221,H8_SurfaceFoamTopOnly_1458_03,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid c2d343eece36d244e8382f39dc1ee0f7 type 2,853fb4fab6e5cd64eb8ab4268a70374b
14779,SURFACE_FOAM_RIBBON_1428_1,0,0,0,"x: -15, y: 14.233001, z: 101.1","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
17241,WaterColumnBand_3,0,no_renderer,0,,,,
19500,H8_SurfaceFoamTopOnly_1458_00,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid b8017639cfa8c2f439758b00feb2d792 type 2,853fb4fab6e5cd64eb8ab4268a70374b
20997,WaterColumnBand_5,0,no_renderer,0,,,,
21473,BASALT_SPIRE_4,0,0,0,"x: -10.488984, y: 0.93420005, z: 53.28931","x: 0.205, y: 2.5900002, z: 0.205",fileID 10206 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
21869,BASALT_SPIRE_6,0,0,0,"x: 1.242422, y: 0.5238, z: 55.889034","x: 0.16, y: 1.51, z: 0.16",fileID 10206 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
23158,SURFACE_SKY_NOIR_BACKDROP_1428,0,0,0,"x: 108.22958, y: -1.9957504, z: -65.94423","x: 1.18, y: 1.18, z: 1.18",fileID 4300000 guid 4a455b687929ebe44948a468e147abb3 type 2,da0a5b7cf80947442aa1b2f9a28ab08b
27372,SURFACE_FOAM_RIBBON_1428_16,0,0,0,"x: -8, y: 14.278001, z: 113.5","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
27663,WaterColumnBand_0,0,no_renderer,0,,,,
27738,BASALT_SPIRE_CAP_8,0,0,0,"x: 12.274392, y: 2.5124, z: 55.378292","x: 0.34, y: 0.07, z: 0.34",fileID 10207 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
28471,SURFACE_FOAM_RIBBON_1428_10,0,0,0,"x: -1, y: 14.26, z: 107.3","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
28561,SURFACE_FOAM_RIBBON_1428_0,0,0,0,"x: -22, y: 14.2300005, z: 100","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
29313,SURFACE_FOAM_RIBBON_1428_11,0,0,0,"x: 6, y: 14.2630005, z: 108.4","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
33779,BASALT_SPIRE_8,0,0,0,"x: 12.274392, y: 0.7974, z: 55.378292","x: 0.25, y: 2.23, z: 0.25",fileID 10206 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
34045,SURFACE_FOAM_RIBBON_1428_12,0,0,0,"x: 13, y: 14.266001, z: 106.2","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
34176,WaterColumnBand_6,0,no_renderer,0,,,,
36625,SURFACE_FOAM_RIBBON_1428_3,0,0,0,"x: -1, y: 14.239, z: 100","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
36715,WaterColumnBand_1,0,no_renderer,0,,,,
36880,SURFACE_FOAM_RIBBON_1428_7,0,0,0,"x: -22, y: 14.251, z: 107.3","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
37868,SURFACE_FOAM_RIBBON_1428_9,0,0,0,"x: -8, y: 14.257001, z: 106.2","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
38228,BASALT_SPIRE_3,0,0,0,"x: -22.032202, y: 0.7974, z: 50.872677","x: 0.16, y: 2.23, z: 0.16",fileID 10206 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
38587,BASALT_SPIRE_CAP_4,0,0,0,"x: -10.488984, y: 2.8292, z: 53.28931","x: 0.29, y: 0.07, z: 0.29",fileID 10207 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
38924,BASALT_SPIRE_CAP_6,0,0,0,"x: 1.242422, y: 1.8788, z: 55.889034","x: 0.24, y: 0.07, z: 0.24",fileID 10207 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
39014,SURFACE_FOAM_RIBBON_1428_6,0,0,0,"x: 20, y: 14.248, z: 100","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
42102,SURFACE_FOAM_RIBBON_1428_8,0,0,0,"x: -15, y: 14.254001, z: 108.4","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
45139,H8_SurfaceFoamBlobs_1447,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 6f3c944393c99b6429f4f8f27219cf1f type 2,1ae374c2c6281c84fa2e61303e81f65b
48978,SURFACE_FOAM_RIBBON_1428_4,0,0,0,"x: 6, y: 14.242001, z: 101.1","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
49959,ISLAND_BASALT_STACK_1428_2,0,0,0,"x: 54, y: 13, z: 80","x: 1.05, y: 0.9869999, z: 1.05",fileID 4300000 guid d436fab4fba5d754c9d7cf75fdb15f0f type 2,c172e96a14806ee4f9a82c0b2ee8ffd1
51042,ISLAND_BASALT_STACK_1428_1,0,0,0,"x: 68, y: 13, z: 46","x: 1.35, y: 1.161, z: 1.35",fileID 4300000 guid d436fab4fba5d754c9d7cf75fdb15f0f type 2,c172e96a14806ee4f9a82c0b2ee8ffd1
51310,H8_EXISTING_GEOLOGY_FLORA_FOAM_PASS_1434,0,no_renderer,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",,
53959,H8_SurfaceFoamLace_1453,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 3f1319f71c945da4d81302bbcc9119d8 type 2,1ae374c2c6281c84fa2e61303e81f65b
54393,BASALT_SPIRE_0,0,0,0,"x: -26.311394, y: 0.387, z: 40.156364","x: 0.16, y: 1.15, z: 0.16",fileID 10206 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
54878,SURFACE_FOAM_RIBBON_1428_15,0,0,0,"x: -15, y: 14.275001, z: 112.4","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
55878,H8_VisibleWaveFoam_1438,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 7e1b1f94fd90c424abc62955c93f17b4 type 2,1f169d657cfa17140aad2fa7aa349443
56058,BASALT_SPIRE_CAP_5,0,0,0,"x: -5.5220118, y: 1.562, z: 54.97654","x: 0.34, y: 0.07, z: 0.34",fileID 10207 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
56336,H8_SurfaceFoamTopOnly_1458_01,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 1c7ba9de325f601449c72d60e012e7f6 type 2,853fb4fab6e5cd64eb8ab4268a70374b
58030,BASALT_SPIRE_CAP_7,0,0,0,"x: 9.531723, y: 2.1956, z: 56.015324","x: 0.29, y: 0.07, z: 0.29",fileID 10207 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
60780,H8_VISIBLE_WATER_POLISH_PASS_1438,0,no_renderer,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",,
62112,H8_ShorelineFoamOrganic_1446,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 1915e8586cd6f2648b0cc8515cc652ec type 2,c3a2dceefe491ec44aa9b669ff4d9fbd
63113,SURFACE_FOAM_RIBBON_1428_14,0,0,0,"x: -22, y: 14.272, z: 114.6","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
63908,BASALT_SPIRE_2,0,0,0,"x: -25.608496, y: 0.6606, z: 47.803852","x: 0.25, y: 1.87, z: 0.25",fileID 10206 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
64200,H8_UnderwaterHorizonHaze_1437,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 138b6edf2b935b64b9c2eede022a735b type 2,c201fe5d1996dbe499341d4f2fbb9812
65815,H8_BROKEN_SHORE_FOAM_PASS_1439,0,no_renderer,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",,
65848,BASALT_SPIRE_CAP_3,0,0,0,"x: -22.032202, y: 2.5124, z: 50.872677","x: 0.24, y: 0.07, z: 0.24",fileID 10207 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
67794,H8_SurfaceFoamTopOnly_1458_06,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid acc5b0957b94e2548b30fc49d4b44479 type 2,853fb4fab6e5cd64eb8ab4268a70374b
68246,SURFACE_FOAM_RIBBON_1428_17,0,0,0,"x: -1, y: 14.281, z: 114.6","x: 1.55, y: 1, z: 1",,47e41cd3351c4844b85fb823051cdf90
68516,ISLAND_BASALT_STACK_1428_3,0,0,0,"x: 24, y: 13, z: 35","x: 1.05, y: 1.0709999, z: 1.05",fileID 4300000 guid d436fab4fba5d754c9d7cf75fdb15f0f type 2,c172e96a14806ee4f9a82c0b2ee8ffd1
71338,SURFACE_STORM_WATER_PATCH_1428,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 961a04bf5d6c7c94884d748b8e6ecbfe type 2,9a540067dd3ba094db7cc55f9f144e30
72162,H8_EDITOR_SHORE_BREAK_FOAM_CURVES_1428,0,no_renderer,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",,
73141,H8_SURFACE_SHORE_FOAM_1428,0,0,0,"x: 19, y: 14.105, z: 57","x: 1.55, y: 1, z: 1.18",fileID 4300000 guid e1054725609b6a3479a8f529c5fd077f type 2,c2f28f69db0ba9144a66957ca3a6de69
73529,H8_ORGANIC_SHORELINE_FOAM_FINE_1469,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 16e62de4b5bbf054294692112a74be7d type 2,937eb9eb615657644ae3de1fcf2d76d4
76021,ISLAND_BASALT_STACK_1428_0,0,0,0,"x: 13, y: 13.2, z: 69","x: 1.9, y: 1.4819999, z: 1.9",fileID 4300000 guid d436fab4fba5d754c9d7cf75fdb15f0f type 2,c172e96a14806ee4f9a82c0b2ee8ffd1
87448,BASALT_SPIRE_CAP_10,0,0,0,"x: 27.271181, y: 1.562, z: 52.07018","x: 0.29, y: 0.07, z: 0.29",fileID 10207 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
87873,H8_VisibleFoamUnlit_1436,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid b972e0b2701b5ac47a2663ebb41b8d6f type 2,1e7c202598ed1ab4fad3e69028ae5c52
88334,BASALT_SPIRE_1,0,0,0,"x: -26.967928, y: 0.5238, z: 44.188545","x: 0.205, y: 1.51, z: 0.205",fileID 10206 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
88991,BASALT_SPIRE_CAP_11,0,0,0,"x: 34.788136, y: 1.8788, z: 49.600487","x: 0.34, y: 0.07, z: 0.34",fileID 10207 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
89327,SURFACE_SKY_DOME_NOIR_1428,0,0,0,"x: -14, y: 17.2, z: 118","x: 1.45, y: 1.45, z: 1.45",fileID 4300000 guid f75a1c4016b005f4588059e3dddbd8a1 type 2,da0a5b7cf80947442aa1b2f9a28ab08b
92623,H8_WORLD_SHORELINE_FOAM_ONLY_1428,0,no_renderer,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",,
93684,WaterColumnBand_2,0,no_renderer,0,,,,
94711,BASALT_SPIRE_CAP_0,0,0,0,"x: -26.311394, y: 1.562, z: 40.156364","x: 0.24, y: 0.07, z: 0.24",fileID 10207 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
94891,H8_SurfaceCoastalWetRibs_1446,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid d8e08cf756b029a4eaf84817fe065a94 type 2,bcb6951d3ae4c914c85df8dbb6879cae
96852,BASALT_SPIRE_10,0,0,0,"x: 27.271181, y: 0.387, z: 52.07018","x: 0.205, y: 1.15, z: 0.205",fileID 10206 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
97032,BASALT_SPIRE_5,0,0,0,"x: -5.5220118, y: 0.387, z: 54.97654","x: 0.25, y: 1.15, z: 0.25",fileID 10206 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
97299,H8_SurfaceFoamTopOnly_1458_02,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 6cd29ace4b6a3bb44abe9771bf61d881 type 2,853fb4fab6e5cd64eb8ab4268a70374b
99811,H8_VisibleBrokenFoam_1435,0,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 3c92376e35fc41f4487bda4d03c50cd2 type 2,ed4c3c1a98a456a42bff71c47f6cb7ca
99901,BASALT_SPIRE_9,0,0,0,"x: 19.578035, y: 0.93420005, z: 54.034195","x: 0.16, y: 2.5900002, z: 0.16",fileID 10206 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
100056,BASALT_SPIRE_11,0,0,0,"x: 34.788136, y: 0.5238, z: 49.600487","x: 0.25, y: 1.51, z: 0.25",fileID 10206 guid 0000000000000000e000000000000000 type 0,398b3c3234383ab43aaf7ef224bdfef8
101165,WaterColumnBand_4,0,no_renderer,0,,,,
