"manifest_row_id","domain","route_group","role_id","visible_debt_target","current_static_blocker","allowed_shader_route","required_source_package","required_albedo","required_normal","required_packed_or_mask","channel_contract","required_optional_masks","forbidden_sources","allowed_output_folder","prefab_binding_allowed","low_consequence","middle_consequence","high_consequence","ultra_consequence","unity_owner_relink_requirement","status"
"TRANSPORT_ExosuitFrame_SIGNAL_LABELS","ProductFace","transport","ExosuitFrame_SIGNAL_LABELS","PFB_Exosuit_Frame_Transport labels/latches/instrument trims","Package/default Lit GUID 31321ba15b8f8eb4c954353edc038b1d reported","Hecton_MraoAtlasLit candidate or decal/trim route after approval","Assets/_SourceData/ProductFace/Transport/ExosuitFrame/SignalLabels","TX_Transport_ExosuitFrame_SignalLabels_BaseMap","TX_Transport_ExosuitFrame_SignalLabels_Normal","TX_Transport_ExosuitFrame_SignalLabels_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; label albedo sRGB; mask linear","signal lens mask only if physical indicator exists|warning labels|latch wear","package Lit|Unity primitive|unlicensed decal sheet|HUD material as trim","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","512-1024 trim atlas; major labels only","1024-2048 trim atlas; secondary warnings and latch AO","2048 trim atlas; crisp text and signal masks","4096 source optional; extra decal variants and micro-wear","Create route-approved trim material and relink ExosuitFrame trim slots only","DRAFT_SOURCE_REQUIRED"
"TRANSPORT_MicroSub_HULL","ProductFace","transport","MicroSub_HULL","PFB_MicroSub_Transport pressure hull renderers","Package/default Lit GUID 31321ba15b8f8eb4c954353edc038b1d reported","Hecton_MraoAtlasLit candidate or future transport hull shader after route approval","Assets/_SourceData/ProductFace/Transport/MicroSub/Hull","TX_Transport_MicroSub_Hull_BaseMap","TX_Transport_MicroSub_Hull_Normal","TX_Transport_MicroSub_Hull_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","pressure seam wear|salt streaks|registration labels","package Lit|Unity primitive|RuntimeVisualProof shell as final source|sky/ocean donor","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","512-1024 maps; readable pressure hull identity","1024-2048 maps; panel seam AO and salt streaks","2048 maps; sharper hull normals and labels","4096 source optional; micro-scratches and variant hull panels","Create route-approved material and relink MicroSub hull slots only","DRAFT_SOURCE_REQUIRED"
"TRANSPORT_MicroSub_GLASS","ProductFace","transport","MicroSub_GLASS","PFB_MicroSub_Transport viewport/glass/lens renderers","Package/default Lit GUID 31321ba15b8f8eb4c954353edc038b1d reported","Dedicated transport glass shader contract required before relink","Assets/_SourceData/ProductFace/Transport/MicroSub/Glass","TX_Transport_MicroSub_Glass_TintOrBase","TX_Transport_MicroSub_Glass_Normal","TX_Transport_MicroSub_Glass_Mask_TBD","No approved channel contract yet; owner must define exact glass mask slots before import; do not repurpose PBR MRAO or SuitVisor slots","scratch mask|salt mask|tint/edge mask after shader contract exists","package Lit|Unity primitive|SuitVisor shader without approval|generic transparent material","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","No low-tier relink until glass contract exists","No middle-tier relink until glass contract exists","No high-tier relink until glass contract exists","No ultra-tier relink until glass contract exists","Transport owner must create glass shader contract then relink MicroSub glass slots with proof","BLOCKED_SHADER_CONTRACT_REQUIRED"
"TRANSPORT_MicroSub_TRIM","ProductFace","transport","MicroSub_TRIM","PFB_MicroSub_Transport labels/clamps/signal trims","Package/default Lit GUID 31321ba15b8f8eb4c954353edc038b1d reported","Hecton_MraoAtlasLit candidate or decal/trim route after approval","Assets/_SourceData/ProductFace/Transport/MicroSub/Trim","TX_Transport_MicroSub_Trim_BaseMap","TX_Transport_MicroSub_Trim_Normal","TX_Transport_MicroSub_Trim_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; label albedo sRGB; mask linear","signal/registration label atlas|paint chip mask|small physical emitter mask","package Lit|Unity primitive|unlicensed decal sheet|RuntimeVisualProof shell as final source","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","512-1024 trim atlas; major labels only","1024-2048 trim atlas; secondary labels and clamps","2048 trim atlas; crisp text and signal masks","4096 source optional; extra decal variants and micro-wear","Create route-approved trim material and relink MicroSub trim slots only","DRAFT_SOURCE_REQUIRED"
"TRANSPORT_ScoutGlider_BODY","ProductFace","transport","ScoutGlider_BODY","PFB_ScoutGlider_Transport body/fins/battery shell renderers","Package/default Lit GUID 31321ba15b8f8eb4c954353edc038b1d reported","Hecton_MraoAtlasLit candidate or future transport body shader after route approval","Assets/_SourceData/ProductFace/Transport/ScoutGlider/Body","TX_Transport_ScoutGlider_Body_BaseMap","TX_Transport_ScoutGlider_Body_Normal","TX_Transport_ScoutGlider_Body_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","fin edge wear|battery hatch labels|salt streaks","package Lit|Unity primitive|RuntimeVisualProof shell as final source|player fin donor","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","512-1024 maps; readable glider shell identity","1024-2048 maps; fin seam AO and hatch wear","2048 maps; sharper body normals and labels","4096 source optional; micro-scratches and variant shell sheet","Create route-approved material and relink ScoutGlider body slots only","DRAFT_SOURCE_REQUIRED"
"TRANSPORT_ScoutGlider_GRIPS_RUBBER","ProductFace","transport","ScoutGlider_GRIPS_RUBBER","PFB_ScoutGlider_Transport hand/ride rails and rubber grips","Package/default Lit GUID 31321ba15b8f8eb4c954353edc038b1d reported","Hecton_MraoAtlasLit candidate or future rubber material shader after route approval","Assets/_SourceData/ProductFace/Transport/ScoutGlider/GripsRubber","TX_Transport_ScoutGlider_GripsRubber_BaseMap","TX_Transport_ScoutGlider_GripsRubber_Normal","TX_Transport_ScoutGlider_GripsRubber_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; rubber usually low metallic; BaseMap sRGB; mask linear","grip rib pattern|hand wear|salt edge mask","package Lit|Unity primitive|generic black material|player glove donor without approval","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","512-1024 maps; clear grip identity and broad wear","1024-2048 maps; rib normals and hand-wear AO","2048 maps; sharper rubber detail and roughness control","4096 source optional; micro-pitting and alternate grip sheet","Create route-approved material and relink ScoutGlider grip slots only","DRAFT_SOURCE_REQUIRED"
"TRANSPORT_ScoutGlider_LENS_SIGNAL","ProductFace","transport","ScoutGlider_LENS_SIGNAL","PFB_ScoutGlider_Transport nose lens/signal/labels","Package/default Lit GUID 31321ba15b8f8eb4c954353edc038b1d reported","Dedicated lens/signal shader contract required for transparent lens; trim may use MRAO after split","Assets/_SourceData/ProductFace/Transport/ScoutGlider/LensSignal","TX_Transport_ScoutGlider_LensSignal_BaseOrTint","TX_Transport_ScoutGlider_LensSignal_Normal","TX_Transport_ScoutGlider_LensSignal_Mask_TBD","No approved transparent lens channel contract yet; opaque signal trim may use MRAO only if renderer slots split cleanly","lens scratch mask|signal emission mask|label atlas after slot split","package Lit|Unity primitive|SuitVisor shader without approval|unlicensed decal sheet","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","Opaque trim only if split; no lens relink until contract exists","Opaque trim plus labels if split; lens still blocked","Opaque trim high detail if split; lens still blocked","Opaque trim ultra source optional if split; lens still blocked","Transport owner must split lens vs trim slots or define a combined shader contract before relink","BLOCKED_SHADER_CONTRACT_REQUIRED"
"PLAYER_FP_GLOVES_FOREARMS","ProductFace","player","Player_Gloves_Forearms","First-person gloves and forearms","MAT_PlayerSwimBlockout or package/default Lit rows reported","Hecton_MraoAtlasLit candidate or dedicated suit material shader after player owner approval","Assets/_SourceData/ProductFace/Player/GlovesForearms","TX_Player_GlovesForearms_BaseMap","TX_Player_GlovesForearms_Normal","TX_Player_GlovesForearms_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","rubber weave|tool-contact abrasion|salt edge masks","MAT_PlayerSwimBlockout|package Lit|Unity primitive|transport rubber donor without approval","Assets/_Project/Textures/ProductFace/Player; Assets/_Project/Materials/ProductFace/Player","false","512-1024 maps; readable glove/rubber identity in FP view","1024-2048 maps; weave and contact wear","2048 maps; sharp FP normals and roughness control","4096 source optional; micro-abrasion and variant glove sheet","Create player-approved material and relink FP glove/forearm renderers only","DRAFT_SOURCE_REQUIRED"
"PLAYER_TORSO_PELVIS_LEGS_FINS","ProductFace","player","Player_Suit_Fins","Player torso pelvis legs and fins","MAT_PlayerSwimBlockout or package/default Lit rows reported","Hecton_MraoAtlasLit candidate or dedicated suit material shader after player owner approval","Assets/_SourceData/ProductFace/Player/SuitFins","TX_Player_SuitFins_BaseMap","TX_Player_SuitFins_Normal","TX_Player_SuitFins_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","fins rib normals|suit seam masks|salt wear","MAT_PlayerSwimBlockout|package Lit|Unity primitive|ScoutGlider donor without approval","Assets/_Project/Textures/ProductFace/Player; Assets/_Project/Materials/ProductFace/Player","false","512-1024 maps; readable suit and fin material split","1024-2048 maps; seam AO and fin rib normals","2048 maps; sharper suit normals and wear masks","4096 source optional; micro-fabric and alternate suit decal sheet","Create player-approved material and relink suit/fins slots only","DRAFT_SOURCE_REQUIRED"
"PLAYER_HELMET_VISOR_HOUSING","ProductFace","player","Player_Helmet_VisorHousing","Helmet shell visor housing rim and gaskets","MAT_PlayerSwimBlockout or package/default Lit rows reported","Hecton_MraoAtlasLit candidate for opaque shell/rim; visor glass excluded","Assets/_SourceData/ProductFace/Player/HelmetHousing","TX_Player_HelmetHousing_BaseMap","TX_Player_HelmetHousing_Normal","TX_Player_HelmetHousing_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","rim gasket mask|latch labels|salt wear","MAT_PlayerSwimBlockout|package Lit|Unity primitive|SuitVisor glass route as opaque shell","Assets/_Project/Textures/ProductFace/Player; Assets/_Project/Materials/ProductFace/Player","false","512-1024 maps; readable helmet/rim shell","1024-2048 maps; gasket AO and latch labels","2048 maps; sharp shell normals and wear masks","4096 source optional; micro-scratches and decal variants","Create player-approved opaque material and relink helmet/housing slots only","DRAFT_SOURCE_REQUIRED"
"PLAYER_VISOR_GLASS_RIM","ProductFace","player","Player_Visor_Glass","Player visor glass and glass-only wear route","Mat_Visor_Glass partial; primitive sphere proof not accepted; missing scratch/fingerprint/visor masks reported","SuitVisor dedicated shader only","Assets/_SourceData/ProductFace/Player/VisorGlass","TX_Player_VisorGlass_TintOrBase","TX_Player_Visor_ScratchNormal","TX_Player_VisorMask_DirtScratchSaltCondensation","SuitVisor: FingerprintTex R=fingerprint; VisorMaskTex R=Dirt G=Scratch B=Salt A=Condensation; ScratchNormal normal; WaterRunoffNormal normal; WaterDropletMask mask","FingerprintTex R|WaterRunoffNormalTex|WaterDropletMaskTex|HUD_RenderTexture route reference","package Lit|Unity primitive|generic transparent material|MRAO/ORM PBR mask substitution","Assets/_Project/Textures/ProductFace/Player; Assets/_Project/Materials/ProductFace/Player","false","Use existing runoff/droplet only if validated; no glass acceptance until masks exist","Add fingerprint and visor mask with readable dirt/salt separation","Sharper scratch normals and condensation masks for close view","High-res source and extra scratch/fingerprint variants; same SuitVisor slots","Complete missing SuitVisor source maps then relink only visor glass renderer and capture close proof","PARTIAL_SOURCE_BLOCKED_MISSING_MASKS"
"PLAYER_LABELS_LATCHES_INSTRUMENT_TRIMS","ProductFace","player","Player_Labels_Latches_Trims","Suit labels latches instrument trims and small physical indicators","MAT_PlayerSwimBlockout or package/default Lit rows reported","Hecton_MraoAtlasLit candidate or decal/trim route after player owner approval","Assets/_SourceData/ProductFace/Player/LabelsLatchesTrims","TX_Player_LabelsLatchesTrims_BaseMap","TX_Player_LabelsLatchesTrims_Normal","TX_Player_LabelsLatchesTrims_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; label albedo sRGB; mask linear","label atlas|latch wear|small physical emitter mask","MAT_PlayerSwimBlockout|package Lit|Unity primitive|HUD render texture as trim decal","Assets/_Project/Textures/ProductFace/Player; Assets/_Project/Materials/ProductFace/Player","false","512-1024 trim atlas; major labels only","1024-2048 trim atlas; secondary labels and latch wear","2048 trim atlas; crisp text and emission masks","4096 source optional; extra label/decal variants","Create player-approved trim material and relink trim/latch slots only","DRAFT_SOURCE_REQUIRED"
"ENV_SKY_DOME_CLOUDS","ProductFaceVisibleDebt","sky_ocean","Sky_Dome_Clouds","Sky dome/cloud panorama visible surface","Source prefab primitive risk; scene override reportedly uses better cloud panorama but static proof incomplete","Route-owned sky/cloud shader only; not ProductFace PBR","Assets/_SourceData/ProductFace/Environment/SkyClouds","TX_Env_SkyClouds_ColorOrCloudA","TX_Env_SkyClouds_NormalOrNone","TX_Env_SkyClouds_CoverageMask_IfShaderDeclares","Sky route contract: sRGB cloud/color textures; density/coverage masks linear only if shader declares; no MRAO/ORM/PackedMaskV1 substitution","cloud layer B|coverage|edge softness if shader declares","ProductFace material donor|package Lit|Unity primitive|darkness hiding weak sky|generic gradient sky","Assets/_Project/Textures/ProductFace/Environment; route-owned material folder after sky owner approval","false","Readable bright surface sky at compact texture budget","Improved cloud breakup and horizon readability","Higher cloud layer detail and cleaner masks","High-res source and additional cloud layer variants; same route slots","Sky/ocean owner must verify scene material route and replace primitive source mesh only if approved","ROUTE_OWNED_PROOF_REQUIRED"
"ENV_SKY_DOME_SOURCE_MESH","ProductFaceVisibleDebt","sky_ocean","Sky_Dome_SourceMesh","Source sky dome mesh or primitive stand-in","Primitive/source mesh risk in prior sky reports","Route-owned sky mesh/material route only","Assets/_SourceData/ProductFace/Environment/SkyMesh","TX_Env_SkyDome_SourceNotes","NONE","NONE","No texture packing; authored inverted sky dome mesh/source ownership contract required","mesh source metadata|orientation proof","Unity primitive as final sky dome|ProductFace PBR material|package Lit","Assets/_Project/Textures/ProductFace/Environment; route-owned mesh folder after sky owner approval","false","No visual downgrade; source mesh may be simple but not primitive proof","Clean authored dome with correct normals/orientation","Higher segment dome only if needed by shader/camera","Ultra may add source variants; no channel change","Sky/ocean owner must author or approve SkyDome_Inverted.asset and relink with proof","SOURCE_MESH_PROOF_REQUIRED"
"ENV_AEGIR_GAS_GIANT_DISC","ProductFaceVisibleDebt","sky_ocean","Aegir_GasGiant_Disc","Aegir visible gas giant disc","Route-owned materials exist but static source/prefab proof incomplete","Route-owned Aegir impostor shader only; not ProductFace PBR","Assets/_SourceData/ProductFace/Environment/AegirGasGiant","TX_Env_Aegir_ColorClouds","TX_Env_Aegir_NormalOrNone","TX_Env_Aegir_StormMask_IfShaderDeclares","Aegir route contract: sRGB cloud/color textures; storm/density masks linear only if shader declares; no MRAO/ORM/PackedMaskV1 substitution","storm band mask|terminator/lighting mask if shader declares","ProductFace material donor|package Lit|Unity primitive|dark low-detail disc|generic planet texture","Assets/_Project/Textures/ProductFace/Environment; route-owned material folder after celestial owner approval","false","Readable bright Aegir silhouette and banding","Better cloud breakup and storm readability","Higher band detail and clean terminator masks","High-res source and additional storm variants; same route slots","Celestial owner must verify material slots and capture surface readability proof","ROUTE_OWNED_PROOF_REQUIRED"
"ENV_MOONS_CELESTIAL_BODIES","ProductFaceVisibleDebt","sky_ocean","Moons_Celestial_Bodies","Moons and visible celestial body surfaces","Moon texture/source roles unresolved in prior reports","Route-owned moon/celestial shader only; not ProductFace PBR unless shader declares it","Assets/_SourceData/ProductFace/Environment/Moons","TX_Env_Moon_Albedo","TX_Env_Moon_Normal_IfShaderDeclares","TX_Env_Moon_RoughnessHeight_IfShaderDeclares","Moon route contract must follow declared shader slots; albedo sRGB; normal normal-map; roughness/height linear if present; no blind PBR repack","phase/terminator mask if shader declares","ProductFace material donor|package Lit|Unity primitive|generic flat moon disc","Assets/_Project/Textures/ProductFace/Environment; route-owned material folder after celestial owner approval","false","Readable moon identity without flat disc look","Improved crater breakup and phase readability","Sharper crater normals and surface masks","High-res source and variant lunar surfaces; same route slots","Celestial owner must declare moon shader slots then relink and prove visible bodies","SHADER_SLOT_DISCOVERY_REQUIRED"
"ENV_SURFACE_OCEAN_FIRST_PARTY_CANDIDATE","ProductFaceVisibleDebt","sky_ocean","Surface_Ocean_FirstPartyCandidate","Surface ocean candidate material route","Active static route still points at third-party Crest Ocean.mat; first-party candidate exists in prior reports","Route-owned ocean surface shader/material only; not ProductFace PBR","Assets/_SourceData/ProductFace/Environment/OceanSurface","TX_Env_SurfaceOcean_NormalSet","TX_Env_SurfaceOcean_DetailNormal","TX_Env_SurfaceOcean_FoamColorMask","Ocean route contract: water normals normal-map; foam/clarity/absorption masks linear or sRGB exactly as shader declares; no MRAO/ORM/PackedMaskV1 substitution","foam masks|caustic/clarity source|shoreline blend masks","ProductFace material donor|package Lit|flat water|darkness hiding weak ocean|unapproved Crest mutation","Assets/_Project/Textures/ProductFace/Environment; route-owned material folder after water owner approval","false","Readable premium water surface on compact normal/foam set","Better wave normal layering and shoreline foam","Sharper detail normals and richer foam masks","High-res source and extra normal/foam variants; same route slots","Water owner must choose first-party vs Crest route and prove surface/shallow visibility","ROUTE_DECISION_REQUIRED"
"ENV_SURFACE_OCEAN_ACTIVE_CREST_PACKAGE","ProductFaceVisibleDebt","sky_ocean","Surface_Ocean_ActiveCrestPackage","Active Crest ocean material path","Third-party Crest package Ocean.mat reported as active static route","Crest package route only until water owner replaces with first-party material; do not clone/mutate package","Assets/_SourceData/ProductFace/Environment/OceanCrestAudit","NONE","NONE","NONE","No ProductFace channel contract; audit/proof row only","Frame Debugger proof|material ownership note","cloned Crest package material without owner|ProductFace PBR donor|default Lit replacement","Docs/Reports/Batch20 only unless water owner creates route package","false","Audit only; no texture consequence","Audit only; no texture consequence","Audit only; no texture consequence","Audit only; no texture consequence","Water owner must decide whether active Crest is accepted third-party route or replace with first-party candidate","ACTIVE_THIRD_PARTY_ROUTE_DECISION_REQUIRED"
"ENV_FOAM_WATERLINE_RIBBONS","ProductFaceVisibleDebt","sky_ocean","Foam_Waterline_Ribbons","Visible foam and waterline ribbons","Route-owned foam candidates exist but proof incomplete","Route-owned foam/shoreline shader only; not ProductFace PBR","Assets/_SourceData/ProductFace/Environment/FoamWaterline","TX_Env_FoamWaterline_Color","TX_Env_FoamWaterline_NormalOrNone","TX_Env_FoamWaterline_AlphaMask","Foam route contract: foam color sRGB; alpha/coverage mask linear alpha; normals normal-map if shader declares; no MRAO/ORM/PackedMaskV1 substitution","shoreline breakup|wet edge mask|distance fade mask if shader declares","ProductFace material donor|package Lit|flat white ribbon|unapproved Crest mutation","Assets/_Project/Textures/ProductFace/Environment; route-owned material folder after water owner approval","false","Readable foam silhouette without flat white strip","Better shoreline breakup and waterline blend","Sharper foam masks and normal breakup","High-res source and extra foam variants; same route slots","Water owner must relink visible foam materials and capture shoreline proof","ROUTE_OWNED_PROOF_REQUIRED"
"ENV_CREST_HIDDEN_INPUTS","ProductFaceVisibleDebt","sky_ocean","Crest_Hidden_Simulation_Inputs","MAT_SargassumWaveDamping MAT_FoamDamping MAT_OilFilm and similar Crest hidden inputs","Hidden status not proven by static reports","Allowed only as hidden simulation/input route after Frame Debugger proof","Assets/_SourceData/ProductFace/Environment/CrestHiddenInputsAudit","NONE","NONE","NONE","No visible-art channel contract; if visible, row fails and needs route-owned visible material","Frame Debugger event proof|renderer visibility proof","visible default/package material|ProductFace PBR donor|unproved hidden input","Docs/Reports/Batch20 only unless water owner creates route package","false","Hidden proof only; no visual consequence","Hidden proof only; no visual consequence","Hidden proof only; no visual consequence","Hidden proof only; no visual consequence","Water owner must prove hidden input status or replace visible material route","FRAME_DEBUGGER_PROOF_REQUIRED"
"ENV_PHOTIC_SHALLOWS_WATER_CLARITY","ProductFaceVisibleDebt","sky_ocean","Photic_Shallows_Water_Clarity","Photic shallows surface and near-surface water readability","Missing route-owned source package and proof","Route-owned water clarity/caustic/shallows shader only; not ProductFace PBR","Assets/_SourceData/ProductFace/Environment/PhoticShallows","TX_Env_PhoticShallows_ColorAbsorption","TX_Env_PhoticShallows_CausticNormalOrPattern","TX_Env_PhoticShallows_ClarityFoamMask","Water route contract must declare color/absorption sRGB or linear per shader; caustic patterns and masks per shader; no generic PBR repack","caustic masks|sand/shallow visibility masks|shore blend masks","darkness hiding weak shallows|flat water|package Lit|ProductFace PBR donor","Assets/_Project/Textures/ProductFace/Environment; route-owned material folder after water owner approval","false","Bright readable shallows with compact caustic/clarity source","Better caustic breakup and surface transparency","Sharper water detail and shoreline clarity masks","High-res source and extra caustic/clarity variants; same route slots","Water owner must create source package and prove surface/photic shallows meet visual floor","MISSING_ROUTE_SOURCE_REQUIRED"
"CONSTRUCTION_PressureModule_PanelShell","ProductFace","construction","Construction_PressureModule_PanelShell","Pressure-rated module shell panels","Buildings/Cube.prefab third-party checker and STRUCTURES.prefab package/default Lit reported","Hecton_MraoAtlasLit candidate or dedicated construction shader after construction owner approval","Assets/_SourceData/ProductFace/Construction/PressureModulePanelShell","TX_Construction_PressureModulePanelShell_BaseMap","TX_Construction_PressureModulePanelShell_Normal","TX_Construction_PressureModulePanelShell_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","panel seam mask|salt wear|pressure label atlas","Buildings/Cube.prefab checker|STRUCTURES package Lit|Unity primitive|environment donor|flat module shell","Assets/_Project/Textures/ProductFace/Construction; Assets/_Project/Materials/ProductFace/Construction","false","512-1024 maps; readable pressure panel identity","1024-2048 maps; seam AO and salt wear","2048 maps; sharper panel normals and label masks","4096 source optional; micro-scratches and panel variants","Construction owner must classify target prefabs then relink approved shell slots only","MISSING_SOURCE_REQUIRED"
"CONSTRUCTION_PressureDoor_GasketLatch","ProductFace","construction","Construction_PressureDoor_GasketLatch","Pressure door gaskets hinges latches and lock trims","Construction/building default or prototype materials unresolved","Hecton_MraoAtlasLit candidate or dedicated construction/rubber shader after owner approval","Assets/_SourceData/ProductFace/Construction/PressureDoorGasketLatch","TX_Construction_PressureDoorGasketLatch_BaseMap","TX_Construction_PressureDoorGasketLatch_Normal","TX_Construction_PressureDoorGasketLatch_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; rubber portions low metallic; BaseMap sRGB; mask linear","gasket compression mask|hinge wear|lock label mask","third-party checker|package Lit|Unity primitive|generic black material|tool donor","Assets/_Project/Textures/ProductFace/Construction; Assets/_Project/Materials/ProductFace/Construction","false","512-1024 maps; door/gasket identity and broad wear","1024-2048 maps; latch AO and compression wear","2048 maps; crisp latch normals and seal roughness","4096 source optional; micro-pitting and alternate latch decals","Construction owner must relink door/gasket slots only after mesh/material slot classification","MISSING_SOURCE_REQUIRED"
"CONSTRUCTION_ServicePipe_CableBundle","ProductFace","construction","Construction_ServicePipe_CableBundle","Service pipes cable bundles clamps and insulation","Construction/building default or prototype materials unresolved","Hecton_MraoAtlasLit candidate or dedicated pipe/cable shader after owner approval","Assets/_SourceData/ProductFace/Construction/ServicePipeCableBundle","TX_Construction_ServicePipeCableBundle_BaseMap","TX_Construction_ServicePipeCableBundle_Normal","TX_Construction_ServicePipeCableBundle_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; rubber cable portions low metallic; BaseMap sRGB; mask linear","cable rib normal|clamp wear|service label atlas","third-party checker|package Lit|Unity primitive|generic cable material|transport donor without approval","Assets/_Project/Textures/ProductFace/Construction; Assets/_Project/Materials/ProductFace/Construction","false","512-1024 maps; readable pipe/cable split","1024-2048 maps; rib normals and clamp AO","2048 maps; sharper cable detail and service labels","4096 source optional; micro-wear and cable color variants","Construction owner must relink classified pipe/cable slots only","MISSING_SOURCE_REQUIRED"
"DEBRIS_TitaniumRuin_ScrapPanel","ProductFace","construction","Debris_TitaniumRuin_ScrapPanel","Manufactured debris and ruined titanium panel fragments","Debris/ruin materials not covered by existing ProductFace source manifest","Hecton_MraoAtlasLit candidate after construction/debris owner approval","Assets/_SourceData/ProductFace/Construction/DebrisTitaniumRuinScrapPanel","TX_Debris_TitaniumRuinScrapPanel_BaseMap","TX_Debris_TitaniumRuinScrapPanel_Normal","TX_Debris_TitaniumRuinScrapPanel_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","torn-edge mask|paint remnant|salvage cut marks","TitaniumScrap direct alias without owner approval|package Lit|Unity primitive|terrain donor","Assets/_Project/Textures/ProductFace/Construction; Assets/_Project/Materials/ProductFace/Construction","false","512-1024 maps; readable ruined metal panel","1024-2048 maps; torn edge AO and paint remnants","2048 maps; sharper fractured normals and wear masks","4096 source optional; micro-scratches and variant ruin panels","Debris owner must decide sharing with TitaniumScrap or separate ruin material then relink","MISSING_SOURCE_REQUIRED"
"DEBRIS_ConcreteBasalt_RuinChunk","ProductFace","construction","Debris_ConcreteBasalt_RuinChunk","Flooded ruin chunks concrete basalt composite and exposed aggregate","Debris/ruin materials not covered by existing ProductFace source manifest","Hecton_MraoAtlasLit candidate or route-owned triplanar/debris shader after owner approval","Assets/_SourceData/ProductFace/Construction/DebrisConcreteBasaltRuinChunk","TX_Debris_ConcreteBasaltRuinChunk_BaseMap","TX_Debris_ConcreteBasaltRuinChunk_Normal","TX_Debris_ConcreteBasaltRuinChunk_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear unless triplanar route declares different slots","aggregate mask|sediment edge mask|rebar stains","terrain material direct donor|package Lit|Unity primitive|flat gray placeholder","Assets/_Project/Textures/ProductFace/Construction; Assets/_Project/Materials/ProductFace/Construction","false","512-1024 maps; readable ruin aggregate and sediment","1024-2048 maps; fracture AO and wet stains","2048 maps; sharper aggregate normals and sediment masks","4096 source optional; micro-cracks and ruin variants","Debris/ruins owner must relink classified ruin chunk slots only after shader route approval","MISSING_SOURCE_REQUIRED"
"RUINS_ServiceLabel_DecalAtlas","ProductFace","construction","Ruins_ServiceLabel_DecalAtlas","Readable service labels hazard marks salvage cuts and old signage on ruins","No ProductFace-owned decal/source atlas reported","Decal/trim route or Hecton_MraoAtlasLit trim material after owner approval","Assets/_SourceData/ProductFace/Construction/RuinsServiceLabelDecalAtlas","TX_Ruins_ServiceLabelDecalAtlas_BaseMap","TX_Ruins_ServiceLabelDecalAtlas_Normal","TX_Ruins_ServiceLabelDecalAtlas_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask for trim atlas; if decal shader used, owner must declare exact alpha/normal/mask slots","alpha mask if decal shader declares|paint chip mask|small emission mask only for physical signs","unlicensed decal sheet|package Lit|Unity primitive|HUD texture donor","Assets/_Project/Textures/ProductFace/Construction; Assets/_Project/Materials/ProductFace/Construction","false","512-1024 atlas; only major labels readable","1024-2048 atlas; secondary labels and chipped paint","2048 atlas; crisp close labels and paint masks","4096 source optional; extra signage/decal variants","Ruins owner must route decals through approved shader and relink visible ruin label slots only","MISSING_SOURCE_REQUIRED"
